Position,Team,Matches,Points,Rating
1,India,63,16835,267
2,Australia,43,11040,257
3,West Indies,49,12502,255
4,England,39,9876,253
5,New Zealand,49,12113,247
6,South Africa,38,9386,247
7,Pakistan,46,11097,241
8,Sri Lanka,40,9159,229
9,Bangladesh,50,11253,225
10,Afghanistan,39,8682,223
11,Ireland,46,8974,195
12,Zimbabwe,46,8896,193
13,Scotland,27,5151,191
14,Namibia,37,6965,188
15,Netherlands,25,4600,184
16,U.A.E.,42,7386,176
17,Nepal,39,6601,169
18,U.S.A.,23,3831,167
19,Oman,38,6192,163
20,P.N.G.,31,4472,144
21,Uganda,62,8353,135
22,Canada,24,3154,131
23,Hong Kong,47,6173,131
24,Kuwait,41,5087,124
25,Malaysia,50,6123,122
26,Bahrain,34,4030,119
27,Jersey,26,3063,118
28,Qatar,23,2598,113
29,Spain,22,2442,111
30,Italy,18,1944,108
31,Bermuda,11,1185,108
32,Saudi Arabia,30,3142,105
33,Kenya,50,5203,104
34,Tanzania,42,3797,90
35,Germany,32,2860,89
36,Nigeria,34,2711,80
37,Guernsey,23,1759,76
38,Singapore,29,2217,76
39,Norway,20,1444,72
40,Cayman,9,646,72
41,Denmark,25,1711,68
42,Cambodia,22,1471,67
43,Portugal,17,1071,63
44,Isle of Man,14,857,61
45,Belgium,29,1710,59
46,Austria,30,1691,56
47,France,24,1325,55
48,Switzerland,17,934,55
49,Botswana,24,1298,54
50,Japan,28,1504,54
51,Malawi,20,953,48
52,Romania,28,1316,47
53,Cook Islands,9,420,47
54,Sweden,17,770,45
55,Finland,21,950,45
56,Vanuatu,21,911,43
57,Czech Rep.,19,809,43
58,Argentina,8,340,43
59,Philippines,17,701,41
60,Indonesia,28,1091,39
61,Thailand,24,850,35
62,Mozambique,16,522,33
63,Rwanda,64,2048,32
64,Estonia,19,597,31
65,Ghana,28,873,31
66,Samoa,11,328,30
67,Fiji,12,350,29
68,Luxembourg,28,753,27
69,Sierra Leone,25,651,26
70,Malta,46,1191,26
71,Israel,7,178,25
72,Bahamas,8,191,24
73,Hungary,17,336,20
74,Slovenia,8,150,19
75,Panama,9,157,17
76,Gibraltar,29,503,17
77,Cyprus,17,272,16
78,Bhutan,16,176,11
79,Croatia,17,167,10
80,Eswatini,17,118,7
81,Serbia,20,134,7
82,Maldives,27,134,5
83,China,11,53,5
84,Bulgaria,25,96,4
85,Cameroon,10,26,3
86,Mongolia,14,0,0
87,Turkey,9,0,0
88,Seychelles,5,0,0
89,Myanmar,13,0,0
90,Mali,6,0,0
91,Lesotho,11,0,0
92,Greece,8,0,0
93,Gambia,6,0,0
