,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
overview,2019-2024,31,26,133.5,7,676,20,2/4,33.80,5.05,40.1,0,0
vs AUS Women,2022-2023,4,2,3.0,0,37,1,1/17,37.00,12.33,18.0,0,0
vs BAN Women,2022-2022,1,1,3.0,1,13,0,-,-,4.33,-,0,0
vs ENG Women,2022-2022,4,4,28.0,2,168,4,2/47,42.00,6.00,42.0,0,0
vs India Women,2019-2022,4,4,25.0,2,117,3,2/38,39.00,4.68,50.0,0,0
vs IRE Women,2021-2023,4,4,13.0,1,60,2,2/4,30.00,4.61,39.0,0,0
vs NZ Women,2022-2022,2,2,15.0,0,58,1,1/25,58.00,3.86,90.0,0,0
vs PAK Women,2021-2024,5,3,14.5,0,62,4,2/10,15.50,4.17,22.2,0,0
vs SA Women,2021-2022,4,3,14.0,0,67,2,1/20,33.50,4.78,42.0,0,0
vs SL Women,2024-2024,3,3,18.0,1,94,3,2/22,31.33,5.22,36.0,0,0
in Australia,2023-2023,3,2,3.0,0,37,1,1/17,37.00,12.33,18.0,0,0
in New Zealand,2022-2022,6,4,21.0,2,103,2,1/26,51.50,4.90,63.0,0,0
in Pakistan,2021-2024,4,3,14.5,0,62,4,2/10,15.50,4.17,22.2,0,0
in South Africa,2022-2022,2,1,5.0,0,20,1,1/20,20.00,4.00,30.0,0,0
in Sri Lanka,2024-2024,3,3,18.0,1,94,3,2/22,31.33,5.22,36.0,0,0
in West Indies,2019-2023,12,12,69.0,4,343,9,2/4,38.11,4.97,46.0,0,0
in Zimbabwe,2021-2021,1,1,3.0,0,17,0,-,-,5.66,-,0,0
in Africa,2021-2022,3,2,8.0,0,37,1,1/20,37.00,4.62,48.0,0,0
in Americas,2019-2023,12,12,69.0,4,343,9,2/4,38.11,4.97,46.0,0,0
in Asia,2021-2024,7,6,32.5,1,156,7,2/10,22.28,4.75,28.1,0,0
in Oceania,2022-2023,9,6,24.0,2,140,3,1/17,46.66,5.83,48.0,0,0
home,2019-2023,12,12,69.0,4,343,9,2/4,38.11,4.97,46.0,0,0
away,2021-2024,13,10,47.5,1,246,9,2/10,27.33,5.14,31.8,0,0
neutral,2021-2022,6,4,17.0,2,87,2,1/26,43.50,5.11,51.0,0,0
year 2019,,3,3,21.0,2,91,2,2/38,45.50,4.33,63.0,0,0
year 2021,,4,4,22.0,0,105,3,2/41,35.00,4.77,44.0,0,0
year 2022,,12,9,55.0,3,285,7,2/47,40.71,5.18,47.1,0,0
year 2023,,6,5,13.0,1,80,3,2/4,26.66,6.15,26.0,0,0
year 2024,,6,5,22.5,1,115,5,2/10,23.00,5.03,27.4,0,0
season 2019/20,,3,3,21.0,2,91,2,2/38,45.50,4.33,63.0,0,0
season 2021,,2,2,9.0,0,47,1,1/28,47.00,5.22,54.0,0,0
season 2021/22,,10,7,39.0,2,181,5,2/41,36.20,4.64,46.8,0,0
season 2022,,1,1,8.0,0,25,1,1/25,25.00,3.12,48.0,0,0
season 2022/23,,3,3,21.0,1,137,3,2/47,45.66,6.52,42.0,0,0
season 2023,,3,3,10.0,1,43,2,2/4,21.50,4.30,30.0,0,0
season 2023/24,,3,2,3.0,0,37,1,1/17,37.00,12.33,18.0,0,0
season 2024,,6,5,22.5,1,115,5,2/10,23.00,5.03,27.4,0,0
*SA Campbelle,2023-2024,3,3,13.0,0,92,1,1/15,92.00,7.07,78.0,0,0
*HK Matthews,2022-2024,13,11,51.5,3,265,11,2/4,24.09,5.11,28.2,0,0
*A Mohammed,2021-2022,3,3,14.0,0,67,2,1/20,33.50,4.78,42.0,0,0
*SR Taylor,2019-2022,12,9,55.0,4,252,6,2/38,42.00,4.58,55.0,0,0
is not captain,2019-2024,31,26,133.5,7,676,20,2/4,33.80,5.05,40.1,0,0
is not keeper,2019-2024,31,26,133.5,7,676,20,2/4,33.80,5.05,40.1,0,0
won the toss,2019-2024,16,14,73.5,3,367,11,2/4,33.36,4.97,40.2,0,0
lost the toss,2019-2024,15,12,60.0,4,309,9,2/22,34.33,5.15,40.0,0,0
won toss & batted,2019-2024,10,8,37.5,2,175,5,2/10,35.00,4.62,45.4,0,0
won toss & fielded,2021-2024,6,6,36.0,1,192,6,2/4,32.00,5.33,36.0,0,0
lost toss & sent in,2022-2024,7,5,19.0,2,105,3,2/22,35.00,5.52,38.0,0,0
lost toss & fielded,2019-2024,8,7,41.0,2,204,6,2/38,34.00,4.97,41.0,0,0
matches batting first,2019-2024,17,13,56.5,4,280,8,2/10,35.00,4.92,42.6,0,0
matches fielding first,2019-2024,14,13,77.0,3,396,12,2/4,33.00,5.14,38.5,0,0
