,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,3,6,1,143,82,28.60,254,56.29,0,1,2,15,5
vs Australia,3,6,1,143,82,28.60,254,56.29,0,1,2,15,5
in Australia,3,6,1,143,82,28.60,254,56.29,0,1,2,15,5
in Oceania,3,6,1,143,82,28.60,254,56.29,0,1,2,15,5
away,3,6,1,143,82,28.60,254,56.29,0,1,2,15,5
year 2023,2,4,1,43,33*,14.33,110,39.09,0,0,2,4,1
year 2024,1,2,0,100,82,50.00,144,69.44,0,1,0,11,4
season 2023/24,3,6,1,143,82,28.60,254,56.29,0,1,2,15,5
*Shan Masood,3,6,1,143,82,28.60,254,56.29,0,1,2,15,5
is not captain,3,6,1,143,82,28.60,254,56.29,0,1,2,15,5
is not keeper,3,6,1,143,82,28.60,254,56.29,0,1,2,15,5
won the toss,2,4,1,133,82,44.33,232,57.32,0,1,1,15,5
lost the toss,1,2,0,10,10,5.00,22,45.45,0,0,1,0,0
won toss & batted,1,2,0,100,82,50.00,144,69.44,0,1,0,11,4
won toss & fielded,1,2,1,33,33*,33.00,88,37.50,0,0,1,4,1
lost toss & fielded,1,2,0,10,10,5.00,22,45.45,0,0,1,0,0
matches batting first,1,2,0,100,82,50.00,144,69.44,0,1,0,11,4
matches fielding first,2,4,1,43,33*,14.33,110,39.09,0,0,2,4,1
1st team innings,3,3,1,125,82,62.50,195,64.10,0,1,0,13,5
2nd team innings,3,3,0,18,18,6.00,59,30.50,0,0,2,2,0
1st match innings,1,1,0,82,82,82.00,97,84.53,0,1,0,9,4
2nd match innings,2,2,1,43,33*,43.00,98,43.87,0,0,0,4,1
3rd match innings,1,1,0,18,18,18.00,47,38.29,0,0,0,2,0
4th match innings,2,2,0,0,0,0.00,12,0.00,0,0,2,0,0
lost match,3,6,1,143,82,28.60,254,56.29,0,1,2,15,5
lost batting first,1,2,0,100,82,50.00,144,69.44,0,1,0,11,4
lost fielding first,2,4,1,43,33*,14.33,110,39.09,0,0,2,4,1
2 team series,3,6,1,143,82,28.60,254,56.29,0,1,2,15,5
5+ team tournaments,3,6,1,143,82,28.60,254,56.29,0,1,2,15,5
1st match in series,1,2,0,10,10,5.00,22,45.45,0,0,1,0,0
2nd match in series,1,2,1,33,33*,33.00,88,37.50,0,0,1,4,1
3rd match in series,1,2,0,100,82,50.00,144,69.44,0,1,0,11,4
Benaud-Qadir Trophy,3,6,1,143,82,28.60,254,56.29,0,1,2,15,5
ICC World Test Champ,3,6,1,143,82,28.60,254,56.29,0,1,2,15,5
8th position,1,2,1,33,33*,33.00,88,37.50,0,0,1,4,1
9th position,2,3,0,100,82,33.33,148,67.56,0,1,1,11,4
10th position,1,1,0,10,10,10.00,18,55.55,0,0,0,0,0
