,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
overview,2024-2024,10,10,31.5,0,295,16,3/20,18.43,9.26,11.9,0,0
vs Ireland,2024-2024,4,4,14.5,0,143,6,2/33,23.83,9.64,14.8,0,0
vs New Zealand,2024-2024,6,6,17.0,0,152,10,3/20,15.20,8.94,10.2,0,0
in Ireland,2024-2024,3,3,11.5,0,112,6,2/33,18.66,9.46,11.8,0,0
in New Zealand,2024-2024,3,3,9.0,0,81,5,3/34,16.20,9.00,10.8,0,0
in Pakistan,2024-2024,3,3,8.0,0,71,5,3/20,14.20,8.87,9.6,0,0
in U.S.A.,2024-2024,1,1,3.0,0,31,0,-,-,10.33,-,0,0
in Americas,2024-2024,1,1,3.0,0,31,0,-,-,10.33,-,0,0
in Asia,2024-2024,3,3,8.0,0,71,5,3/20,14.20,8.87,9.6,0,0
in Europe,2024-2024,3,3,11.5,0,112,6,2/33,18.66,9.46,11.8,0,0
in Oceania,2024-2024,3,3,9.0,0,81,5,3/34,16.20,9.00,10.8,0,0
home,2024-2024,3,3,8.0,0,71,5,3/20,14.20,8.87,9.6,0,0
away,2024-2024,6,6,20.5,0,193,11,3/34,17.54,9.26,11.3,0,0
neutral,2024-2024,1,1,3.0,0,31,0,-,-,10.33,-,0,0
year 2024,,10,10,31.5,0,295,16,3/20,18.43,9.26,11.9,0,0
season 2023/24,,3,3,9.0,0,81,5,3/34,16.20,9.00,10.8,0,0
season 2024,,7,7,22.5,0,214,11,3/20,19.45,9.37,12.4,0,0
*Babar Azam,2024-2024,7,7,22.5,0,214,11,3/20,19.45,9.37,12.4,0,0
*Shaheen Shah Afridi,2024-2024,3,3,9.0,0,81,5,3/34,16.20,9.00,10.8,0,0
is not captain,2024-2024,10,10,31.5,0,295,16,3/20,18.43,9.26,11.9,0,0
is not keeper,2024-2024,10,10,31.5,0,295,16,3/20,18.43,9.26,11.9,0,0
won the toss,2024-2024,7,7,23.0,0,208,12,3/20,17.33,9.04,11.5,0,0
lost the toss,2024-2024,3,3,8.5,0,87,4,2/27,21.75,9.84,13.2,0,0
won toss & batted,2024-2024,1,1,1.0,0,4,0,-,-,4.00,-,0,0
won toss & fielded,2024-2024,6,6,22.0,0,204,12,3/20,17.00,9.27,11.0,0,0
lost toss & sent in,2024-2024,3,3,8.5,0,87,4,2/27,21.75,9.84,13.2,0,0
matches batting first,2024-2024,4,4,9.5,0,91,4,2/27,22.75,9.25,14.7,0,0
matches fielding first,2024-2024,6,6,22.0,0,204,12,3/20,17.00,9.27,11.0,0,0
1st team innings,2024-2024,10,10,31.5,0,295,16,3/20,18.43,9.26,11.9,0,0
1st match innings,2024-2024,6,6,22.0,0,204,12,3/20,17.00,9.27,11.0,0,0
2nd match innings,2024-2024,4,4,9.5,0,91,4,2/27,22.75,9.25,14.7,0,0
day match,2024-2024,5,5,15.5,0,147,6,2/33,24.50,9.28,15.8,0,0
night match,2024-2024,5,5,16.0,0,148,10,3/20,14.80,9.25,9.6,0,0
won match,2024-2024,5,5,14.0,0,135,4,2/33,33.75,9.64,21.0,0,0
lost match,2024-2024,5,5,17.5,0,160,12,3/20,13.33,8.97,8.9,0,0
won batting first,2024-2024,2,2,3.0,0,28,0,-,-,9.33,-,0,0
won fielding first,2024-2024,3,3,11.0,0,107,4,2/33,26.75,9.72,16.5,0,0
lost batting first,2024-2024,2,2,6.5,0,63,4,2/27,15.75,9.21,10.2,0,0
lost fielding first,2024-2024,3,3,11.0,0,97,8,3/20,12.12,8.81,8.2,0,0
2 team series,2024-2024,9,9,28.5,0,264,16,3/20,16.50,9.15,10.8,0,0
5+ team tournaments,2024-2024,1,1,3.0,0,31,0,-,-,10.33,-,0,0
1st match in series,2024-2024,2,2,7.5,0,70,5,3/34,14.00,8.93,9.4,0,0
2nd match in series,2024-2024,2,2,8.0,0,76,4,2/33,19.00,9.50,12.0,0,0
3rd match in series,2024-2024,2,2,7.0,0,70,4,2/27,17.50,10.00,10.5,0,0
4th match in series,2024-2024,1,1,3.0,0,20,3,3/20,6.66,6.66,6.0,0,0
5th match in series,2024-2024,2,2,3.0,0,28,0,-,-,9.33,-,0,0
Men's T20 World Cup,2024-2024,1,1,3.0,0,31,0,,,10.33,,0,0
3rd position,2024-2024,1,1,4.0,0,43,2,2/43,21.50,10.75,12.0,0,0
4th position,2024-2024,8,8,26.5,0,248,14,3/20,17.71,9.24,11.5,0,0
5th position,2024-2024,1,1,1.0,0,4,0,-,-,4.00,-,0,0
