,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,5,4,0,124,100,31.00,71,174.64,1,0,1,9,9
vs Zimbabwe,5,4,0,124,100,31.00,71,174.64,1,0,1,9,9
in Zimbabwe,5,4,0,124,100,31.00,71,174.64,1,0,1,9,9
in Africa,5,4,0,124,100,31.00,71,174.64,1,0,1,9,9
away,5,4,0,124,100,31.00,71,174.64,1,0,1,9,9
year 2024,5,4,0,124,100,31.00,71,174.64,1,0,1,9,9
season 2024,5,4,0,124,100,31.00,71,174.64,1,0,1,9,9
*Shubman Gill,5,4,0,124,100,31.00,71,174.64,1,0,1,9,9
is not captain,5,4,0,124,100,31.00,71,174.64,1,0,1,9,9
is not keeper,5,4,0,124,100,31.00,71,174.64,1,0,1,9,9
won the toss,4,3,0,110,100,36.66,60,183.33,1,0,1,8,8
lost the toss,1,1,0,14,14,14.00,11,127.27,0,0,0,1,1
won toss & batted,2,2,0,110,100,55.00,56,196.42,1,0,0,8,8
won toss & fielded,2,1,0,0,0,0.00,4,0.00,0,0,1,0,0
lost toss & sent in,1,1,0,14,14,14.00,11,127.27,0,0,0,1,1
matches batting first,3,3,0,124,100,41.33,67,185.07,1,0,0,9,9
matches fielding first,2,1,0,0,0,0.00,4,0.00,0,0,1,0,0
1st team innings,5,4,0,124,100,31.00,71,174.64,1,0,1,9,9
1st match innings,3,3,0,124,100,41.33,67,185.07,1,0,0,9,9
2nd match innings,2,1,0,0,0,0.00,4,0.00,0,0,1,0,0
won match,4,3,0,124,100,41.33,67,185.07,1,0,0,9,9
lost match,1,1,0,0,0,0.00,4,0.00,0,0,1,0,0
won batting first,3,3,0,124,100,41.33,67,185.07,1,0,0,9,9
won fielding first,1,-,-,-,-,-,-,-,-,-,-,-,-
lost fielding first,1,1,0,0,0,0.00,4,0.00,0,0,1,0,0
2 team series,5,4,0,124,100,31.00,71,174.64,1,0,1,9,9
1st match in series,1,1,0,0,0,0.00,4,0.00,0,0,1,0,0
2nd match in series,1,1,0,100,100,100.00,47,212.76,1,0,0,7,8
3rd match in series,1,1,0,10,10,10.00,9,111.11,0,0,0,1,0
4th match in series,1,-,-,-,-,-,-,-,-,-,-,-,-
5th match in series,1,1,0,14,14,14.00,11,127.27,0,0,0,1,1
1st position,1,1,0,0,0,0.00,4,0.00,0,0,1,0,0
2nd position,1,1,0,100,100,100.00,47,212.76,1,0,0,7,8
3rd position,2,2,0,24,14,12.00,20,120.00,0,0,0,2,1
