,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
overview,2,2,10.1,1,65,1,1/63,65.00,6.39,61.0,0,0
vs Bangladesh,2,2,10.1,1,65,1,1/63,65.00,6.39,61.0,0,0
in New Zealand,2,2,10.1,1,65,1,1/63,65.00,6.39,61.0,0,0
in Oceania,2,2,10.1,1,65,1,1/63,65.00,6.39,61.0,0,0
home,2,2,10.1,1,65,1,1/63,65.00,6.39,61.0,0,0
year 2023,2,2,10.1,1,65,1,1/63,65.00,6.39,61.0,0,0
season 2023/24,2,2,10.1,1,65,1,1/63,65.00,6.39,61.0,0,0
*TWM Latham,2,2,10.1,1,65,1,1/63,65.00,6.39,61.0,0,0
is not captain,2,2,10.1,1,65,1,1/63,65.00,6.39,61.0,0,0
is not keeper,2,2,10.1,1,65,1,1/63,65.00,6.39,61.0,0,0
won the toss,1,1,10.0,1,63,1,1/63,63.00,6.30,60.0,0,0
lost the toss,1,1,0.1,0,2,0,-,-,12.00,-,0,0
won toss & fielded,1,1,10.0,1,63,1,1/63,63.00,6.30,60.0,0,0
lost toss & sent in,1,1,0.1,0,2,0,-,-,12.00,-,0,0
matches batting first,1,1,0.1,0,2,0,-,-,12.00,-,0,0
matches fielding first,1,1,10.0,1,63,1,1/63,63.00,6.30,60.0,0,0
1st team innings,2,2,10.1,1,65,1,1/63,65.00,6.39,61.0,0,0
1st match innings,1,1,10.0,1,63,1,1/63,63.00,6.30,60.0,0,0
2nd match innings,1,1,0.1,0,2,0,-,-,12.00,-,0,0
won match,1,1,10.0,1,63,1,1/63,63.00,6.30,60.0,0,0
lost match,1,1,0.1,0,2,0,-,-,12.00,-,0,0
won fielding first,1,1,10.0,1,63,1,1/63,63.00,6.30,60.0,0,0
lost batting first,1,1,0.1,0,2,0,-,-,12.00,-,0,0
2 team series,2,2,10.1,1,65,1,1/63,65.00,6.39,61.0,0,0
2nd match in series,1,1,10.0,1,63,1,1/63,63.00,6.30,60.0,0,0
3rd match in series,1,1,0.1,0,2,0,-,-,12.00,-,0,0
5th position,2,2,10.1,1,65,1,1/63,65.00,6.39,61.0,0,0
