,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2020-2023,31,27,6,600,93*,28.57,666,90.09,0,3,3,55,10
vs Afghanistan,2022-2023,7,6,3,119,93*,39.66,145,82.06,0,1,1,13,1
vs England,2023-2023,3,3,0,47,23,15.66,69,68.11,0,0,0,5,1
vs India,2022-2022,3,3,0,14,8,4.66,25,56.00,0,0,1,1,0
vs New Zealand,2023-2023,1,1,0,38,38,38.00,28,135.71,0,0,0,5,1
vs Pakistan,2023-2023,1,1,0,12,12,12.00,11,109.09,0,0,0,0,1
vs South Africa,2022-2022,3,2,0,89,72,44.50,120,74.16,0,1,0,10,1
vs Sri Lanka,2021-2021,3,3,1,53,27*,26.50,48,110.41,0,0,0,5,0
vs West Indies,2022-2022,3,2,0,9,9,4.50,19,47.36,0,0,1,1,0
vs Zimbabwe,2020-2022,7,6,2,219,85*,54.75,201,108.95,0,1,0,15,5
in Bangladesh,2020-2023,16,15,3,236,93*,19.66,288,81.94,0,1,2,25,2
in New Zealand,2023-2023,1,1,0,38,38,38.00,28,135.71,0,0,0,5,1
in Pakistan,2023-2023,2,2,1,16,12,16.00,14,114.28,0,0,0,0,1
in South Africa,2022-2022,3,2,0,89,72,44.50,120,74.16,0,1,0,10,1
in West Indies,2022-2022,3,2,0,9,9,4.50,19,47.36,0,0,1,1,0
in Zimbabwe,2021-2022,6,5,2,212,85*,70.66,197,107.61,0,1,0,14,5
in Africa,2021-2022,9,7,2,301,85*,60.20,317,94.95,0,2,0,24,6
in Americas,2022-2022,3,2,0,9,9,4.50,19,47.36,0,0,1,1,0
in Asia,2020-2023,18,17,4,252,93*,19.38,302,83.44,0,1,2,25,3
in Oceania,2023-2023,1,1,0,38,38,38.00,28,135.71,0,0,0,5,1
home,2020-2023,16,15,3,236,93*,19.66,288,81.94,0,1,2,25,2
away,2021-2023,14,11,2,360,85*,40.00,375,96.00,0,2,1,30,8
neutral,2023-2023,1,1,1,4,4*,-,3,133.33,0,0,0,0,0
year 2020,,1,1,0,7,7,7.00,4,175.00,0,0,0,1,0
year 2021,,6,6,2,139,45,34.75,123,113.00,0,0,0,9,3
year 2022,,15,12,3,349,93*,38.77,419,83.29,0,3,2,35,4
year 2023,,9,8,1,105,38,15.00,120,87.50,0,0,1,10,3
season 2019/20,,1,1,0,7,7,7.00,4,175.00,0,0,0,1,0
season 2021,,6,6,2,139,45,34.75,123,113.00,0,0,0,9,3
season 2021/22,,6,5,2,200,93*,66.66,253,79.05,0,2,0,23,2
season 2022,,6,4,1,135,85*,45.00,141,95.74,0,1,1,11,2
season 2022/23,,6,6,0,61,23,10.16,94,64.89,0,0,1,6,1
season 2023,,5,4,1,20,12,6.66,23,86.95,0,0,1,0,1
season 2023/24,,1,1,0,38,38,38.00,28,135.71,0,0,0,5,1
*Litton Das,2022-2023,5,4,0,14,8,3.50,26,53.84,0,0,2,1,0
*Mashrafe Mortaza,2020-2020,1,1,0,7,7,7.00,4,175.00,0,0,0,1,0
*Najmul Hossain Shanto,2023-2023,1,1,0,38,38,38.00,28,135.71,0,0,0,5,1
*Shakib Al Hasan,2023-2023,2,2,1,16,12,16.00,14,114.28,0,0,0,0,1
*Tamim Iqbal,2021-2023,22,19,5,525,93*,37.50,594,88.38,0,3,1,48,8
is not captain,2020-2023,31,27,6,600,93*,28.57,666,90.09,0,3,3,55,10
is not keeper,2020-2023,31,27,6,600,93*,28.57,666,90.09,0,3,3,55,10
won the toss,2021-2023,19,18,4,277,72,19.78,329,84.19,0,1,3,31,4
lost the toss,2020-2023,12,9,2,323,93*,46.14,337,95.84,0,2,0,24,6
won toss & batted,2021-2023,10,10,3,167,72,23.85,207,80.67,0,1,1,19,1
won toss & fielded,2021-2023,9,8,1,110,38,15.71,122,90.16,0,0,2,12,3
lost toss & sent in,2020-2023,7,6,1,199,85*,39.80,182,109.34,0,1,0,13,5
lost toss & fielded,2021-2023,5,3,1,124,93*,62.00,155,80.00,0,1,0,11,1
matches batting first,2020-2023,17,16,4,366,85*,30.50,389,94.08,0,2,1,32,6
matches fielding first,2021-2023,14,11,2,234,93*,26.00,277,84.47,0,1,2,23,4
1st team innings,2020-2023,31,27,6,600,93*,28.57,666,90.09,0,3,3,55,10
1st match innings,2020-2023,17,16,4,366,85*,30.50,389,94.08,0,2,1,32,6
2nd match innings,2021-2023,14,11,2,234,93*,26.00,277,84.47,0,1,2,23,4
day match,2021-2023,11,9,2,331,85*,47.28,351,94.30,0,2,1,29,6
day/night match,2020-2023,20,18,4,269,93*,19.21,315,85.39,0,1,2,26,4
won match,2020-2023,19,16,6,372,93*,37.20,390,95.38,0,2,2,32,7
lost match,2021-2023,12,11,0,228,72,20.72,276,82.60,0,1,1,23,3
won batting first,2020-2023,10,10,4,223,85*,37.16,204,109.31,0,1,1,17,5
won fielding first,2021-2023,9,6,2,149,93*,37.25,186,80.10,0,1,1,15,2
lost batting first,2022-2023,7,6,0,143,72,23.83,185,77.29,0,1,0,15,1
lost fielding first,2021-2023,5,5,0,85,38,17.00,91,93.40,0,0,1,8,2
2 team series,2020-2023,29,25,5,584,93*,29.20,652,89.57,0,3,3,55,9
5+ team tournaments,2021-2023,17,16,5,402,93*,36.54,459,87.58,0,2,0,37,7
1st match in series,2021-2023,10,9,2,248,93*,35.42,262,94.65,0,1,0,23,5
2nd match in series,2021-2023,9,8,1,174,72,24.85,227,76.65,0,1,2,18,1
3rd match in series,2020-2023,10,8,2,162,85*,27.00,163,99.38,0,1,1,14,3
Asia Cup (ODI),2023-2023,2,2,1,16,12,16.00,14,114.28,0,0,0,0,1
4th position,2020-2020,1,1,0,7,7,7.00,4,175.00,0,0,0,1,0
5th position,2022-2022,2,2,0,9,9,4.50,19,47.36,0,0,1,1,0
6th position,2022-2022,3,3,2,139,85*,139.00,134,103.73,0,1,0,11,2
7th position,2021-2023,18,18,3,414,93*,27.60,472,87.71,0,2,2,42,7
8th position,2021-2023,3,3,1,31,15,15.50,37,83.78,0,0,0,0,1
