,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2018-2023,6,10,1,214,48*,23.77,464,46.12,0,0,1,23,2
vs Bangladesh,2019-2023,2,4,1,131,48*,43.66,277,47.29,0,0,0,13,2
vs India,2018-2018,1,2,0,7,6,3.50,19,36.84,0,0,0,1,0
vs West Indies,2019-2019,1,2,0,39,32,19.50,94,41.48,0,0,0,3,0
vs Zimbabwe,2021-2021,2,2,0,37,37,18.50,74,50.00,0,0,1,6,0
in Bangladesh,2019-2023,2,4,1,131,48*,43.66,277,47.29,0,0,0,13,2
in India,2018-2019,2,4,0,46,32,11.50,113,40.70,0,0,0,4,0
in U.A.E.,2021-2021,2,2,0,37,37,18.50,74,50.00,0,0,1,6,0
in Asia,2018-2023,6,10,1,214,48*,23.77,464,46.12,0,0,1,23,2
away,2018-2023,3,6,1,138,48*,27.60,296,46.62,0,0,0,14,2
neutral,2019-2021,3,4,0,76,37,19.00,168,45.23,0,0,1,9,0
year 2018,,1,2,0,7,6,3.50,19,36.84,0,0,0,1,0
year 2019,,2,4,1,128,48*,42.66,319,40.12,0,0,0,10,2
year 2021,,2,2,0,37,37,18.50,74,50.00,0,0,1,6,0
year 2023,,1,2,0,42,36,21.00,52,80.76,0,0,0,6,0
season 2018,,1,2,0,7,6,3.50,19,36.84,0,0,0,1,0
season 2019,,1,2,1,89,48*,89.00,225,39.55,0,0,0,7,2
season 2019/20,,1,2,0,39,32,19.50,94,41.48,0,0,0,3,0
season 2020/21,,2,2,0,37,37,18.50,74,50.00,0,0,1,6,0
season 2023,,1,2,0,42,36,21.00,52,80.76,0,0,0,6,0
*Asghar Afghan,2018-2021,3,4,0,44,37,11.00,93,47.31,0,0,1,7,0
*Hashmatullah Shahidi,2023-2023,1,2,0,42,36,21.00,52,80.76,0,0,0,6,0
*Rashid Khan,2019-2019,2,4,1,128,48*,42.66,319,40.12,0,0,0,10,2
is not captain,2018-2023,6,10,1,214,48*,23.77,464,46.12,0,0,1,23,2
is designated keeper,2018-2023,6,10,1,214,48*,23.77,464,46.12,0,0,1,23,2
won the toss,2019-2023,4,6,1,168,48*,33.60,351,47.86,0,0,1,19,2
lost the toss,2018-2019,2,4,0,46,32,11.50,113,40.70,0,0,0,4,0
won toss & batted,2019-2021,3,4,1,126,48*,42.00,299,42.14,0,0,1,13,2
won toss & fielded,2023-2023,1,2,0,42,36,21.00,52,80.76,0,0,0,6,0
lost toss & sent in,2019-2019,1,2,0,39,32,19.50,94,41.48,0,0,0,3,0
lost toss & fielded,2018-2018,1,2,0,7,6,3.50,19,36.84,0,0,0,1,0
matches batting first,2019-2021,4,6,1,165,48*,33.00,393,41.98,0,0,1,16,2
matches fielding first,2018-2023,2,4,0,49,36,12.25,71,69.01,0,0,0,7,0
1st team innings,2018-2023,6,5,0,152,41,30.40,305,49.83,0,0,0,20,1
2nd team innings,2018-2023,6,5,1,62,48*,15.50,159,38.99,0,0,1,3,1
1st match innings,2019-2021,4,3,0,110,41,36.66,255,43.13,0,0,0,13,1
2nd match innings,2018-2023,2,2,0,42,36,21.00,50,84.00,0,0,0,7,0
3rd match innings,2018-2021,4,4,1,56,48*,18.66,147,38.09,0,0,1,3,1
4th match innings,2021-2023,2,1,0,6,6,6.00,12,50.00,0,0,0,0,0
won match,2019-2021,2,2,1,89,48*,89.00,225,39.55,0,0,0,7,2
lost match,2018-2023,4,8,0,125,37,15.62,239,52.30,0,0,1,16,0
won batting first,2019-2021,2,2,1,89,48*,89.00,225,39.55,0,0,0,7,2
lost batting first,2019-2021,2,4,0,76,37,19.00,168,45.23,0,0,1,9,0
lost fielding first,2018-2023,2,4,0,49,36,12.25,71,69.01,0,0,0,7,0
2 team series,2018-2023,6,10,1,214,48*,23.77,464,46.12,0,0,1,23,2
only match in series,2018-2023,4,8,1,177,48*,25.28,390,45.38,0,0,0,17,2
1st match in series,2021-2021,1,2,0,37,37,18.50,74,50.00,0,0,1,6,0
2nd match in series,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-
4th position,2018-2018,1,1,0,6,6,6.00,10,60.00,0,0,0,1,0
6th position,2019-2023,3,5,1,127,48*,31.75,236,53.81,0,0,1,15,1
7th position,2018-2019,3,3,0,74,41,24.66,194,38.14,0,0,0,7,1
8th position,2019-2019,1,1,0,7,7,7.00,24,29.16,0,0,0,0,0
