,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2022-2024,4,2,0,7,4,3.50,13,53.84,0,0,0,0,0
vs SCO Women,2023-2023,1,1,0,3,3,3.00,5,60.00,0,0,0,0,0
vs SA Women,2022-2022,1,1,0,4,4,4.00,8,50.00,0,0,0,0,0
vs SL Women,2024-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
in Ireland,2022-2024,3,1,0,4,4,4.00,8,50.00,0,0,0,0,0
in Spain,2023-2023,1,1,0,3,3,3.00,5,60.00,0,0,0,0,0
in Europe,2022-2024,4,2,0,7,4,3.50,13,53.84,0,0,0,0,0
home,2022-2024,3,1,0,4,4,4.00,8,50.00,0,0,0,0,0
neutral,2023-2023,1,1,0,3,3,3.00,5,60.00,0,0,0,0,0
year 2022,,1,1,0,4,4,4.00,8,50.00,0,0,0,0,0
year 2023,,1,1,0,3,3,3.00,5,60.00,0,0,0,0,0
year 2024,,2,-,-,-,-,-,-,-,-,-,-,-,-
season 2022,,1,1,0,4,4,4.00,8,50.00,0,0,0,0,0
season 2023/24,,1,1,0,3,3,3.00,5,60.00,0,0,0,0,0
season 2024,,2,-,-,-,-,-,-,-,-,-,-,-,-
*O Prendergast,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
*L Delany,2023-2023,1,1,0,3,3,3.00,5,60.00,0,0,0,0,0
*GH Lewis,2022-2024,2,1,0,4,4,4.00,8,50.00,0,0,0,0,0
is not captain,2022-2024,4,2,0,7,4,3.50,13,53.84,0,0,0,0,0
is not keeper,2022-2024,4,2,0,7,4,3.50,13,53.84,0,0,0,0,0
won the toss,2023-2024,2,1,0,3,3,3.00,5,60.00,0,0,0,0,0
lost the toss,2022-2024,2,1,0,4,4,4.00,8,50.00,0,0,0,0,0
won toss & batted,2023-2023,1,1,0,3,3,3.00,5,60.00,0,0,0,0,0
won toss & fielded,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
lost toss & sent in,2022-2024,2,1,0,4,4,4.00,8,50.00,0,0,0,0,0
matches batting first,2022-2024,3,2,0,7,4,3.50,13,53.84,0,0,0,0,0
matches fielding first,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
1st team innings,2022-2024,4,2,0,7,4,3.50,13,53.84,0,0,0,0,0
1st match innings,2022-2024,3,2,0,7,4,3.50,13,53.84,0,0,0,0,0
2nd match innings,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
won match,2023-2024,3,1,0,3,3,3.00,5,60.00,0,0,0,0,0
lost match,2022-2022,1,1,0,4,4,4.00,8,50.00,0,0,0,0,0
won batting first,2023-2024,2,1,0,3,3,3.00,5,60.00,0,0,0,0,0
won fielding first,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
lost batting first,2022-2022,1,1,0,4,4,4.00,8,50.00,0,0,0,0,0
2 team series,2022-2024,4,2,0,7,4,3.50,13,53.84,0,0,0,0,0
5+ team tournaments,2022-2024,3,1,0,4,4,4.00,8,50.00,0,0,0,0,0
1st match in series,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
2nd match in series,2022-2024,2,1,0,4,4,4.00,8,50.00,0,0,0,0,0
3rd match in series,2023-2023,1,1,0,3,3,3.00,5,60.00,0,0,0,0,0
ICC Women's Champ,2022-2024,3,1,0,4,4,4.00,8,50.00,0,0,0,0,0
9th position,2022-2022,1,1,0,4,4,4.00,8,50.00,0,0,0,0,0
11th position,2023-2023,1,1,0,3,3,3.00,5,60.00,0,0,0,0,0
