,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2021-2024,32,47,5,1339,111,31.88,2254,59.40,1,8,3,152,7
vs England,2021-2023,10,18,0,383,66,21.27,816,46.93,0,2,1,38,3
vs India,2023-2023,5,8,1,170,66*,24.28,239,71.12,0,1,2,25,1
vs New Zealand,2024-2024,2,4,1,125,98*,41.66,176,71.02,0,1,0,17,0
vs Pakistan,2022-2024,6,7,0,308,93,44.00,549,56.10,0,3,0,32,2
vs South Africa,2022-2023,3,2,1,133,111,133.00,179,74.30,1,0,0,13,0
vs Sri Lanka,2022-2022,2,3,1,89,45,44.50,136,65.44,0,0,0,10,0
vs West Indies,2022-2024,4,5,1,131,65,32.75,159,82.38,0,1,0,17,1
in Australia,2021-2024,15,20,2,576,111,32.00,979,58.83,1,3,1,60,1
in England,2023-2023,6,11,1,314,66*,31.40,591,53.13,0,2,0,38,4
in India,2023-2023,4,6,0,56,36,9.33,65,86.15,0,0,2,10,0
in New Zealand,2024-2024,2,4,1,125,98*,41.66,176,71.02,0,1,0,17,0
in Pakistan,2022-2022,3,3,0,179,93,59.66,307,58.30,0,2,0,17,2
in Sri Lanka,2022-2022,2,3,1,89,45,44.50,136,65.44,0,0,0,10,0
in Asia,2022-2023,9,12,1,324,93,29.45,508,63.77,0,2,2,37,2
in Europe,2023-2023,6,11,1,314,66*,31.40,591,53.13,0,2,0,38,4
in Oceania,2021-2024,17,24,3,701,111,33.38,1155,60.69,1,4,1,77,1
home,2021-2024,15,20,2,576,111,32.00,979,58.83,1,3,1,60,1
away,2022-2024,16,25,2,649,98*,28.21,1101,58.94,0,4,2,77,5
neutral,2023-2023,1,2,1,114,66*,114.00,174,65.51,0,1,0,15,1
year 2021,,3,5,0,97,51,19.40,211,45.97,0,1,0,7,0
year 2022,,11,14,3,536,111,48.72,875,61.25,1,2,1,54,2
year 2023,,13,20,1,461,66*,24.26,840,54.88,0,3,2,60,4
year 2024,,5,8,1,245,98*,35.00,328,74.69,0,2,0,31,1
season 2021/22,,8,12,0,362,93,30.16,706,51.27,0,3,1,32,2
season 2022,,2,3,1,89,45,44.50,136,65.44,0,0,0,10,0
season 2022/23,,9,10,2,238,111,29.75,309,77.02,1,0,2,29,0
season 2023,,6,11,1,314,66*,31.40,591,53.13,0,2,0,38,4
season 2023/24,,7,11,1,336,98*,33.60,512,65.62,0,3,0,43,1
*PJ Cummins,2021-2024,28,41,4,1230,111,33.24,2065,59.56,1,7,2,140,7
*SPD Smith,2021-2023,4,6,1,109,51,21.80,189,57.67,0,1,1,12,0
is not captain,2021-2024,32,47,5,1339,111,31.88,2254,59.40,1,8,3,152,7
is designated keeper,2021-2024,32,47,5,1339,111,31.88,2254,59.40,1,8,3,152,7
won the toss,2021-2024,18,24,4,727,111,36.35,1184,61.40,1,4,3,80,4
lost the toss,2021-2024,14,23,1,612,66*,27.81,1070,57.19,0,4,0,72,3
won toss & batted,2021-2023,12,16,2,410,93,29.28,702,58.40,0,3,3,46,2
