,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2023-2024,9,17,0,421,92,24.76,846,49.76,0,2,1,46,2
vs Australia,2024-2024,2,4,0,56,35,14.00,136,41.17,0,0,1,4,0
vs England,2024-2024,3,6,0,142,82,23.66,264,53.78,0,1,0,18,1
vs India,2023-2023,2,3,0,112,47,37.33,258,43.41,0,0,0,14,1
vs South Africa,2024-2024,2,4,0,111,92,27.75,188,59.04,0,1,0,10,0
in Australia,2024-2024,2,4,0,56,35,14.00,136,41.17,0,0,1,4,0
in England,2024-2024,3,6,0,142,82,23.66,264,53.78,0,1,0,18,1
in West Indies,2023-2024,4,7,0,223,92,31.85,446,50.00,0,1,0,24,1
in Americas,2023-2024,4,7,0,223,92,31.85,446,50.00,0,1,0,24,1
in Europe,2024-2024,3,6,0,142,82,23.66,264,53.78,0,1,0,18,1
in Oceania,2024-2024,2,4,0,56,35,14.00,136,41.17,0,0,1,4,0
home,2023-2024,4,7,0,223,92,31.85,446,50.00,0,1,0,24,1
away,2024-2024,5,10,0,198,82,19.80,400,49.50,0,1,1,22,1
year 2023,,2,3,0,112,47,37.33,258,43.41,0,0,0,14,1
year 2024,,7,14,0,309,92,22.07,588,52.55,0,2,1,32,1
season 2023,,2,3,0,112,47,37.33,258,43.41,0,0,0,14,1
season 2023/24,,2,4,0,56,35,14.00,136,41.17,0,0,1,4,0
season 2024,,5,10,0,253,92,25.30,452,55.97,0,2,0,28,1
*KC Brathwaite,2023-2024,9,17,0,421,92,24.76,846,49.76,0,2,1,46,2
is not captain,2023-2024,9,17,0,421,92,24.76,846,49.76,0,2,1,46,2
is not keeper,2023-2024,9,17,0,421,92,24.76,846,49.76,0,2,1,46,2
won the toss,2023-2024,5,9,0,252,82,28.00,513,49.12,0,1,0,29,2
lost the toss,2024-2024,4,8,0,169,92,21.12,333,50.75,0,1,1,17,0
won toss & batted,2023-2024,3,6,0,132,47,22.00,287,45.99,0,0,0,16,1
won toss & fielded,2023-2024,2,3,0,120,82,40.00,226,53.09,0,1,0,13,1
lost toss & sent in,2024-2024,2,4,0,58,23,14.50,145,40.00,0,0,1,7,0
lost toss & fielded,2024-2024,2,4,0,111,92,27.75,188,59.04,0,1,0,10,0
matches batting first,2023-2024,5,10,0,190,47,19.00,432,43.98,0,0,1,23,1
matches fielding first,2023-2024,4,7,0,231,92,33.00,414,55.79,0,2,0,23,1
1st team innings,2023-2024,9,9,0,216,82,24.00,456,47.36,0,1,0,23,2
2nd team innings,2023-2024,9,8,0,205,92,25.62,390,52.56,0,1,1,23,0
1st match innings,2023-2024,5,5,0,93,47,18.60,215,43.25,0,0,0,10,1
2nd match innings,2023-2024,4,4,0,123,82,30.75,241,51.03,0,1,0,13,1
3rd match innings,2023-2024,5,5,0,97,35,19.40,217,44.70,0,0,1,13,0
4th match innings,2023-2024,4,3,0,108,92,36.00,173,62.42,0,1,0,10,0
day match,2023-2024,8,15,0,378,92,25.20,752,50.26,0,2,1,42,2
day/night match,2024-2024,1,2,0,43,35,21.50,94,45.74,0,0,0,4,0
won match,2024-2024,1,2,0,43,35,21.50,94,45.74,0,0,0,4,0
lost match,2023-2024,6,12,0,246,82,20.50,501,49.10,0,1,1,30,2
drawn match,2023-2024,2,3,0,132,92,44.00,251,52.58,0,1,0,12,0
won batting first,2024-2024,1,2,0,43,35,21.50,94,45.74,0,0,0,4,0
lost batting first,2023-2024,4,8,0,147,47,18.37,338,43.49,0,0,1,19,1
lost fielding first,2024-2024,2,4,0,99,82,24.75,163,60.73,0,1,0,11,1
drawn fielding first,2023-2024,2,3,0,132,92,44.00,251,52.58,0,1,0,12,0
2 team series,2023-2024,9,17,0,421,92,24.76,846,49.76,0,2,1,46,2
5+ team tournaments,2023-2024,9,17,0,421,92,24.76,846,49.76,0,2,1,46,2
1st match in series,2023-2024,4,8,0,228,92,28.50,424,53.77,0,1,1,27,1
2nd match in series,2023-2024,4,7,0,179,82,25.57,372,48.11,0,1,0,18,1
3rd match in series,2024-2024,1,2,0,14,12,7.00,50,28.00,0,0,0,1,0
Botham-Richards Trop,2024-2024,3,6,0,142,82,23.66,264,53.78,0,1,0,18,1
Frank Worrell Trophy,2024-2024,2,4,0,56,35,14.00,136,41.17,0,0,1,4,0
ICC World Test Champ,2023-2024,9,17,0,421,92,24.76,846,49.76,0,2,1,46,2
4th position,2024-2024,7,14,0,309,92,22.07,588,52.55,0,2,1,32,1
5th position,2023-2023,2,3,0,112,47,37.33,258,43.41,0,0,0,14,1
