,Mat,Inns,Overs,Mdns,Runs,Wkts,Econ,4w,5w
overview,2,2,9.0,0,47,0,5.22,0,0
vs Ireland,2,2,9.0,0,47,0,5.22,0,0
in U.A.E.,2,2,9.0,0,47,0,5.22,0,0
in Asia,2,2,9.0,0,47,0,5.22,0,0
neutral,2,2,9.0,0,47,0,5.22,0,0
year 2024,2,2,9.0,0,47,0,5.22,0,0
season 2023/24,2,2,9.0,0,47,0,5.22,0,0
*Hashmatullah Shahidi,2,2,9.0,0,47,0,5.22,0,0
is not captain,2,2,9.0,0,47,0,5.22,0,0
is not keeper,2,2,9.0,0,47,0,5.22,0,0
lost the toss,2,2,9.0,0,47,0,5.22,0,0
lost toss & sent in,2,2,9.0,0,47,0,5.22,0,0
matches batting first,2,2,9.0,0,47,0,5.22,0,0
1st team innings,2,2,9.0,0,47,0,5.22,0,0
2nd match innings,2,2,9.0,0,47,0,5.22,0,0
won match,2,2,9.0,0,47,0,5.22,0,0
won batting first,2,2,9.0,0,47,0,5.22,0,0
2 team series,2,2,9.0,0,47,0,5.22,0,0
1st match in series,1,1,6.0,0,34,0,5.66,0,0
3rd match in series,1,1,3.0,0,13,0,4.33,0,0
3rd position,1,1,6.0,0,34,0,5.66,0,0
4th position,1,1,3.0,0,13,0,4.33,0,0
