,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2013-2022,5,10,0,100,23,10.00,260,38.46,0,0,1,14,0
vs New Zealand,2013-2013,2,4,0,50,22,12.50,101,49.50,0,0,0,7,0
vs Sri Lanka,2013-2013,1,2,0,14,13,7.00,72,19.44,0,0,0,1,0
vs West Indies,2014-2022,2,4,0,36,23,9.00,87,41.37,0,0,1,6,0
in Bangladesh,2013-2013,2,4,0,50,22,12.50,101,49.50,0,0,0,7,0
in Sri Lanka,2013-2013,1,2,0,14,13,7.00,72,19.44,0,0,0,1,0
in West Indies,2014-2022,2,4,0,36,23,9.00,87,41.37,0,0,1,6,0
in Americas,2014-2022,2,4,0,36,23,9.00,87,41.37,0,0,1,6,0
in Asia,2013-2013,3,6,0,64,22,10.66,173,36.99,0,0,0,8,0
home,2013-2013,2,4,0,50,22,12.50,101,49.50,0,0,0,7,0
away,2013-2022,3,6,0,50,23,8.33,159,31.44,0,0,1,7,0
year 2013,,3,6,0,64,22,10.66,173,36.99,0,0,0,8,0
year 2014,,1,2,0,9,9,4.50,47,19.14,0,0,1,0,0
year 2022,,1,2,0,27,23,13.50,40,67.50,0,0,0,6,0
season 2012/13,,1,2,0,14,13,7.00,72,19.44,0,0,0,1,0
season 2013/14,,2,4,0,50,22,12.50,101,49.50,0,0,0,7,0
season 2014,,1,2,0,9,9,4.50,47,19.14,0,0,1,0,0
season 2022,,1,2,0,27,23,13.50,40,67.50,0,0,0,6,0
*Mushfiqur Rahim,2013-2014,4,8,0,73,22,9.12,220,33.18,0,0,1,8,0
*Shakib Al Hasan,2022-2022,1,2,0,27,23,13.50,40,67.50,0,0,0,6,0
is not captain,2013-2022,5,10,0,100,23,10.00,260,38.46,0,0,1,14,0
is not keeper,2013-2022,5,10,0,100,23,10.00,260,38.46,0,0,1,14,0
won the toss,2013-2014,2,4,0,38,22,9.50,83,45.78,0,0,1,5,0
lost the toss,2013-2022,3,6,0,62,23,10.33,177,35.02,0,0,0,9,0
won toss & batted,2013-2013,1,2,0,29,22,14.50,36,80.55,0,0,0,5,0
won toss & fielded,2014-2014,1,2,0,9,9,4.50,47,19.14,0,0,1,0,0
lost toss & sent in,2022-2022,1,2,0,27,23,13.50,40,67.50,0,0,0,6,0
lost toss & fielded,2013-2013,2,4,0,35,18,8.75,137,25.54,0,0,0,3,0
matches batting first,2013-2022,2,4,0,56,23,14.00,76,73.68,0,0,0,11,0
matches fielding first,2013-2014,3,6,0,44,18,7.33,184,23.91,0,0,1,3,0
1st team innings,2013-2022,5,5,0,55,23,11.00,161,34.16,0,0,0,7,0
2nd team innings,2013-2022,5,5,0,45,22,9.00,99,45.45,0,0,1,7,0
1st match innings,2013-2022,2,2,0,30,23,15.00,43,69.76,0,0,0,6,0
2nd match innings,2013-2014,3,3,0,25,13,8.33,118,21.18,0,0,0,1,0
3rd match innings,2013-2022,2,2,0,26,22,13.00,33,78.78,0,0,0,5,0
4th match innings,2013-2014,3,3,0,19,18,6.33,66,28.78,0,0,1,2,0
lost match,2014-2022,2,4,0,36,23,9.00,87,41.37,0,0,1,6,0
drawn match,2013-2013,3,6,0,64,22,10.66,173,36.99,0,0,0,8,0
lost batting first,2022-2022,1,2,0,27,23,13.50,40,67.50,0,0,0,6,0
lost fielding first,2014-2014,1,2,0,9,9,4.50,47,19.14,0,0,1,0,0
drawn batting first,2013-2013,1,2,0,29,22,14.50,36,80.55,0,0,0,5,0
drawn fielding first,2013-2013,2,4,0,35,18,8.75,137,25.54,0,0,0,3,0
2 team series,2013-2022,5,10,0,100,23,10.00,260,38.46,0,0,1,14,0
5+ team tournaments,2022-2022,1,2,0,27,23,13.50,40,67.50,0,0,0,6,0
1st match in series,2013-2013,2,4,0,35,18,8.75,137,25.54,0,0,0,3,0
2nd match in series,2013-2022,3,6,0,65,23,10.83,123,52.84,0,0,1,11,0
ICC World Test Champ,2022-2022,1,2,0,27,23,13.50,40,67.50,0,0,0,6,0
2nd position,2013-2013,3,6,0,64,22,10.66,173,36.99,0,0,0,8,0
3rd position,2014-2014,1,2,0,9,9,4.50,47,19.14,0,0,1,0,0
4th position,2022-2022,1,2,0,27,23,13.50,40,67.50,0,0,0,6,0
