,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2018-2024,9,18,1,401,95,23.58,764,52.48,0,4,3,52,0
vs Afghanistan,2019-2024,2,4,1,146,82,48.66,264,55.30,0,2,0,17,0
vs Bangladesh,2023-2023,1,2,0,19,16,9.50,62,30.64,0,0,0,0,0
vs England,2019-2023,2,4,0,62,55,15.50,89,69.66,0,1,1,11,0
vs Pakistan,2018-2018,1,2,0,0,0,0.00,12,0.00,0,0,2,0,0
vs Sri Lanka,2023-2023,2,4,0,151,95,37.75,284,53.16,0,1,0,21,0
vs Zimbabwe,2024-2024,1,2,0,23,19,11.50,53,43.39,0,0,0,3,0
in Bangladesh,2023-2023,1,2,0,19,16,9.50,62,30.64,0,0,0,0,0
in England,2019-2023,2,4,0,62,55,15.50,89,69.66,0,1,1,11,0
in India,2019-2019,1,2,0,86,82,43.00,156,55.12,0,1,0,12,0
in Ireland,2018-2024,2,4,0,23,19,5.75,65,35.38,0,0,2,3,0
in Sri Lanka,2023-2023,2,4,0,151,95,37.75,284,53.16,0,1,0,21,0
in U.A.E.,2024-2024,1,2,1,60,58*,60.00,108,55.55,0,1,0,5,0
in Asia,2019-2024,5,10,1,316,95,35.11,610,51.80,0,3,0,38,0
in Europe,2018-2024,4,8,0,85,55,10.62,154,55.19,0,1,3,14,0
home,2018-2024,2,4,0,23,19,5.75,65,35.38,0,0,2,3,0
away,2019-2023,5,10,0,232,95,23.20,435,53.33,0,2,1,32,0
neutral,2019-2024,2,4,1,146,82,48.66,264,55.30,0,2,0,17,0
year 2018,,1,2,0,0,0,0.00,12,0.00,0,0,2,0,0
year 2019,,2,4,0,146,82,36.50,235,62.12,0,2,0,23,0
year 2023,,4,8,0,172,95,21.50,356,48.31,0,1,1,21,0
year 2024,,2,4,1,83,58*,27.66,161,51.55,0,1,0,8,0
season 2018,,1,2,0,0,0,0.00,12,0.00,0,0,2,0,0
season 2018/19,,1,2,0,86,82,43.00,156,55.12,0,1,0,12,0
season 2019,,1,2,0,60,55,30.00,79,75.94,0,1,0,11,0
season 2022/23,,1,2,0,19,16,9.50,62,30.64,0,0,0,0,0
season 2023,,3,6,0,153,95,25.50,294,52.04,0,1,1,21,0
season 2023/24,,1,2,1,60,58*,60.00,108,55.55,0,1,0,5,0
season 2024,,1,2,0,23,19,11.50,53,43.39,0,0,0,3,0
*A Balbirnie,2023-2024,6,12,1,255,95,23.18,517,49.32,0,2,1,29,0
*WTS Porterfield,2018-2019,3,6,0,146,82,24.33,247,59.10,0,2,2,23,0
is captain,2023-2024,6,12,1,255,95,23.18,517,49.32,0,2,1,29,0
is not captain,2018-2019,3,6,0,146,82,24.33,247,59.10,0,2,2,23,0
is not keeper,2018-2024,9,18,1,401,95,23.58,764,52.48,0,4,3,52,0
won the toss,2018-2024,5,10,0,269,95,26.90,547,49.17,0,2,2,34,0
lost the toss,2019-2024,4,8,1,132,58*,18.85,217,60.82,0,2,1,18,0
won toss & batted,2019-2023,3,6,0,246,95,41.00,482,51.03,0,2,0,31,0
won toss & fielded,2018-2024,2,4,0,23,19,5.75,65,35.38,0,0,2,3,0
lost toss & sent in,2023-2023,1,2,0,2,2,1.00,10,20.00,0,0,1,0,0
lost toss & fielded,2019-2024,3,6,1,130,58*,26.00,207,62.80,0,2,0,18,0
matches batting first,2019-2023,4,8,0,248,95,31.00,492,50.40,0,2,1,31,0
matches fielding first,2018-2024,5,10,1,153,58*,17.00,272,56.25,0,2,2,21,0
1st team innings,2018-2024,9,9,0,195,95,21.66,363,53.71,0,2,2,28,0
2nd team innings,2018-2024,9,9,1,206,82,25.75,401,51.37,0,2,1,24,0
1st match innings,2019-2023,4,4,0,115,95,28.75,225,51.11,0,1,1,15,0
2nd match innings,2018-2024,5,5,0,80,55,16.00,138,57.97,0,1,1,13,0
3rd match innings,2018-2023,6,6,0,139,82,23.16,287,48.43,0,1,1,17,0
4th match innings,2019-2024,3,3,1,67,58*,33.50,114,58.77,0,1,0,7,0
won match,2024-2024,2,4,1,83,58*,27.66,161,51.55,0,1,0,8,0
lost match,2018-2023,7,14,0,318,95,22.71,603,52.73,0,3,3,44,0
won fielding first,2024-2024,2,4,1,83,58*,27.66,161,51.55,0,1,0,8,0
lost batting first,2019-2023,4,8,0,248,95,31.00,492,50.40,0,2,1,31,0
lost fielding first,2018-2023,3,6,0,70,55,11.66,111,63.06,0,1,2,13,0
2 team series,2018-2024,9,18,1,401,95,23.58,764,52.48,0,4,3,52,0
only match in series,2018-2024,7,14,1,250,82,19.23,480,52.08,0,3,3,31,0
1st match in series,2023-2023,1,2,0,10,6,5.00,20,50.00,0,0,0,2,0
2nd match in series,2023-2023,1,2,0,141,95,70.50,264,53.40,0,1,0,19,0
2nd position,2024-2024,2,4,1,83,58*,27.66,161,51.55,0,1,0,8,0
3rd position,2018-2023,7,14,0,318,95,22.71,603,52.73,0,3,3,44,0
