,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2022-2024,3,5,0,78,39,15.60,156,50.00,0,0,2,11,1
vs AUS Women,2024-2024,1,2,0,0,0,0.00,7,0.00,0,0,2,0,0
vs ENG Women,2022-2022,1,1,0,30,30,30.00,58,51.72,0,0,0,5,0
vs India Women,2024-2024,1,2,0,48,39,24.00,91,52.74,0,0,0,6,1
in Australia,2024-2024,1,2,0,0,0,0.00,7,0.00,0,0,2,0,0
in England,2022-2022,1,1,0,30,30,30.00,58,51.72,0,0,0,5,0
in India,2024-2024,1,2,0,48,39,24.00,91,52.74,0,0,0,6,1
in Asia,2024-2024,1,2,0,48,39,24.00,91,52.74,0,0,0,6,1
in Europe,2022-2022,1,1,0,30,30,30.00,58,51.72,0,0,0,5,0
in Oceania,2024-2024,1,2,0,0,0,0.00,7,0.00,0,0,2,0,0
away,2022-2024,3,5,0,78,39,15.60,156,50.00,0,0,2,11,1
year 2022,,1,1,0,30,30,30.00,58,51.72,0,0,0,5,0
year 2024,,2,4,0,48,39,12.00,98,48.97,0,0,2,6,1
season 2022,,1,1,0,30,30,30.00,58,51.72,0,0,0,5,0
season 2023/24,,1,2,0,0,0,0.00,7,0.00,0,0,2,0,0
season 2024,,1,2,0,48,39,24.00,91,52.74,0,0,0,6,1
*S Luus,2022-2022,1,1,0,30,30,30.00,58,51.72,0,0,0,5,0
*L Wolvaardt,2024-2024,2,4,0,48,39,12.00,98,48.97,0,0,2,6,1
is not captain,2022-2024,3,5,0,78,39,15.60,156,50.00,0,0,2,11,1
is not keeper,2022-2024,3,5,0,78,39,15.60,156,50.00,0,0,2,11,1
lost the toss,2022-2024,3,5,0,78,39,15.60,156,50.00,0,0,2,11,1
lost toss & sent in,2022-2024,2,3,0,30,30,10.00,65,46.15,0,0,2,5,0
lost toss & fielded,2024-2024,1,2,0,48,39,24.00,91,52.74,0,0,0,6,1
matches batting first,2022-2024,2,3,0,30,30,10.00,65,46.15,0,0,2,5,0
matches fielding first,2024-2024,1,2,0,48,39,24.00,91,52.74,0,0,0,6,1
1st team innings,2022-2024,3,3,0,69,39,23.00,134,51.49,0,0,1,9,1
2nd team innings,2022-2024,3,2,0,9,9,4.50,22,40.90,0,0,1,2,0
1st match innings,2022-2024,2,2,0,30,30,15.00,61,49.18,0,0,1,5,0
2nd match innings,2024-2024,1,1,0,39,39,39.00,73,53.42,0,0,0,4,1
3rd match innings,2022-2024,3,2,0,9,9,4.50,22,40.90,0,0,1,2,0
lost match,2024-2024,2,4,0,48,39,12.00,98,48.97,0,0,2,6,1
drawn match,2022-2022,1,1,0,30,30,30.00,58,51.72,0,0,0,5,0
lost batting first,2024-2024,1,2,0,0,0,0.00,7,0.00,0,0,2,0,0
lost fielding first,2024-2024,1,2,0,48,39,24.00,91,52.74,0,0,0,6,1
drawn batting first,2022-2022,1,1,0,30,30,30.00,58,51.72,0,0,0,5,0
2 team series,2022-2024,3,5,0,78,39,15.60,156,50.00,0,0,2,11,1
only match in series,2022-2024,3,5,0,78,39,15.60,156,50.00,0,0,2,11,1
2nd position,2024-2024,2,4,0,48,39,12.00,98,48.97,0,0,2,6,1
7th position,2022-2022,1,1,0,30,30,30.00,58,51.72,0,0,0,5,0
