,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
overview,2022-2024,8,7,57.1,2,289,12,5/37,24.08,5.05,28.5,1,1
vs New Zealand,2022-2022,3,2,13.1,1,89,0,-,-,6.75,-,0,0
vs South Africa,2023-2023,3,3,27.0,1,95,10,5/37,9.50,3.51,16.2,1,1
vs Sri Lanka,2024-2024,2,2,17.0,0,105,2,2/47,52.50,6.17,51.0,0,0
in New Zealand,2022-2022,3,2,13.1,1,89,0,-,-,6.75,-,0,0
in South Africa,2023-2023,3,3,27.0,1,95,10,5/37,9.50,3.51,16.2,1,1
in Sri Lanka,2024-2024,2,2,17.0,0,105,2,2/47,52.50,6.17,51.0,0,0
in Africa,2023-2023,3,3,27.0,1,95,10,5/37,9.50,3.51,16.2,1,1
in Asia,2024-2024,2,2,17.0,0,105,2,2/47,52.50,6.17,51.0,0,0
in Oceania,2022-2022,3,2,13.1,1,89,0,-,-,6.75,-,0,0
away,2022-2024,8,7,57.1,2,289,12,5/37,24.08,5.05,28.5,1,1
year 2022,,3,2,13.1,1,89,0,-,-,6.75,-,0,0
year 2023,,3,3,27.0,1,95,10,5/37,9.50,3.51,16.2,1,1
year 2024,,2,2,17.0,0,105,2,2/47,52.50,6.17,51.0,0,0
season 2022/23,,3,2,13.1,1,89,0,-,-,6.75,-,0,0
season 2023/24,,3,3,27.0,1,95,10,5/37,9.50,3.51,16.2,1,1
season 2024,,2,2,17.0,0,105,2,2/47,52.50,6.17,51.0,0,0
*S Dhawan,2022-2022,3,2,13.1,1,89,0,-,-,6.75,-,0,0
*KL Rahul,2023-2023,3,3,27.0,1,95,10,5/37,9.50,3.51,16.2,1,1
*RG Sharma,2024-2024,2,2,17.0,0,105,2,2/47,52.50,6.17,51.0,0,0
is not captain,2022-2024,8,7,57.1,2,289,12,5/37,24.08,5.05,28.5,1,1
is not keeper,2022-2024,8,7,57.1,2,289,12,5/37,24.08,5.05,28.5,1,1
lost the toss,2022-2024,8,7,57.1,2,289,12,5/37,24.08,5.05,28.5,1,1
lost toss & sent in,2022-2023,5,4,30.1,2,147,5,4/30,29.40,4.87,36.2,1,0
lost toss & fielded,2023-2024,3,3,27.0,0,142,7,5/37,20.28,5.25,23.1,0,1
matches batting first,2022-2023,5,4,30.1,2,147,5,4/30,29.40,4.87,36.2,1,0
matches fielding first,2023-2024,3,3,27.0,0,142,7,5/37,20.28,5.25,23.1,0,1
1st team innings,2022-2024,7,7,57.1,2,289,12,5/37,24.08,5.05,28.5,1,1
1st match innings,2023-2024,3,3,27.0,0,142,7,5/37,20.28,5.25,23.1,0,1
2nd match innings,2022-2023,4,4,30.1,2,147,5,4/30,29.40,4.87,36.2,1,0
day match,2023-2023,1,1,10.0,0,37,5,5/37,7.40,3.70,12.0,0,1
day/night match,2022-2024,7,6,47.1,2,252,7,4/30,36.00,5.34,40.4,1,0
won match,2023-2023,2,2,19.0,1,67,9,5/37,7.44,3.52,12.6,1,1
lost match,2022-2024,3,3,25.1,0,154,1,1/28,154.00,6.11,151.0,0,0
tied match,2024-2024,1,1,8.0,0,47,2,2/47,23.50,5.87,24.0,0,0
no result,2022-2022,2,1,5.0,1,21,0,-,-,4.20,-,0,0
won batting first,2023-2023,1,1,9.0,1,30,4,4/30,7.50,3.33,13.5,1,0
won fielding first,2023-2023,1,1,10.0,0,37,5,5/37,7.40,3.70,12.0,0,1
lost batting first,2022-2023,2,2,16.1,0,96,1,1/28,96.00,5.93,97.0,0,0
lost fielding first,2024-2024,1,1,9.0,0,58,0,-,-,6.44,-,0,0
tied fielding first,2024-2024,1,1,8.0,0,47,2,2/47,23.50,5.87,24.0,0,0
no result batting first,2022-2022,2,1,5.0,1,21,0,-,-,4.20,-,0,0
2 team series,2022-2024,8,7,57.1,2,289,12,5/37,24.08,5.05,28.5,1,1
5+ team tournaments,2022-2022,3,2,13.1,1,89,0,-,-,6.75,-,0,0
1st match in series,2022-2024,3,3,26.1,0,152,7,5/37,21.71,5.80,22.4,0,1
2nd match in series,2022-2024,3,2,17.0,0,86,1,1/28,86.00,5.05,102.0,0,0
3rd match in series,2022-2023,2,2,14.0,2,51,4,4/30,12.75,3.64,21.0,1,0
1st position,2022-2022,1,1,8.1,0,68,0,-,-,8.32,-,0,0
2nd position,2022-2024,6,6,49.0,2,221,12,5/37,18.41,4.51,24.5,1,1
