,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2021-2023,6,5,1,141,55*,35.25,217,64.97,0,2,0,9,1
vs Bangladesh,2021-2021,2,2,0,18,15,9.00,55,32.72,0,0,0,1,0
vs India,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
vs West Indies,2021-2021,3,3,1,123,55*,61.50,162,75.92,0,2,0,8,1
in Bangladesh,2021-2021,2,2,0,18,15,9.00,55,32.72,0,0,0,1,0
in India,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
in West Indies,2021-2021,3,3,1,123,55*,61.50,162,75.92,0,2,0,8,1
in Americas,2021-2021,3,3,1,123,55*,61.50,162,75.92,0,2,0,8,1
in Asia,2021-2023,3,2,0,18,15,9.00,55,32.72,0,0,0,1,0
away,2021-2023,6,5,1,141,55*,35.25,217,64.97,0,2,0,9,1
year 2021,,5,5,1,141,55*,35.25,217,64.97,0,2,0,9,1
year 2023,,1,-,-,-,-,-,-,-,-,-,-,-,-
season 2020/21,,3,3,1,123,55*,61.50,162,75.92,0,2,0,8,1
season 2021,,2,2,0,18,15,9.00,55,32.72,0,0,0,1,0
season 2022/23,,1,-,-,-,-,-,-,-,-,-,-,-,-
*FDM Karunaratne,2021-2021,3,3,1,123,55*,61.50,162,75.92,0,2,0,8,1
*MDKJ Perera,2021-2021,2,2,0,18,15,9.00,55,32.72,0,0,0,1,0
*MD Shanaka,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
is not captain,2021-2023,6,5,1,141,55*,35.25,217,64.97,0,2,0,9,1
is not keeper,2021-2023,6,5,1,141,55*,35.25,217,64.97,0,2,0,9,1
won the toss,2021-2021,1,1,0,50,50,50.00,60,83.33,0,1,0,4,0
lost the toss,2021-2023,5,4,1,91,55*,30.33,157,57.96,0,1,0,5,1
won toss & batted,2021-2021,1,1,0,50,50,50.00,60,83.33,0,1,0,4,0
lost toss & sent in,2021-2021,2,2,1,73,55*,73.00,102,71.56,0,1,0,4,1
lost toss & fielded,2021-2023,3,2,0,18,15,9.00,55,32.72,0,0,0,1,0
matches batting first,2021-2021,3,3,1,123,55*,61.50,162,75.92,0,2,0,8,1
matches fielding first,2021-2023,3,2,0,18,15,9.00,55,32.72,0,0,0,1,0
1st team innings,2021-2023,6,5,1,141,55*,35.25,217,64.97,0,2,0,9,1
1st match innings,2021-2021,3,3,1,123,55*,61.50,162,75.92,0,2,0,8,1
2nd match innings,2021-2023,3,2,0,18,15,9.00,55,32.72,0,0,0,1,0
day match,2021-2021,3,3,1,123,55*,61.50,162,75.92,0,2,0,8,1
day/night match,2021-2023,3,2,0,18,15,9.00,55,32.72,0,0,0,1,0
lost match,2021-2023,6,5,1,141,55*,35.25,217,64.97,0,2,0,9,1
lost batting first,2021-2021,3,3,1,123,55*,61.50,162,75.92,0,2,0,8,1
lost fielding first,2021-2023,3,2,0,18,15,9.00,55,32.72,0,0,0,1,0
2 team series,2021-2023,6,5,1,141,55*,35.25,217,64.97,0,2,0,9,1
5+ team tournaments,2021-2021,5,5,1,141,55*,35.25,217,64.97,0,2,0,9,1
1st match in series,2021-2021,2,2,0,53,50,26.50,84,63.09,0,1,0,4,0
2nd match in series,2021-2021,2,2,0,33,18,16.50,59,55.93,0,0,0,2,0
3rd match in series,2021-2023,2,1,1,55,55*,-,74,74.32,0,1,0,3,1
6th position,2021-2021,5,5,1,141,55*,35.25,217,64.97,0,2,0,9,1
