,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Avg,Econ,SR,5w,10w
overview,2013-2023,5,10,167.4,36,468,9,3/46,5/101,52.00,2.79,111.7,0,0
vs Bangladesh,2017-2017,2,4,61.4,14,162,7,3/46,5/101,23.14,2.62,52.8,0,0
vs England,2013-2013,2,4,84.0,17,248,2,2/82,2/106,124.00,2.95,252.0,0,0
vs South Africa,2023-2023,1,2,22.0,5,58,0,-,-,-,2.63,-,0,0
in Australia,2023-2023,1,2,22.0,5,58,0,-,-,-,2.63,-,0,0
in Bangladesh,2017-2017,2,4,61.4,14,162,7,3/46,5/101,23.14,2.62,52.8,0,0
in England,2013-2013,2,4,84.0,17,248,2,2/82,2/106,124.00,2.95,252.0,0,0
in Asia,2017-2017,2,4,61.4,14,162,7,3/46,5/101,23.14,2.62,52.8,0,0
in Europe,2013-2013,2,4,84.0,17,248,2,2/82,2/106,124.00,2.95,252.0,0,0
in Oceania,2023-2023,1,2,22.0,5,58,0,-,-,-,2.63,-,0,0
home,2023-2023,1,2,22.0,5,58,0,-,-,-,2.63,-,0,0
away,2013-2017,4,8,145.4,31,410,9,3/46,5/101,45.55,2.81,97.1,0,0
year 2013,,2,4,84.0,17,248,2,2/82,2/106,124.00,2.95,252.0,0,0
year 2017,,2,4,61.4,14,162,7,3/46,5/101,23.14,2.62,52.8,0,0
year 2023,,1,2,22.0,5,58,0,-,-,-,2.63,-,0,0
season 2013,,2,4,84.0,17,248,2,2/82,2/106,124.00,2.95,252.0,0,0
season 2017,,2,4,61.4,14,162,7,3/46,5/101,23.14,2.62,52.8,0,0
season 2022/23,,1,2,22.0,5,58,0,-,-,-,2.63,-,0,0
*MJ Clarke,2013-2013,2,4,84.0,17,248,2,2/82,2/106,124.00,2.95,252.0,0,0
*PJ Cummins,2023-2023,1,2,22.0,5,58,0,-,-,-,2.63,-,0,0
*SPD Smith,2017-2017,2,4,61.4,14,162,7,3/46,5/101,23.14,2.62,52.8,0,0
is not captain,2013-2023,5,10,167.4,36,468,9,3/46,5/101,52.00,2.79,111.7,0,0
is not keeper,2013-2023,5,10,167.4,36,468,9,3/46,5/101,52.00,2.79,111.7,0,0
won the toss,2023-2023,1,2,22.0,5,58,0,-,-,-,2.63,-,0,0
lost the toss,2013-2017,4,8,145.4,31,410,9,3/46,5/101,45.55,2.81,97.1,0,0
won toss & batted,2023-2023,1,2,22.0,5,58,0,-,-,-,2.63,-,0,0
lost toss & fielded,2013-2017,4,8,145.4,31,410,9,3/46,5/101,45.55,2.81,97.1,0,0
matches batting first,2023-2023,1,2,22.0,5,58,0,-,-,-,2.63,-,0,0
matches fielding first,2013-2017,4,8,145.4,31,410,9,3/46,5/101,45.55,2.81,97.1,0,0
1st team innings,2013-2023,5,5,69.5,17,196,5,3/46,5/101,39.20,2.80,83.8,0,0
2nd team innings,2013-2023,5,5,97.5,19,272,4,2/55,5/101,68.00,2.78,146.7,0,0
1st match innings,2013-2017,4,4,55.5,14,166,5,3/46,5/101,33.20,2.97,67.0,0,0
2nd match innings,2023-2023,1,1,14.0,3,30,0,-,-,-,2.14,-,0,0
3rd match innings,2013-2023,5,5,97.5,19,272,4,2/55,5/101,68.00,2.78,146.7,0,0
won match,2017-2017,1,2,28.0,10,61,2,2/52,2/61,30.50,2.17,84.0,0,0
lost match,2013-2017,3,6,117.4,21,349,7,3/46,5/101,49.85,2.96,100.8,0,0
drawn match,2023-2023,1,2,22.0,5,58,0,-,-,-,2.63,-,0,0
won fielding first,2017-2017,1,2,28.0,10,61,2,2/52,2/61,30.50,2.17,84.0,0,0
lost fielding first,2013-2017,3,6,117.4,21,349,7,3/46,5/101,49.85,2.96,100.8,0,0
drawn batting first,2023-2023,1,2,22.0,5,58,0,-,-,-,2.63,-,0,0
2 team series,2013-2023,5,10,167.4,36,468,9,3/46,5/101,52.00,2.79,111.7,0,0
5+ team tournaments,2023-2023,1,2,22.0,5,58,0,-,-,-,2.63,-,0,0
1st match in series,2013-2017,2,4,75.4,14,207,7,3/46,5/101,29.57,2.73,64.8,0,0
2nd match in series,2013-2017,2,4,70.0,17,203,2,2/52,2/61,101.50,2.90,210.0,0,0
3rd match in series,2023-2023,1,2,22.0,5,58,0,-,-,-,2.63,-,0,0
ICC World Test Champ,2023-2023,1,2,22.0,5,58,0,-,-,-,2.63,-,0,0
The Ashes,2013-2013,2,4,84.0,17,248,2,2/82,2/106,124.00,2.95,252.0,0,0
2nd position,2023-2023,1,1,8.0,2,28,0,-,-,-,3.50,-,0,0
3rd position,2013-2013,1,1,35.0,9,82,2,2/82,2/106,41.00,2.34,105.0,0,0
4th position,2013-2023,4,5,61.5,16,161,5,3/46,5/101,32.20,2.60,74.2,0,0
5th position,2013-2017,2,2,33.5,4,99,2,2/55,5/101,49.50,2.92,101.5,0,0
6th position,2013-2013,1,1,29.0,5,98,0,-,-,-,3.37,-,0,0
