,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2018-2022,21,16,1,382,52,25.46,314,121.65,0,3,0,22,21
vs Afghanistan,2018-2018,1,1,0,7,7,7.00,6,116.66,0,0,0,0,1
vs Australia,2019-2022,2,1,0,5,5,5.00,8,62.50,0,0,0,0,0
vs Bangladesh,2018-2018,1,1,0,31,31,31.00,47,65.95,0,0,0,3,0
vs England,2019-2019,6,5,0,156,52,31.20,119,131.09,0,2,0,7,9
vs Hong Kong,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-
vs India,2018-2018,2,2,0,39,30,19.50,31,125.80,0,0,0,1,3
vs New Zealand,2018-2018,1,1,0,9,9,9.00,6,150.00,0,0,0,0,1
vs South Africa,2021-2021,2,2,0,21,19,10.50,34,61.76,0,0,0,2,0
vs Zimbabwe,2018-2018,5,3,1,114,50*,57.00,63,180.95,0,1,0,9,7
in England,2019-2019,7,6,0,161,52,26.83,127,126.77,0,2,0,7,9
in Pakistan,2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,-
in South Africa,2021-2021,2,2,0,21,19,10.50,34,61.76,0,0,0,2,0
in U.A.E.,2018-2018,6,5,0,86,31,17.20,90,95.55,0,0,0,4,5
in Zimbabwe,2018-2018,5,3,1,114,50*,57.00,63,180.95,0,1,0,9,7
in Africa,2018-2021,7,5,1,135,50*,33.75,97,139.17,0,1,0,11,7
in Asia,2018-2022,7,5,0,86,31,17.20,90,95.55,0,0,0,4,5
in Europe,2019-2019,7,6,0,161,52,26.83,127,126.77,0,2,0,7,9
home,2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,-
away,2018-2021,13,10,1,291,52,32.33,216,134.72,0,3,0,18,16
neutral,2018-2019,7,6,0,91,31,15.16,98,92.85,0,0,0,4,5
year 2018,,11,8,1,200,50*,28.57,153,130.71,0,1,0,13,12
year 2019,,7,6,0,161,52,26.83,127,126.77,0,2,0,7,9
year 2021,,2,2,0,21,19,10.50,34,61.76,0,0,0,2,0
year 2022,,1,-,-,-,-,-,-,-,-,-,-,-,-
season 2018,,10,7,1,191,50*,31.83,147,129.93,0,1,0,13,11
season 2018/19,,1,1,0,9,9,9.00,6,150.00,0,0,0,0,1
season 2019,,7,6,0,161,52,26.83,127,126.77,0,2,0,7,9
season 2021,,2,2,0,21,19,10.50,34,61.76,0,0,0,2,0
season 2021/22,,1,-,-,-,-,-,-,-,-,-,-,-,-
*Babar Azam,2021-2022,3,2,0,21,19,10.50,34,61.76,0,0,0,2,0
*Sarfaraz Ahmed,2018-2019,18,14,1,361,52,27.76,280,128.92,0,3,0,20,21
is not captain,2018-2022,21,16,1,382,52,25.46,314,121.65,0,3,0,22,21
is not keeper,2018-2022,21,16,1,382,52,25.46,314,121.65,0,3,0,22,21
won the toss,2018-2022,10,9,1,193,51,24.12,153,126.14,0,2,0,10,13
lost the toss,2018-2019,11,7,0,189,52,27.00,161,117.39,0,1,0,12,8
won toss & batted,2018-2018,5,5,1,116,50*,29.00,75,154.66,0,1,0,6,9
won toss & fielded,2019-2022,5,4,0,77,51,19.25,78,98.71,0,1,0,4,4
lost toss & sent in,2018-2019,5,4,0,129,52,32.25,91,141.75,0,1,0,7,7
lost toss & fielded,2018-2019,6,3,0,60,31,20.00,70,85.71,0,0,0,5,1
