,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
overview,2023-2024,12,11,69.1,4,261,10,4/36,26.10,3.77,41.5,1,0
vs AUS Women,2023-2023,2,2,8.0,0,55,0,-,-,6.87,-,0,0
vs SCO Women,2023-2023,3,3,22.0,1,94,5,4/36,18.80,4.27,26.4,1,0
vs SL Women,2024-2024,1,1,3.0,1,14,1,1/14,14.00,4.66,18.0,0,0
vs WI Women,2023-2023,3,2,16.1,0,56,1,1/33,56.00,3.46,97.0,0,0
vs ZIM Women,2024-2024,3,3,20.0,2,42,3,2/19,14.00,2.10,40.0,0,0
in Ireland,2023-2024,3,3,11.0,1,69,1,1/14,69.00,6.27,66.0,0,0
in Spain,2023-2023,3,3,22.0,1,94,5,4/36,18.80,4.27,26.4,1,0
in West Indies,2023-2023,3,2,16.1,0,56,1,1/33,56.00,3.46,97.0,0,0
in Zimbabwe,2024-2024,3,3,20.0,2,42,3,2/19,14.00,2.10,40.0,0,0
in Africa,2024-2024,3,3,20.0,2,42,3,2/19,14.00,2.10,40.0,0,0
in Americas,2023-2023,3,2,16.1,0,56,1,1/33,56.00,3.46,97.0,0,0
in Europe,2023-2024,6,6,33.0,2,163,6,4/36,27.16,4.93,33.0,1,0
home,2023-2024,3,3,11.0,1,69,1,1/14,69.00,6.27,66.0,0,0
away,2023-2024,6,5,36.1,2,98,4,2/19,24.50,2.70,54.2,0,0
neutral,2023-2023,3,3,22.0,1,94,5,4/36,18.80,4.27,26.4,1,0
year 2023,,8,7,46.1,1,205,6,4/36,34.16,4.44,46.1,1,0
year 2024,,4,4,23.0,3,56,4,2/19,14.00,2.43,34.5,0,0
season 2023,,5,4,24.1,0,111,1,1/33,111.00,4.59,145.0,0,0
season 2023/24,,6,6,42.0,3,136,8,4/36,17.00,3.23,31.5,1,0
season 2024,,1,1,3.0,1,14,1,1/14,14.00,4.66,18.0,0,0
*O Prendergast,2024-2024,1,1,3.0,1,14,1,1/14,14.00,4.66,18.0,0,0
*L Delany,2023-2024,11,10,66.1,3,247,9,4/36,27.44,3.73,44.1,1,0
is not captain,2023-2024,12,11,69.1,4,261,10,4/36,26.10,3.77,41.5,1,0
is not keeper,2023-2024,12,11,69.1,4,261,10,4/36,26.10,3.77,41.5,1,0
won the toss,2023-2024,7,7,50.1,2,188,7,4/36,26.85,3.74,43.0,1,0
lost the toss,2023-2024,5,4,19.0,2,73,3,1/8,24.33,3.84,38.0,0,0
won toss & batted,2023-2023,3,3,23.1,1,84,4,4/36,21.00,3.62,34.7,1,0
won toss & fielded,2023-2024,4,4,27.0,1,104,3,2/19,34.66,3.85,54.0,0,0
lost toss & sent in,2023-2024,4,3,11.0,2,40,2,1/8,20.00,3.63,33.0,0,0
lost toss & fielded,2023-2023,1,1,8.0,0,33,1,1/33,33.00,4.12,48.0,0,0
matches batting first,2023-2024,7,6,34.1,3,124,6,4/36,20.66,3.62,34.1,1,0
matches fielding first,2023-2024,5,5,35.0,1,137,4,2/19,34.25,3.91,52.5,0,0
1st team innings,2023-2024,11,11,69.1,4,261,10,4/36,26.10,3.77,41.5,1,0
1st match innings,2023-2024,5,5,35.0,1,137,4,2/19,34.25,3.91,52.5,0,0
2nd match innings,2023-2024,6,6,34.1,3,124,6,4/36,20.66,3.62,34.1,1,0
day match,2023-2024,11,10,61.0,4,238,10,4/36,23.80,3.90,36.6,1,0
day/night match,2023-2023,1,1,8.1,0,23,0,-,-,2.81,-,0,0
won match,2023-2024,4,4,28.0,2,88,7,4/36,12.57,3.14,24.0,1,0
lost match,2023-2024,6,6,34.1,1,158,3,1/14,52.66,4.62,68.3,0,0
tied match,2024-2024,1,1,7.0,1,15,0,-,-,2.14,-,0,0
no result,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-
won batting first,2023-2024,3,3,20.0,2,69,5,4/36,13.80,3.45,24.0,1,0
won fielding first,2024-2024,1,1,8.0,0,19,2,2/19,9.50,2.37,24.0,0,0
lost batting first,2023-2024,3,3,14.1,1,55,1,1/14,55.00,3.88,85.0,0,0
lost fielding first,2023-2023,3,3,20.0,0,103,2,1/33,51.50,5.15,60.0,0,0
tied fielding first,2024-2024,1,1,7.0,1,15,0,-,-,2.14,-,0,0
no result batting first,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-
2 team series,2023-2024,12,11,69.1,4,261,10,4/36,26.10,3.77,41.5,1,0
5+ team tournaments,2023-2024,6,5,27.1,1,125,2,1/14,62.50,4.60,81.5,0,0
1st match in series,2023-2024,3,3,23.0,0,85,4,2/19,21.25,3.69,34.5,0,0
2nd match in series,2023-2024,4,3,20.0,1,88,4,4/36,22.00,4.40,30.0,1,0
3rd match in series,2023-2024,5,5,26.1,3,88,2,1/8,44.00,3.36,78.5,0,0
ICC Women's Champ,2023-2024,6,5,27.1,1,125,2,1/14,62.50,4.60,81.5,0,0
1st position,2023-2024,4,4,30.0,2,95,6,4/36,15.83,3.16,30.0,1,0
2nd position,2023-2024,6,6,36.1,1,152,3,1/8,50.66,4.20,72.3,0,0
3rd position,2024-2024,1,1,3.0,1,14,1,1/14,14.00,4.66,18.0,0,0
