,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2021-2024,27,21,6,719,149*,47.93,747,96.25,1,5,0,56,24
vs Australia,2023-2023,1,1,0,22,22,22.00,18,122.22,0,0,0,1,2
vs Bangladesh,2022-2023,6,4,0,89,56,22.25,114,78.07,0,1,0,6,3
vs England,2023-2023,1,1,0,19,19,19.00,24,79.16,0,0,0,1,1
vs India,2023-2023,1,1,0,62,62,62.00,69,89.85,0,1,0,2,4
vs Ireland,2021-2024,3,3,0,25,19,8.33,39,64.10,0,0,0,0,1
vs Netherlands,2022-2023,2,2,2,46,31*,-,43,106.97,0,0,0,5,0
vs New Zealand,2023-2023,1,1,0,27,27,27.00,32,84.37,0,0,0,2,0
vs Pakistan,2023-2023,2,1,1,16,16*,-,12,133.33,0,0,0,3,0
vs South Africa,2023-2023,1,1,1,97,97*,-,107,90.65,0,1,0,7,3
vs Sri Lanka,2023-2024,6,5,2,307,149*,102.33,274,112.04,1,2,0,27,10
vs Zimbabwe,2022-2022,3,1,0,9,9,9.00,15,60.00,0,0,0,2,0
in Bangladesh,2022-2023,5,3,0,67,56,22.33,94,71.27,0,1,0,2,3
in India,2023-2023,9,8,3,353,97*,70.60,361,97.78,0,3,0,26,13
in Qatar,2022-2022,1,1,1,15,15*,-,15,100.00,0,0,0,2,0
in Sri Lanka,2023-2024,6,5,2,250,149*,83.33,223,112.10,1,1,0,24,7
in U.A.E.,2021-2024,3,3,0,25,19,8.33,39,64.10,0,0,0,0,1
in Zimbabwe,2022-2022,3,1,0,9,9,9.00,15,60.00,0,0,0,2,0
in Africa,2022-2022,3,1,0,9,9,9.00,15,60.00,0,0,0,2,0
in Asia,2021-2024,24,20,6,710,149*,50.71,732,96.99,1,5,0,54,24
away,2022-2024,14,9,1,372,149*,46.50,389,95.62,1,3,0,27,14
neutral,2021-2024,13,12,5,347,97*,49.57,358,96.92,0,2,0,29,10
year 2021,,1,1,0,2,2,2.00,10,20.00,0,0,0,0,0
year 2022,,6,3,1,33,15*,16.50,46,71.73,0,0,0,5,0
year 2023,,15,12,4,455,97*,56.87,482,94.39,0,4,0,34,17
year 2024,,5,5,1,229,149*,57.25,209,109.56,1,1,0,17,7
season 2020/21,,1,1,0,2,2,2.00,10,20.00,0,0,0,0,0
season 2021/22,,3,2,1,24,15*,24.00,31,77.41,0,0,0,3,0
season 2022,,3,1,0,9,9,9.00,15,60.00,0,0,0,2,0
season 2023,,6,4,1,102,56,34.00,121,84.29,0,1,0,8,4
season 2023/24,,14,13,4,582,149*,64.66,570,102.10,1,4,0,43,20
*Asghar Afghan,2021-2021,1,1,0,2,2,2.00,10,20.00,0,0,0,0,0
*Hashmatullah Shahidi,2022-2024,26,20,6,717,149*,51.21,737,97.28,1,5,0,56,24
is not captain,2021-2024,27,21,6,719,149*,47.93,747,96.25,1,5,0,56,24
is not keeper,2021-2024,27,21,6,719,149*,47.93,747,96.25,1,5,0,56,24
won the toss,2021-2024,14,11,4,566,149*,80.85,574,98.60,1,5,0,40,21
lost the toss,2022-2024,13,10,2,153,31*,19.12,173,88.43,0,0,0,16,3
won toss & batted,2021-2024,7,7,2,308,97*,61.60,349,88.25,0,4,0,17,12
won toss & fielded,2022-2024,7,4,2,258,149*,129.00,225,114.66,1,1,0,23,9
lost toss & sent in,2022-2024,6,5,0,66,22,13.20,80,82.50,0,0,0,5,2
lost toss & fielded,2022-2024,7,5,2,87,31*,29.00,93,93.54,0,0,0,11,1
matches batting first,2021-2024,13,12,2,374,97*,37.40,429,87.17,0,4,0,22,14
matches fielding first,2022-2024,14,9,4,345,149*,69.00,318,108.49,1,1,0,34,10
1st team innings,2021-2024,27,21,6,719,149*,47.93,747,96.25,1,5,0,56,24
1st match innings,2021-2024,13,12,2,374,97*,37.40,429,87.17,0,4,0,22,14
2nd match innings,2022-2024,14,9,4,345,149*,69.00,318,108.49,1,1,0,34,10
day match,2021-2023,8,5,1,76,28,19.00,91,83.51,0,0,0,12,1
day/night match,2022-2024,19,16,5,643,149*,58.45,656,98.01,1,5,0,44,23
won match,2021-2024,15,9,3,174,73*,29.00,191,91.09,0,1,0,14,5
lost match,2022-2024,12,12,3,545,149*,60.55,556,98.02,1,4,0,42,19
