,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2016-2024,54,98,9,3962,196,44.51,7252,54.63,9,26,8,459,23
vs Australia,2016-2024,13,25,1,925,196,38.54,1789,51.70,2,4,2,91,6
vs Bangladesh,2020-2024,5,8,1,306,143,43.71,537,56.98,1,1,1,37,2
vs England,2018-2022,7,12,2,611,136,61.10,996,61.34,1,6,0,78,2
vs Ireland,2018-2018,1,2,0,73,59,36.50,139,52.51,0,1,0,11,0
vs New Zealand,2016-2023,7,13,2,635,161,57.72,1223,51.92,2,3,0,66,4
vs South Africa,2018-2021,5,10,0,343,77,34.30,492,69.71,0,3,0,65,0
vs Sri Lanka,2017-2023,8,14,2,648,119,54.00,1124,57.65,3,3,1,67,7
vs West Indies,2016-2021,6,12,1,419,75,38.09,943,44.43,0,5,3,44,2
vs Zimbabwe,2021-2021,2,2,0,2,2,1.00,9,22.22,0,0,1,0,0
in Australia,2016-2024,8,16,0,404,104,25.25,731,55.26,1,1,1,45,0
in Bangladesh,2021-2021,2,3,1,99,76,49.50,197,50.25,0,1,0,13,1
in England,2018-2020,4,6,2,263,69,65.75,491,53.56,0,3,0,33,0
in Ireland,2018-2018,1,2,0,73,59,36.50,139,52.51,0,1,0,11,0
in New Zealand,2016-2016,2,4,1,142,90*,47.33,308,46.10,0,1,0,16,0
in Pakistan,2019-2024,15,27,2,1555,196,62.20,2617,59.41,6,7,1,181,9
in South Africa,2018-2019,3,6,0,221,72,36.83,279,79.21,0,2,0,46,0
in Sri Lanka,2022-2023,4,7,0,347,119,49.57,647,53.63,1,2,0,35,5
in U.A.E.,2016-2018,8,15,2,527,127*,40.53,1034,50.96,1,4,2,43,6
in West Indies,2017-2021,5,10,1,329,75,36.55,800,41.12,0,4,3,36,2
in Zimbabwe,2021-2021,2,2,0,2,2,1.00,9,22.22,0,0,1,0,0
in Africa,2018-2021,5,8,0,223,72,27.87,288,77.43,0,2,1,46,0
in Americas,2017-2021,5,10,1,329,75,36.55,800,41.12,0,4,3,36,2
in Asia,2016-2024,29,52,5,2528,196,53.78,4495,56.24,8,14,3,272,21
in Europe,2018-2020,5,8,2,336,69,56.00,630,53.33,0,4,0,44,0
in Oceania,2016-2024,10,20,1,546,104,28.73,1039,52.55,1,2,1,61,0
home,2019-2024,15,27,2,1555,196,62.20,2617,59.41,6,7,1,181,9
away,2016-2024,31,56,5,1880,119,36.86,3601,52.20,2,15,5,235,8
neutral,2016-2018,8,15,2,527,127*,40.53,1034,50.96,1,4,2,43,6
year 2016,,5,10,1,291,90*,32.33,577,50.43,0,2,0,29,0
year 2017,,6,12,1,184,72,16.72,498,36.94,0,2,5,16,1
year 2018,,8,14,3,616,127*,56.00,1131,54.46,1,6,1,69,6
year 2019,,6,11,2,616,104,68.44,852,72.30,3,3,0,84,2
year 2020,,4,6,1,338,143,67.60,564,59.92,1,2,0,41,1
year 2021,,8,13,1,416,77,34.66,858,48.48,0,4,1,57,2
year 2022,,9,17,0,1184,196,69.64,2155,54.94,4,7,0,125,9
year 2023,,5,9,0,204,41,22.66,378,53.96,0,0,0,27,2
year 2024,,3,6,0,113,31,18.83,239,47.28,0,0,1,11,0
season 2016/17,,6,12,1,300,90*,27.27,592,50.67,0,2,1,31,0
season 2017,,3,6,1,136,72,27.20,361,37.67,0,2,3,11,1
season 2017/18,,2,4,0,39,28,9.75,122,31.96,0,0,1,3,0
season 2018,,2,3,1,141,68*,70.50,259,54.44,0,2,0,21,0
season 2018/19,,8,15,2,619,127*,47.61,1048,59.06,1,5,1,78,6
season 2019/20,,5,8,2,615,143,102.50,869,70.77,4,2,0,72,3
season 2020,,3,5,1,195,69,48.75,371,52.56,0,2,0,23,0
season 2020/21,,2,4,0,122,77,30.50,213,57.27,0,1,0,19,0
season 2021,,4,6,0,195,75,32.50,448,43.52,0,2,1,25,1
season 2021/22,,5,8,1,489,196,69.85,1018,48.03,1,3,0,52,3
season 2022,,2,4,0,271,119,67.75,528,51.32,1,2,0,24,4
season 2022/23,,5,10,0,574,161,57.40,888,64.63,2,3,0,70,4
season 2023,,2,3,0,76,39,25.33,119,63.86,0,0,0,11,1
season 2023/24,,3,6,0,126,41,21.00,269,46.84,0,0,0,13,0
season 2024,,2,4,0,64,31,16.00,147,43.53,0,0,1,6,0
*Azhar Ali,2016-2020,9,15,4,916,143,83.27,1461,62.69,4,5,0,107,3
*Babar Azam,2021-2023,20,35,1,1727,196,50.79,3214,53.73,4,11,1,201,13
*Misbah-ul-Haq,2016-2017,8,16,1,330,72,22.00,732,45.08,0,3,4,30,1
*Sarfaraz Ahmed,2017-2019,12,22,3,799,127*,42.05,1429,55.91,1,7,2,102,6
*Shan Masood,2023-2024,5,10,0,190,41,19.00,416,45.67,0,0,1,19,0
is captain,2021-2023,20,35,1,1727,196,50.79,3214,53.73,4,11,1,201,13
is not captain,2016-2024,34,63,8,2235,143,40.63,4038,55.34,5,15,7,258,10
is not keeper,2016-2024,54,98,9,3962,196,44.51,7252,54.63,9,26,8,459,23
