,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,1,1,0,11,11,11.00,10,110.00,0,0,0,1,0
vs SA Women,1,1,0,11,11,11.00,10,110.00,0,0,0,1,0
in South Africa,1,1,0,11,11,11.00,10,110.00,0,0,0,1,0
in Africa,1,1,0,11,11,11.00,10,110.00,0,0,0,1,0
away,1,1,0,11,11,11.00,10,110.00,0,0,0,1,0
year 2023,1,1,0,11,11,11.00,10,110.00,0,0,0,1,0
season 2023/24,1,1,0,11,11,11.00,10,110.00,0,0,0,1,0
*SFM Devine,1,1,0,11,11,11.00,10,110.00,0,0,0,1,0
is not captain,1,1,0,11,11,11.00,10,110.00,0,0,0,1,0
is not keeper,1,1,0,11,11,11.00,10,110.00,0,0,0,1,0
lost the toss,1,1,0,11,11,11.00,10,110.00,0,0,0,1,0
lost toss & sent in,1,1,0,11,11,11.00,10,110.00,0,0,0,1,0
matches batting first,1,1,0,11,11,11.00,10,110.00,0,0,0,1,0
1st team innings,1,1,0,11,11,11.00,10,110.00,0,0,0,1,0
1st match innings,1,1,0,11,11,11.00,10,110.00,0,0,0,1,0
no result,1,1,0,11,11,11.00,10,110.00,0,0,0,1,0
no result batting first,1,1,0,11,11,11.00,10,110.00,0,0,0,1,0
2 team series,1,1,0,11,11,11.00,10,110.00,0,0,0,1,0
2nd match in series,1,1,0,11,11,11.00,10,110.00,0,0,0,1,0
7th position,1,1,0,11,11,11.00,10,110.00,0,0,0,1,0
