,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2014-2024,20,16,1,291,86,19.40,376,77.39,0,1,2,30,0
NZ Women,2018-2024,16,13,1,289,86,24.08,363,79.61,0,1,0,30,0
SA Women,2014-2015,4,3,0,2,2,0.66,13,15.38,0,0,2,0,0
vs ENG Women,2018-2024,3,2,0,39,35,19.50,78,50.00,0,0,0,2,0
vs India Women,2019-2019,3,2,0,22,13,11.00,39,56.41,0,0,0,1,0
vs IRE Women,2018-2018,3,2,1,66,43,66.00,53,124.52,0,0,0,10,0
vs PAK Women,2015-2023,3,3,0,89,86,29.66,94,94.68,0,1,1,8,0
vs SA Women,2020-2020,2,2,0,31,25,15.50,45,68.88,0,0,0,4,0
vs SL Women,2014-2023,6,5,0,44,25,8.80,67,65.67,0,0,1,5,0
in England,2018-2018,1,1,0,4,4,4.00,16,25.00,0,0,0,0,0
in Ireland,2018-2018,3,2,1,66,43,66.00,53,124.52,0,0,0,10,0
in New Zealand,2019-2024,9,7,0,177,86,25.28,239,74.05,0,1,0,15,0
in Sri Lanka,2014-2023,6,5,0,44,25,8.80,67,65.67,0,0,1,5,0
in U.A.E.,2015-2015,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
in Asia,2014-2023,7,6,0,44,25,7.33,68,64.70,0,0,2,5,0
in Europe,2018-2018,4,3,1,70,43,35.00,69,101.44,0,0,0,10,0
in Oceania,2019-2024,9,7,0,177,86,25.28,239,74.05,0,1,0,15,0
home,2019-2024,9,7,0,177,86,25.28,239,74.05,0,1,0,15,0
away,2014-2023,10,8,1,114,43,16.28,136,83.82,0,0,1,15,0
neutral,2015-2015,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
year 2014,,3,2,0,2,2,1.00,12,16.66,0,0,1,0,0
year 2015,,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
year 2018,,4,3,1,70,43,35.00,69,101.44,0,0,0,10,0
year 2019,,3,2,0,22,13,11.00,39,56.41,0,0,0,1,0
year 2020,,2,2,0,31,25,15.50,45,68.88,0,0,0,4,0
year 2023,,5,5,0,131,86,26.20,148,88.51,0,1,0,13,0
year 2024,,2,1,0,35,35,35.00,62,56.45,0,0,0,2,0
season 2014/15,,4,3,0,2,2,0.66,13,15.38,0,0,2,0,0
season 2018,,4,3,1,70,43,35.00,69,101.44,0,0,0,10,0
season 2018/19,,3,2,0,22,13,11.00,39,56.41,0,0,0,1,0
season 2019/20,,2,2,0,31,25,15.50,45,68.88,0,0,0,4,0
season 2023,,3,3,0,42,25,14.00,55,76.36,0,0,0,5,0
season 2023/24,,4,3,0,124,86,41.33,155,80.00,0,1,0,10,0
*SW Bates,2018-2018,3,2,1,27,23*,27.00,31,87.09,0,0,0,4,0
*SFM Devine,2020-2023,7,7,0,162,86,23.14,193,83.93,0,1,0,17,0
*M du Preez,2014-2015,4,3,0,2,2,0.66,13,15.38,0,0,2,0,0
*AC Kerr,2024-2024,2,1,0,35,35,35.00,62,56.45,0,0,0,2,0
*AE Satterthwaite,2018-2019,4,3,0,65,43,21.66,77,84.41,0,0,0,7,0
is not captain,2014-2024,20,16,1,291,86,19.40,376,77.39,0,1,2,30,0
is designated keeper,2018-2023,9,7,1,130,43,21.66,147,88.43,0,0,0,16,0
is not keeper,2014-2024,11,9,0,161,86,17.88,229,70.30,0,1,2,14,0
won the toss,2014-2023,10,8,1,119,43,17.00,136,87.50,0,0,0,16,0
lost the toss,2014-2024,10,8,0,172,86,21.50,240,71.66,0,1,2,14,0
won toss & batted,2014-2023,8,7,1,116,43,19.33,129,89.92,0,0,0,16,0
won toss & fielded,2019-2023,2,1,0,3,3,3.00,7,42.85,0,0,0,0,0
lost toss & sent in,2014-2024,6,6,0,168,86,28.00,223,75.33,0,1,1,14,0
lost toss & fielded,2014-2024,4,2,0,4,4,2.00,17,23.52,0,0,1,0,0
matches batting first,2014-2024,14,13,1,284,86,23.66,352,80.68,0,1,1,30,0
matches fielding first,2014-2024,6,3,0,7,4,2.33,24,29.16,0,0,1,0,0
1st team innings,2014-2024,19,16,1,291,86,19.40,376,77.39,0,1,2,30,0
1st match innings,2014-2024,14,13,1,284,86,23.66,352,80.68,0,1,1,30,0
2nd match innings,2015-2024,5,3,0,7,4,2.33,24,29.16,0,0,1,0,0
day match,2014-2024,15,12,1,262,86,23.81,314,83.43,0,1,2,29,0
day/night match,2018-2023,5,4,0,29,13,7.25,62,46.77,0,0,0,1,0
won match,2014-2023,10,8,1,186,86,26.57,200,93.00,0,1,1,21,0
lost match,2014-2024,9,8,0,105,35,13.12,176,59.65,0,0,1,9,0
no result,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
won batting first,2014-2023,6,5,1,179,86,44.75,176,101.70,0,1,0,21,0
won fielding first,2015-2023,4,3,0,7,4,2.33,24,29.16,0,0,1,0,0
lost batting first,2014-2024,8,8,0,105,35,13.12,176,59.65,0,0,1,9,0
lost fielding first,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
no result fielding first,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
2 team series,2014-2024,17,14,0,225,86,16.07,323,69.65,0,1,2,20,0
3-4 team tournaments,2018-2018,3,2,1,66,43,66.00,53,124.52,0,0,0,10,0
5+ team tournaments,2014-2024,17,14,0,225,86,16.07,323,69.65,0,1,2,20,0
1st match in series,2014-2024,6,6,0,170,86,28.33,218,77.98,0,1,0,16,0
2nd match in series,2014-2024,7,5,0,47,25,9.40,72,65.27,0,0,1,4,0
3rd match in series,2014-2023,4,3,0,8,4,2.66,33,24.24,0,0,1,0,0
ICC Women's Champ,2014-2024,17,14,0,225,86,16.07,323,69.65,0,1,2,20,0
1st position,2020-2023,2,2,0,10,6,5.00,26,38.46,0,0,0,1,0
2nd position,2020-2024,5,5,0,184,86,36.80,222,82.88,0,1,0,18,0
3rd position,2014-2015,2,2,0,2,2,1.00,11,18.18,0,0,1,0,0
6th position,2018-2018,3,3,1,70,43,35.00,69,101.44,0,0,0,10,0
7th position,2014-2019,2,2,0,9,9,4.50,15,60.00,0,0,1,1,0
8th position,2019-2023,2,2,0,16,13,8.00,33,48.48,0,0,0,0,0
