,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,1,2,0,18,10,9.00,46,39.13,0,0,0,2,0
vs Ireland,1,2,0,18,10,9.00,46,39.13,0,0,0,2,0
in Ireland,1,2,0,18,10,9.00,46,39.13,0,0,0,2,0
in Europe,1,2,0,18,10,9.00,46,39.13,0,0,0,2,0
away,1,2,0,18,10,9.00,46,39.13,0,0,0,2,0
year 2024,1,2,0,18,10,9.00,46,39.13,0,0,0,2,0
season 2024,1,2,0,18,10,9.00,46,39.13,0,0,0,2,0
*CR Ervine,1,2,0,18,10,9.00,46,39.13,0,0,0,2,0
is not captain,1,2,0,18,10,9.00,46,39.13,0,0,0,2,0
is not keeper,1,2,0,18,10,9.00,46,39.13,0,0,0,2,0
lost the toss,1,2,0,18,10,9.00,46,39.13,0,0,0,2,0
lost toss & sent in,1,2,0,18,10,9.00,46,39.13,0,0,0,2,0
matches batting first,1,2,0,18,10,9.00,46,39.13,0,0,0,2,0
1st team innings,1,1,0,8,8,8.00,28,28.57,0,0,0,1,0
2nd team innings,1,1,0,10,10,10.00,18,55.55,0,0,0,1,0
1st match innings,1,1,0,8,8,8.00,28,28.57,0,0,0,1,0
3rd match innings,1,1,0,10,10,10.00,18,55.55,0,0,0,1,0
lost match,1,2,0,18,10,9.00,46,39.13,0,0,0,2,0
lost batting first,1,2,0,18,10,9.00,46,39.13,0,0,0,2,0
2 team series,1,2,0,18,10,9.00,46,39.13,0,0,0,2,0
only match in series,1,2,0,18,10,9.00,46,39.13,0,0,0,2,0
6th position,1,2,0,18,10,9.00,46,39.13,0,0,0,2,0
