,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2023-2023,6,6,0,99,51,16.50,119,83.19,0,1,0,15,0
vs Bangladesh,2023-2023,2,2,0,15,14,7.50,22,68.18,0,0,0,3,0
vs Pakistan,2023-2023,2,2,0,69,51,34.50,77,89.61,0,1,0,10,0
vs Sri Lanka,2023-2023,2,2,0,15,14,7.50,20,75.00,0,0,0,2,0
in Bangladesh,2023-2023,2,2,0,15,14,7.50,22,68.18,0,0,0,3,0
in New Zealand,2023-2023,2,2,0,15,14,7.50,20,75.00,0,0,0,2,0
in Pakistan,2023-2023,2,2,0,69,51,34.50,77,89.61,0,1,0,10,0
in Asia,2023-2023,4,4,0,84,51,21.00,99,84.84,0,1,0,13,0
in Oceania,2023-2023,2,2,0,15,14,7.50,20,75.00,0,0,0,2,0
home,2023-2023,2,2,0,15,14,7.50,20,75.00,0,0,0,2,0
away,2023-2023,4,4,0,84,51,21.00,99,84.84,0,1,0,13,0
year 2023,,6,6,0,99,51,16.50,119,83.19,0,1,0,15,0
season 2022/23,,2,2,0,15,14,7.50,20,75.00,0,0,0,2,0
season 2023,,4,4,0,84,51,21.00,99,84.84,0,1,0,13,0
*LH Ferguson,2023-2023,2,2,0,15,14,7.50,22,68.18,0,0,0,3,0
*TWM Latham,2023-2023,4,4,0,84,51,21.00,97,86.59,0,1,0,12,0
is not captain,2023-2023,6,6,0,99,51,16.50,119,83.19,0,1,0,15,0
is not keeper,2023-2023,6,6,0,99,51,16.50,119,83.19,0,1,0,15,0
won the toss,2023-2023,1,1,0,14,14,14.00,19,73.68,0,0,0,3,0
lost the toss,2023-2023,5,5,0,85,51,17.00,100,85.00,0,1,0,12,0
won toss & batted,2023-2023,1,1,0,14,14,14.00,19,73.68,0,0,0,3,0
lost toss & sent in,2023-2023,4,4,0,84,51,21.00,95,88.42,0,1,0,12,0
lost toss & fielded,2023-2023,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0
matches batting first,2023-2023,5,5,0,98,51,19.60,114,85.96,0,1,0,15,0
matches fielding first,2023-2023,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0
1st team innings,2023-2023,6,6,0,99,51,16.50,119,83.19,0,1,0,15,0
1st match innings,2023-2023,5,5,0,98,51,19.60,114,85.96,0,1,0,15,0
2nd match innings,2023-2023,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0
won match,2023-2023,3,3,0,29,14,9.66,39,74.35,0,0,0,5,0
lost match,2023-2023,2,2,0,69,51,34.50,77,89.61,0,1,0,10,0
no result,2023-2023,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0
won batting first,2023-2023,2,2,0,28,14,14.00,34,82.35,0,0,0,5,0
won fielding first,2023-2023,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0
lost batting first,2023-2023,2,2,0,69,51,34.50,77,89.61,0,1,0,10,0
no result batting first,2023-2023,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0
2 team series,2023-2023,6,6,0,99,51,16.50,119,83.19,0,1,0,15,0
5+ team tournaments,2023-2023,2,2,0,15,14,7.50,20,75.00,0,0,0,2,0
1st match in series,2023-2023,3,3,0,33,18,11.00,44,75.00,0,0,0,5,0
2nd match in series,2023-2023,2,2,0,65,51,32.50,70,92.85,0,1,0,10,0
3rd match in series,2023-2023,1,1,0,1,1,1.00,5,20.00,0,0,0,0,0
1st position,2023-2023,2,2,0,15,14,7.50,20,75.00,0,0,0,2,0
2nd position,2023-2023,2,2,0,69,51,34.50,77,89.61,0,1,0,10,0
3rd position,2023-2023,2,2,0,15,14,7.50,22,68.18,0,0,0,3,0
