,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2010-2024,107,107,5,3713,195*,36.40,4906,75.68,9,17,11,479,56
vs AUS Women,2013-2019,9,9,1,359,178*,44.87,420,85.47,2,0,2,48,6
vs BAN Women,2017-2023,3,3,0,195,84,65.00,211,92.41,0,2,0,22,7
vs ENG Women,2010-2023,14,14,0,325,62,23.21,562,57.82,0,1,0,46,3
vs India Women,2013-2022,15,15,0,383,115,25.53,647,59.19,1,1,1,49,5
vs IRE Women,2011-2024,5,5,0,187,111,37.40,207,90.33,1,0,1,32,1
vs NL Women,2011-2011,2,2,0,52,32,26.00,67,77.61,0,0,0,10,0
vs NZ Women,2013-2023,10,10,2,456,140*,57.00,492,92.68,2,3,2,47,14
vs PAK Women,2011-2022,13,13,0,437,101,33.61,535,81.68,1,1,2,58,6
vs SA Women,2011-2024,19,19,2,875,195*,51.47,1089,80.34,2,7,2,110,10
vs WI Women,2010-2024,17,17,0,444,91,26.11,676,65.68,0,2,1,57,4
in Australia,2019-2019,3,3,0,130,103,43.33,179,72.62,1,0,0,17,0
in Bangladesh,2011-2011,4,4,0,142,60,35.50,201,70.64,0,2,0,18,2
in England,2017-2023,10,10,1,367,178*,40.77,420,87.38,1,1,0,50,7
in India,2013-2016,13,13,0,244,63,18.76,435,56.09,0,3,2,32,1
in Ireland,2024-2024,3,3,0,70,48,23.33,77,90.90,0,0,1,14,0
in New Zealand,2015-2015,5,5,0,155,75,31.00,238,65.12,0,2,0,17,0
in Pakistan,2022-2022,3,3,0,142,101,47.33,158,89.87,1,0,0,18,2
in South Africa,2013-2024,9,9,2,464,195*,66.28,483,96.06,1,3,1,65,8
in Sri Lanka,2010-2024,48,48,2,1716,140*,37.30,2331,73.61,5,5,6,217,31
in U.A.E.,2015-2015,3,3,0,159,99,53.00,199,79.89,0,1,0,17,3
in West Indies,2010-2017,6,6,0,124,38,20.66,185,67.02,0,0,1,14,2
in Africa,2013-2024,9,9,2,464,195*,66.28,483,96.06,1,3,1,65,8
in Americas,2010-2017,6,6,0,124,38,20.66,185,67.02,0,0,1,14,2
in Asia,2010-2024,71,71,2,2403,140*,34.82,3324,72.29,6,11,8,302,39
in Europe,2017-2024,13,13,1,437,178*,36.41,497,87.92,1,1,1,64,7
in Oceania,2015-2019,8,8,0,285,103,35.62,417,68.34,1,2,0,34,0
home,2010-2024,48,48,2,1716,140*,37.30,2331,73.61,5,5,6,217,31
away,2010-2024,40,40,2,1192,195*,31.36,1513,78.78,3,5,4,163,13
neutral,2011-2017,19,19,1,805,178*,44.72,1062,75.80,1,7,1,99,12
year 2010,,4,4,0,105,38,26.25,157,66.87,0,0,1,14,2
year 2011,,8,8,0,289,111,36.12,345,83.76,1,2,1,42,3
year 2012,,1,1,0,19,19,19.00,24,79.16,0,0,0,3,0
year 2013,,13,13,0,369,63,28.38,595,62.01,0,4,1,50,1
year 2014,,7,7,0,263,106,37.57,433,60.73,1,1,0,30,0
year 2015,,10,10,0,341,99,34.10,502,67.92,0,3,0,39,3
year 2016,,11,11,0,134,27,12.18,299,44.81,0,0,3,17,1
year 2017,,15,15,1,533,178*,38.07,704,75.71,1,2,1,66,7
year 2018,,6,6,0,275,115,45.83,407,67.56,1,1,1,34,6
year 2019,,9,9,0,297,103,33.00,404,73.51,1,1,1,41,3
year 2022,,6,6,0,215,101,35.83,252,85.31,1,0,0,29,2
year 2023,,8,8,2,415,140*,69.16,331,125.37,2,1,1,47,21
year 2024,,9,9,2,458,195*,65.42,453,101.10,1,2,1,67,7
season 2010,,2,2,0,38,38,19.00,57,66.66,0,0,1,3,2
season 2010/11,,2,2,0,67,37,33.50,100,67.00,0,0,0,11,0
season 2011,,4,4,0,147,111,36.75,144,102.08,1,0,1,24,1
season 2011/12,,4,4,0,142,60,35.50,201,70.64,0,2,0,18,2
season 2012,,1,1,0,19,19,19.00,24,79.16,0,0,0,3,0
season 2012/13,,10,10,0,272,63,27.20,445,61.12,0,3,1,36,1
season 2013/14,,6,6,0,131,58,21.83,237,55.27,0,1,0,19,0
season 2014/15,,7,7,0,388,106,55.42,545,71.19,1,2,0,42,3
season 2015,,2,2,0,27,25,13.50,65,41.53,0,0,0,5,0
season 2015/16,,8,8,0,167,75,20.87,266,62.78,0,2,1,19,0
season 2016,,4,4,0,41,26,10.25,73,56.16,0,0,2,7,0
season 2016/17,,9,9,0,236,84,26.22,448,52.67,0,1,1,26,2
season 2017,,7,7,1,311,178*,51.83,350,88.85,1,1,0,40,6
season 2017/18,,6,6,0,137,46,22.83,190,72.10,0,0,1,19,1
season 2018,,3,3,0,205,115,68.33,321,63.86,1,1,0,23,5
season 2018/19,,6,6,0,167,94,27.83,225,74.22,0,1,1,24,3
season 2019/20,,3,3,0,130,103,43.33,179,72.62,1,0,0,17,0
season 2022,,6,6,0,215,101,35.83,252,85.31,1,0,0,29,2
season 2023,,8,8,2,415,140*,69.16,331,125.37,2,1,1,47,21
season 2023/24,,3,3,2,258,195*,258.00,227,113.65,1,1,0,37,5
season 2024,,6,6,0,200,91,33.33,226,88.49,0,1,1,30,2
*AMCJK Athapaththu,2014-2024,50,50,4,2049,195*,44.54,2457,83.39,6,8,6,263,42
*SK Dolawatte,2013-2013,1,1,0,63,63,63.00,74,85.13,0,1,0,9,0
*I Ranaweera,2016-2017,19,19,1,614,178*,34.11,902,68.07,1,2,1,74,8
*CR Seneviratna,2010-2010,2,2,0,38,38,19.00,57,66.66,0,0,1,3,2
*HASD Siriwardene,2010-2019,27,27,0,641,103,23.74,1048,61.16,1,4,3,85,1
*MADD Surangika,2011-2012,8,8,0,308,111,38.50,368,83.69,1,2,0,45,3
is captain,2014-2024,50,50,4,2049,195*,44.54,2457,83.39,6,8,6,263,42
is not captain,2010-2019,57,57,1,1664,178*,29.71,2449,67.94,3,9,5,216,14
is not keeper,2010-2024,107,107,5,3713,195*,36.40,4906,75.68,9,17,11,479,56
won the toss,2010-2024,60,60,2,2113,195*,36.43,2835,74.53,5,9,5,271,28
lost the toss,2010-2024,47,47,3,1600,178*,36.36,2071,77.25,4,8,6,208,28
won toss & batted,2010-2023,32,32,0,969,106,30.28,1485,65.25,3,4,5,109,14
won toss & fielded,2010-2024,28,28,2,1144,195*,44.00,1350,84.74,2,5,0,162,14
lost toss & sent in,2010-2024,22,22,1,866,178*,41.23,1111,77.94,2,5,3,116,11
lost toss & fielded,2011-2024,25,25,2,734,140*,31.91,960,76.45,2,3,3,92,17
matches batting first,2010-2024,54,54,1,1835,178*,34.62,2596,70.68,5,9,8,225,25
matches fielding first,2010-2024,53,53,4,1878,195*,38.32,2310,81.29,4,8,3,254,31
1st team innings,2010-2024,107,107,5,3713,195*,36.40,4906,75.68,9,17,11,479,56
1st match innings,2010-2024,54,54,1,1835,178*,34.62,2596,70.68,5,9,8,225,25
2nd match innings,2010-2024,53,53,4,1878,195*,38.32,2310,81.29,4,8,3,254,31
day match,2010-2024,102,102,3,3420,178*,34.54,4637,73.75,8,16,11,438,51
day/night match,2013-2024,5,5,2,293,195*,97.66,269,108.92,1,1,0,41,5
won match,2010-2024,23,23,3,1410,195*,70.50,1459,96.64,5,7,0,171,36
lost match,2010-2024,77,77,1,1898,178*,24.97,2958,64.16,2,9,11,251,16
no result,2010-2024,7,7,1,405,111,67.50,489,82.82,2,1,0,57,4
won batting first,2010-2024,9,9,0,467,101,51.88,586,79.69,1,4,0,52,10
won fielding first,2011-2024,14,14,3,943,195*,85.72,873,108.01,4,3,0,119,26
lost batting first,2010-2024,39,39,1,975,178*,25.65,1540,63.31,2,4,8,118,11
lost fielding first,2010-2024,38,38,0,923,94,24.28,1418,65.09,0,5,3,133,5
no result batting first,2010-2023,6,6,0,393,111,65.50,470,83.61,2,1,0,55,4
no result fielding first,2024-2024,1,1,1,12,12*,-,19,63.15,0,0,0,2,0
2 team series,2010-2024,81,81,4,2760,195*,35.84,3642,75.78,7,10,9,354,45
3-4 team tournaments,2011-2011,3,3,0,147,111,49.00,143,102.79,1,0,0,24,1
5+ team tournaments,2011-2024,84,84,5,3124,195*,39.54,3972,78.65,8,15,8,397,52
only match in series,2011-2011,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
1st match in series,2010-2024,27,27,2,705,108*,28.20,1077,65.45,1,1,4,85,11
2nd match in series,2010-2024,24,24,0,718,106,29.91,966,74.32,1,4,1,100,11
3rd match in series,2013-2024,23,23,2,1209,195*,57.57,1354,89.29,5,4,3,154,23
4th match in series,2014-2016,5,5,0,121,56,24.20,227,53.30,0,1,0,14,0
5th match in series,2015-2015,1,1,0,7,7,7.00,17,41.17,0,0,0,1,0
ICC Women's Champ,2014-2024,61,61,4,2318,195*,40.66,2851,81.30,7,8,6,296,42
ICC Women's World Cu,2013-2017,14,14,1,509,178*,39.15,670,75.97,1,4,1,65,7
tournament semi-finals,2011-2011,1,1,0,56,56,56.00,89,62.92,0,1,0,8,0
preliminary matches,2011-2024,86,86,5,3215,195*,39.69,4026,79.85,9,14,8,413,53
1st position,2011-2023,44,44,2,1510,140*,35.95,2001,75.46,4,10,3,183,25
2nd position,2010-2024,34,34,2,1211,195*,37.84,1476,82.04,3,4,5,171,19
3rd position,2011-2023,26,26,1,937,178*,37.48,1348,69.51,2,3,3,117,12
4th position,2011-2016,3,3,0,55,34,18.33,81,67.90,0,0,0,8,0
