,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,3,6,0,88,29,14.66,171,51.46,0,0,0,11,3
vs India,2,4,0,59,29,14.75,101,58.41,0,0,0,9,2
vs West Indies,1,2,0,29,19,14.50,70,41.42,0,0,0,2,1
in India,2,4,0,59,29,14.75,101,58.41,0,0,0,9,2
in Sri Lanka,1,2,0,29,19,14.50,70,41.42,0,0,0,2,1
in Asia,3,6,0,88,29,14.66,171,51.46,0,0,0,11,3
home,1,2,0,29,19,14.50,70,41.42,0,0,0,2,1
away,2,4,0,59,29,14.75,101,58.41,0,0,0,9,2
year 2021,1,2,0,29,19,14.50,70,41.42,0,0,0,2,1
year 2022,2,4,0,59,29,14.75,101,58.41,0,0,0,9,2
season 2021/22,3,6,0,88,29,14.66,171,51.46,0,0,0,11,3
*FDM Karunaratne,3,6,0,88,29,14.66,171,51.46,0,0,0,11,3
is not captain,3,6,0,88,29,14.66,171,51.46,0,0,0,11,3
is not keeper,3,6,0,88,29,14.66,171,51.46,0,0,0,11,3
won the toss,1,2,0,29,19,14.50,70,41.42,0,0,0,2,1
lost the toss,2,4,0,59,29,14.75,101,58.41,0,0,0,9,2
won toss & batted,1,2,0,29,19,14.50,70,41.42,0,0,0,2,1
lost toss & fielded,2,4,0,59,29,14.75,101,58.41,0,0,0,9,2
matches batting first,1,2,0,29,19,14.50,70,41.42,0,0,0,2,1
matches fielding first,2,4,0,59,29,14.75,101,58.41,0,0,0,9,2
1st team innings,3,3,0,44,29,14.66,87,50.57,0,0,0,8,0
2nd team innings,3,3,0,44,20,14.66,84,52.38,0,0,0,3,3
1st match innings,1,1,0,10,10,10.00,15,66.66,0,0,0,2,0
2nd match innings,2,2,0,34,29,17.00,72,47.22,0,0,0,6,0
3rd match innings,2,2,0,39,20,19.50,64,60.93,0,0,0,2,3
4th match innings,1,1,0,5,5,5.00,20,25.00,0,0,0,1,0
day match,2,4,0,78,29,19.50,143,54.54,0,0,0,9,3
day/night match,1,2,0,10,5,5.00,28,35.71,0,0,0,2,0
won match,1,2,0,29,19,14.50,70,41.42,0,0,0,2,1
lost match,2,4,0,59,29,14.75,101,58.41,0,0,0,9,2
won batting first,1,2,0,29,19,14.50,70,41.42,0,0,0,2,1
lost fielding first,2,4,0,59,29,14.75,101,58.41,0,0,0,9,2
2 team series,3,6,0,88,29,14.66,171,51.46,0,0,0,11,3
5+ team tournaments,3,6,0,88,29,14.66,171,51.46,0,0,0,11,3
1st match in series,1,2,0,49,29,24.50,73,67.12,0,0,0,7,2
2nd match in series,2,4,0,39,19,9.75,98,39.79,0,0,0,4,1
ICC World Test Champ,3,6,0,88,29,14.66,171,51.46,0,0,0,11,3
4th position,1,1,0,19,19,19.00,55,34.54,0,0,0,0,1
6th position,3,4,0,64,29,16.00,96,66.66,0,0,0,10,2
7th position,1,1,0,5,5,5.00,20,25.00,0,0,0,1,0
