,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2021-2024,11,10,1,147,46,16.33,337,43.62,0,0,1,14,0
vs BAN Women,2021-2021,1,1,0,7,7,7.00,19,36.84,0,0,0,0,0
vs IRE Women,2021-2024,7,7,0,111,46,15.85,266,41.72,0,0,0,13,0
vs PNG Women,2024-2024,3,2,1,29,29*,29.00,52,55.76,0,0,1,1,0
in Zimbabwe,2021-2024,11,10,1,147,46,16.33,337,43.62,0,0,1,14,0
in Africa,2021-2024,11,10,1,147,46,16.33,337,43.62,0,0,1,14,0
home,2021-2024,11,10,1,147,46,16.33,337,43.62,0,0,1,14,0
year 2021,,5,5,0,45,16,9.00,136,33.08,0,0,0,4,0
year 2024,,6,5,1,102,46,25.50,201,50.74,0,0,1,10,0
season 2021/22,,5,5,0,45,16,9.00,136,33.08,0,0,0,4,0
season 2023/24,,6,5,1,102,46,25.50,201,50.74,0,0,1,10,0
*M Musonda,2021-2024,10,9,0,118,46,13.11,298,39.59,0,0,1,13,0
*JN Nkomo,2024-2024,1,1,1,29,29*,-,39,74.35,0,0,0,1,0
is not captain,2021-2024,11,10,1,147,46,16.33,337,43.62,0,0,1,14,0
is designated keeper,2024-2024,5,5,1,102,46,25.50,201,50.74,0,0,1,10,0
is not keeper,2021-2024,6,5,0,45,16,9.00,136,33.08,0,0,0,4,0
won the toss,2021-2024,7,6,0,49,16,8.16,173,28.32,0,0,1,6,0
lost the toss,2021-2024,4,4,1,98,46,32.66,164,59.75,0,0,0,8,0
won toss & batted,2021-2021,1,1,0,16,16,16.00,41,39.02,0,0,0,2,0
won toss & fielded,2021-2024,6,5,0,33,14,6.60,132,25.00,0,0,1,4,0
lost toss & sent in,2021-2024,4,4,1,98,46,32.66,164,59.75,0,0,0,8,0
matches batting first,2021-2024,5,5,1,114,46,28.50,205,55.60,0,0,0,10,0
matches fielding first,2021-2024,6,5,0,33,14,6.60,132,25.00,0,0,1,4,0
1st team innings,2021-2024,11,10,1,147,46,16.33,337,43.62,0,0,1,14,0
1st match innings,2021-2024,5,5,1,114,46,28.50,205,55.60,0,0,0,10,0
2nd match innings,2021-2024,6,5,0,33,14,6.60,132,25.00,0,0,1,4,0
won match,2021-2024,4,3,1,33,29*,16.50,57,57.89,0,0,1,2,0
lost match,2021-2024,6,6,0,68,16,11.33,206,33.00,0,0,0,6,0
tied match,2024-2024,1,1,0,46,46,46.00,74,62.16,0,0,0,6,0
won batting first,2024-2024,1,1,1,29,29*,-,39,74.35,0,0,0,1,0
won fielding first,2021-2024,3,2,0,4,4,2.00,18,22.22,0,0,1,1,0
lost batting first,2021-2024,3,3,0,39,16,13.00,92,42.39,0,0,0,3,0
lost fielding first,2021-2024,3,3,0,29,14,9.66,114,25.43,0,0,0,3,0
tied batting first,2024-2024,1,1,0,46,46,46.00,74,62.16,0,0,0,6,0
2 team series,2021-2024,11,10,1,147,46,16.33,337,43.62,0,0,1,14,0
1st match in series,2021-2024,4,3,0,27,16,9.00,56,48.21,0,0,0,2,0
2nd match in series,2021-2024,3,3,0,60,46,20.00,134,44.77,0,0,1,7,0
3rd match in series,2021-2024,3,3,1,56,29*,28.00,123,45.52,0,0,0,5,0
4th match in series,2021-2021,1,1,0,4,4,4.00,24,16.66,0,0,0,0,0
1st position,2021-2024,4,4,0,45,16,11.25,136,33.08,0,0,0,6,0
2nd position,2024-2024,2,2,0,62,46,31.00,106,58.49,0,0,0,7,0
5th position,2021-2021,2,2,0,11,7,5.50,43,25.58,0,0,0,0,0
6th position,2024-2024,2,2,1,29,29*,29.00,52,55.76,0,0,1,1,0
