,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2,2,0,31,24,15.50,61,50.81,0,0,0,5,0
vs SL Women,2,2,0,31,24,15.50,61,50.81,0,0,0,5,0
in Ireland,2,2,0,31,24,15.50,61,50.81,0,0,0,5,0
in Europe,2,2,0,31,24,15.50,61,50.81,0,0,0,5,0
home,2,2,0,31,24,15.50,61,50.81,0,0,0,5,0
year 2024,2,2,0,31,24,15.50,61,50.81,0,0,0,5,0
season 2024,2,2,0,31,24,15.50,61,50.81,0,0,0,5,0
*O Prendergast,2,2,0,31,24,15.50,61,50.81,0,0,0,5,0
is not captain,2,2,0,31,24,15.50,61,50.81,0,0,0,5,0
is not keeper,2,2,0,31,24,15.50,61,50.81,0,0,0,5,0
lost the toss,2,2,0,31,24,15.50,61,50.81,0,0,0,5,0
lost toss & sent in,2,2,0,31,24,15.50,61,50.81,0,0,0,5,0
matches batting first,2,2,0,31,24,15.50,61,50.81,0,0,0,5,0
1st team innings,2,2,0,31,24,15.50,61,50.81,0,0,0,5,0
1st match innings,2,2,0,31,24,15.50,61,50.81,0,0,0,5,0
won match,1,1,0,24,24,24.00,38,63.15,0,0,0,4,0
lost match,1,1,0,7,7,7.00,23,30.43,0,0,0,1,0
won batting first,1,1,0,24,24,24.00,38,63.15,0,0,0,4,0
lost batting first,1,1,0,7,7,7.00,23,30.43,0,0,0,1,0
2 team series,2,2,0,31,24,15.50,61,50.81,0,0,0,5,0
5+ team tournaments,2,2,0,31,24,15.50,61,50.81,0,0,0,5,0
2nd match in series,1,1,0,24,24,24.00,38,63.15,0,0,0,4,0
3rd match in series,1,1,0,7,7,7.00,23,30.43,0,0,0,1,0
ICC Women's Champ,2,2,0,31,24,15.50,61,50.81,0,0,0,5,0
2nd position,2,2,0,31,24,15.50,61,50.81,0,0,0,5,0
