,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2011-2024,21,42,2,1344,160,33.60,2699,49.79,3,5,2,150,11
vs Bangladesh,2011-2020,5,10,1,303,107,33.66,558,54.30,1,0,0,36,3
vs Ireland,2024-2024,1,2,0,12,7,6.00,54,22.22,0,0,0,0,0
vs New Zealand,2016-2016,2,4,0,236,146,59.00,455,51.86,1,1,0,30,1
vs Pakistan,2011-2011,1,2,0,55,49,27.50,118,46.61,0,0,0,9,0
vs South Africa,2017-2017,1,2,0,27,23,13.50,89,30.33,0,0,0,3,1
vs Sri Lanka,2016-2020,5,10,0,430,160,43.00,798,53.88,1,3,1,39,6
vs West Indies,2013-2023,6,12,1,281,72,25.54,627,44.81,0,1,1,33,0
in Bangladesh,2014-2020,4,8,0,262,107,32.75,472,55.50,1,0,0,31,3
in Ireland,2024-2024,1,2,0,12,7,6.00,54,22.22,0,0,0,0,0
in South Africa,2017-2017,1,2,0,27,23,13.50,89,30.33,0,0,0,3,1
in Sri Lanka,2017-2017,1,2,0,165,160,82.50,267,61.79,1,0,0,14,1
in West Indies,2013-2013,2,4,1,78,29,26.00,248,31.45,0,0,0,11,0
in Zimbabwe,2011-2023,12,24,1,800,146,34.78,1569,50.98,1,5,2,91,6
in Africa,2011-2023,13,26,1,827,146,33.08,1658,49.87,1,5,2,94,7
in Americas,2013-2013,2,4,1,78,29,26.00,248,31.45,0,0,0,11,0
in Asia,2014-2020,5,10,0,427,160,42.70,739,57.78,2,0,0,45,4
in Europe,2024-2024,1,2,0,12,7,6.00,54,22.22,0,0,0,0,0
home,2011-2023,12,24,1,800,146,34.78,1569,50.98,1,5,2,91,6
away,2013-2024,9,18,1,544,160,32.00,1130,48.14,2,0,0,59,5
year 2011,,2,4,1,96,49,32.00,204,47.05,0,0,0,14,0
year 2013,,2,4,1,78,29,26.00,248,31.45,0,0,0,11,0
year 2014,,3,6,0,112,34,18.66,196,57.14,0,0,0,12,2
year 2016,,4,8,0,384,146,48.00,732,52.45,1,3,1,48,2
year 2017,,4,8,0,271,160,33.87,545,49.72,1,0,1,28,2
year 2020,,3,6,0,267,107,44.50,530,50.37,1,1,0,26,5
year 2023,,2,4,0,124,72,31.00,190,65.26,0,1,0,11,0
