,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2023-2024,6,12,0,297,111,24.75,610,48.68,1,0,3,45,4
vs Afghanistan,2024-2024,1,2,0,49,49,24.50,65,75.38,0,0,1,7,1
vs Bangladesh,2023-2023,1,2,0,35,34,17.50,77,45.45,0,0,0,6,0
vs England,2023-2023,1,2,0,52,33,26.00,113,46.01,0,0,0,9,1
vs Sri Lanka,2023-2023,2,4,0,153,111,38.25,337,45.40,1,0,1,22,2
vs Zimbabwe,2024-2024,1,2,0,8,8,4.00,18,44.44,0,0,1,1,0
in Bangladesh,2023-2023,1,2,0,35,34,17.50,77,45.45,0,0,0,6,0
in England,2023-2023,1,2,0,52,33,26.00,113,46.01,0,0,0,9,1
in Ireland,2024-2024,1,2,0,8,8,4.00,18,44.44,0,0,1,1,0
in Sri Lanka,2023-2023,2,4,0,153,111,38.25,337,45.40,1,0,1,22,2
in U.A.E.,2024-2024,1,2,0,49,49,24.50,65,75.38,0,0,1,7,1
in Asia,2023-2024,4,8,0,237,111,29.62,479,49.47,1,0,2,35,3
in Europe,2023-2024,2,4,0,60,33,15.00,131,45.80,0,0,1,10,1
home,2024-2024,1,2,0,8,8,4.00,18,44.44,0,0,1,1,0
away,2023-2023,4,8,0,240,111,30.00,527,45.54,1,0,1,37,3
neutral,2024-2024,1,2,0,49,49,24.50,65,75.38,0,0,1,7,1
year 2023,,4,8,0,240,111,30.00,527,45.54,1,0,1,37,3
year 2024,,2,4,0,57,49,14.25,83,68.67,0,0,2,8,1
season 2022/23,,1,2,0,35,34,17.50,77,45.45,0,0,0,6,0
season 2023,,3,6,0,205,111,34.16,450,45.55,1,0,1,31,3
season 2023/24,,1,2,0,49,49,24.50,65,75.38,0,0,1,7,1
season 2024,,1,2,0,8,8,4.00,18,44.44,0,0,1,1,0
*A Balbirnie,2023-2024,6,12,0,297,111,24.75,610,48.68,1,0,3,45,4
is not captain,2023-2024,6,12,0,297,111,24.75,610,48.68,1,0,3,45,4
is not keeper,2023-2024,6,12,0,297,111,24.75,610,48.68,1,0,3,45,4
won the toss,2023-2024,3,6,0,166,111,27.66,357,46.49,1,0,1,24,2
lost the toss,2023-2024,3,6,0,131,49,21.83,253,51.77,0,0,2,21,2
won toss & batted,2023-2023,2,4,0,158,111,39.50,339,46.60,1,0,0,23,2
won toss & fielded,2024-2024,1,2,0,8,8,4.00,18,44.44,0,0,1,1,0
lost toss & sent in,2023-2023,1,2,0,52,33,26.00,113,46.01,0,0,0,9,1
lost toss & fielded,2023-2024,2,4,0,79,49,19.75,140,56.42,0,0,2,12,1
matches batting first,2023-2023,3,6,0,210,111,35.00,452,46.46,1,0,0,32,3
matches fielding first,2023-2024,3,6,0,87,49,14.50,158,55.06,0,0,3,13,1
1st team innings,2023-2024,6,6,0,235,111,39.16,464,50.64,1,0,1,35,3
2nd team innings,2023-2024,6,6,0,62,30,10.33,146,42.46,0,0,2,10,1
1st match innings,2023-2023,3,3,0,178,111,59.33,381,46.71,1,0,0,27,2
2nd match innings,2023-2024,3,3,0,57,49,19.00,83,68.67,0,0,1,8,1
3rd match innings,2023-2023,4,4,0,62,30,15.50,144,43.05,0,0,0,10,1
4th match innings,2024-2024,2,2,0,0,0,0.00,2,0.00,0,0,2,0,0
won match,2024-2024,2,4,0,57,49,14.25,83,68.67,0,0,2,8,1
lost match,2023-2023,4,8,0,240,111,30.00,527,45.54,1,0,1,37,3
won fielding first,2024-2024,2,4,0,57,49,14.25,83,68.67,0,0,2,8,1
lost batting first,2023-2023,3,6,0,210,111,35.00,452,46.46,1,0,0,32,3
lost fielding first,2023-2023,1,2,0,30,30,15.00,75,40.00,0,0,1,5,0
2 team series,2023-2024,6,12,0,297,111,24.75,610,48.68,1,0,3,45,4
only match in series,2023-2024,4,8,0,144,49,18.00,273,52.74,0,0,2,23,2
1st match in series,2023-2023,1,2,0,30,30,15.00,75,40.00,0,0,1,5,0
2nd match in series,2023-2023,1,2,0,123,111,61.50,262,46.94,1,0,0,17,2
3rd position,2024-2024,2,4,0,57,49,14.25,83,68.67,0,0,2,8,1
5th position,2023-2023,2,3,0,35,34,11.66,79,44.30,0,0,1,6,0
7th position,2023-2023,3,5,0,205,111,41.00,448,45.75,1,0,0,31,3
