,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Avg,Econ,SR,5w,10w
overview,2021-2024,4,8,79.2,8,282,10,5/21,7/68,28.20,3.55,47.6,1,0
vs ENG Women,2022-2023,2,4,37.0,4,150,3,1/18,2/57,50.00,4.05,74.0,0,0
vs India Women,2021-2021,1,2,14.0,0,64,0,-,-,-,4.57,-,0,0
vs SA Women,2024-2024,1,2,28.2,4,68,7,5/21,7/68,9.71,2.40,24.2,1,0
in Australia,2021-2024,3,6,59.2,7,189,9,5/21,7/68,21.00,3.18,39.5,1,0
in England,2023-2023,1,2,20.0,1,93,1,1/78,1/93,93.00,4.65,120.0,0,0
in Europe,2023-2023,1,2,20.0,1,93,1,1/78,1/93,93.00,4.65,120.0,0,0
in Oceania,2021-2024,3,6,59.2,7,189,9,5/21,7/68,21.00,3.18,39.5,1,0
home,2021-2024,3,6,59.2,7,189,9,5/21,7/68,21.00,3.18,39.5,1,0
away,2023-2023,1,2,20.0,1,93,1,1/78,1/93,93.00,4.65,120.0,0,0
year 2021,,1,2,14.0,0,64,0,-,-,-,4.57,-,0,0
year 2022,,1,2,17.0,3,57,2,1/18,2/57,28.50,3.35,51.0,0,0
year 2023,,1,2,20.0,1,93,1,1/78,1/93,93.00,4.65,120.0,0,0
year 2024,,1,2,28.2,4,68,7,5/21,7/68,9.71,2.40,24.2,1,0
season 2021/22,,2,4,31.0,3,121,2,1/18,2/57,60.50,3.90,93.0,0,0
season 2023,,1,2,20.0,1,93,1,1/78,1/93,93.00,4.65,120.0,0,0
season 2023/24,,1,2,28.2,4,68,7,5/21,7/68,9.71,2.40,24.2,1,0
*AJ Healy,2023-2024,2,4,48.2,5,161,8,5/21,7/68,20.12,3.33,36.2,1,0
*MM Lanning,2021-2022,2,4,31.0,3,121,2,1/18,2/57,60.50,3.90,93.0,0,0
is not captain,2021-2024,4,8,79.2,8,282,10,5/21,7/68,28.20,3.55,47.6,1,0
is not keeper,2021-2024,4,8,79.2,8,282,10,5/21,7/68,28.20,3.55,47.6,1,0
won the toss,2021-2024,3,6,62.2,5,225,8,5/21,7/68,28.12,3.60,46.7,1,0
lost the toss,2022-2022,1,2,17.0,3,57,2,1/18,2/57,28.50,3.35,51.0,0,0
won toss & batted,2023-2023,1,2,20.0,1,93,1,1/78,1/93,93.00,4.65,120.0,0,0
won toss & fielded,2021-2024,2,4,42.2,4,132,7,5/21,7/68,18.85,3.11,36.2,1,0
lost toss & sent in,2022-2022,1,2,17.0,3,57,2,1/18,2/57,28.50,3.35,51.0,0,0
matches batting first,2022-2023,2,4,37.0,4,150,3,1/18,2/57,50.00,4.05,74.0,0,0
matches fielding first,2021-2024,2,4,42.2,4,132,7,5/21,7/68,18.85,3.11,36.2,1,0
1st team innings,2021-2024,4,4,48.2,5,187,7,5/21,7/68,26.71,3.86,41.4,1,0
2nd team innings,2021-2024,4,4,31.0,3,95,3,2/47,7/68,31.66,3.06,62.0,0,0
1st match innings,2021-2024,2,2,19.2,1,70,5,5/21,7/68,14.00,3.62,23.2,1,0
2nd match innings,2022-2023,2,2,29.0,4,117,2,1/39,2/57,58.50,4.03,87.0,0,0
3rd match innings,2021-2024,2,2,23.0,3,62,2,2/47,7/68,31.00,2.69,69.0,0,0
4th match innings,2022-2023,2,2,8.0,0,33,1,1/18,2/57,33.00,4.12,48.0,0,0
day match,2022-2024,3,6,65.2,8,218,10,5/21,7/68,21.80,3.33,39.2,1,0
day/night match,2021-2021,1,2,14.0,0,64,0,-,-,-,4.57,-,0,0
won match,2023-2024,2,4,48.2,5,161,8,5/21,7/68,20.12,3.33,36.2,1,0
drawn match,2021-2022,2,4,31.0,3,121,2,1/18,2/57,60.50,3.90,93.0,0,0
won batting first,2023-2023,1,2,20.0,1,93,1,1/78,1/93,93.00,4.65,120.0,0,0
won fielding first,2024-2024,1,2,28.2,4,68,7,5/21,7/68,9.71,2.40,24.2,1,0
drawn batting first,2022-2022,1,2,17.0,3,57,2,1/18,2/57,28.50,3.35,51.0,0,0
drawn fielding first,2021-2021,1,2,14.0,0,64,0,-,-,-,4.57,-,0,0
2 team series,2021-2024,4,8,79.2,8,282,10,5/21,7/68,28.20,3.55,47.6,1,0
only match in series,2021-2024,4,8,79.2,8,282,10,5/21,7/68,28.20,3.55,47.6,1,0
1st position,2022-2023,2,3,32.0,4,132,2,1/39,2/57,66.00,4.12,96.0,0,0
2nd position,2021-2024,3,5,47.2,4,150,8,5/21,7/68,18.75,3.16,35.5,1,0
