,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2022-2024,7,7,2,51,15,10.20,63,80.95,0,0,1,3,1
vs Australia,2022-2022,1,1,0,15,15,15.00,13,115.38,0,0,0,1,0
vs Bangladesh,2022-2022,2,2,1,11,9*,11.00,14,78.57,0,0,0,0,1
vs U.A.E.,2023-2024,2,2,0,2,2,1.00,7,28.57,0,0,1,0,0
vs Zimbabwe,2022-2022,2,2,1,23,12*,23.00,29,79.31,0,0,0,2,0
in Australia,2022-2022,1,1,0,15,15,15.00,13,115.38,0,0,0,1,0
in Bangladesh,2022-2022,2,2,1,11,9*,11.00,14,78.57,0,0,0,0,1
in U.A.E.,2023-2024,2,2,0,2,2,1.00,7,28.57,0,0,1,0,0
in Zimbabwe,2022-2022,2,2,1,23,12*,23.00,29,79.31,0,0,0,2,0
in Africa,2022-2022,2,2,1,23,12*,23.00,29,79.31,0,0,0,2,0
in Asia,2022-2024,4,4,1,13,9*,4.33,21,61.90,0,0,1,0,1
in Oceania,2022-2022,1,1,0,15,15,15.00,13,115.38,0,0,0,1,0
away,2022-2024,7,7,2,51,15,10.20,63,80.95,0,0,1,3,1
year 2022,,5,5,2,49,15,16.33,56,87.50,0,0,0,3,1
year 2023,,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0
year 2024,,1,1,0,2,2,2.00,5,40.00,0,0,0,0,0
season 2021/22,,2,2,1,11,9*,11.00,14,78.57,0,0,0,0,1
season 2022,,2,2,1,23,12*,23.00,29,79.31,0,0,0,2,0
season 2022/23,,1,1,0,15,15,15.00,13,115.38,0,0,0,1,0
season 2023/24,,2,2,0,2,2,1.00,7,28.57,0,0,1,0,0
*Ibrahim Zadran,2023-2024,2,2,0,2,2,1.00,7,28.57,0,0,1,0,0
*Mohammad Nabi,2022-2022,5,5,2,49,15,16.33,56,87.50,0,0,0,3,1
is not captain,2022-2024,7,7,2,51,15,10.20,63,80.95,0,0,1,3,1
is not keeper,2022-2024,7,7,2,51,15,10.20,63,80.95,0,0,1,3,1
won the toss,2022-2022,2,2,1,27,15,27.00,22,122.72,0,0,0,3,0
lost the toss,2022-2024,5,5,1,24,11,6.00,41,58.53,0,0,1,0,1
won toss & batted,2022-2022,1,1,1,12,12*,-,9,133.33,0,0,0,2,0
won toss & fielded,2022-2022,1,1,0,15,15,15.00,13,115.38,0,0,0,1,0
lost toss & fielded,2022-2024,5,5,1,24,11,6.00,41,58.53,0,0,1,0,1
matches batting first,2022-2022,1,1,1,12,12*,-,9,133.33,0,0,0,2,0
matches fielding first,2022-2024,6,6,1,39,15,7.80,54,72.22,0,0,1,1,1
1st team innings,2022-2024,7,7,2,51,15,10.20,63,80.95,0,0,1,3,1
1st match innings,2022-2022,1,1,1,12,12*,-,9,133.33,0,0,0,2,0
2nd match innings,2022-2024,6,6,1,39,15,7.80,54,72.22,0,0,1,1,1
day match,2022-2022,2,2,1,23,12*,23.00,29,79.31,0,0,0,2,0
day/night match,2022-2024,4,4,1,13,9*,4.33,21,61.90,0,0,1,0,1
night match,2022-2022,1,1,0,15,15,15.00,13,115.38,0,0,0,1,0
won match,2022-2024,4,4,2,34,12*,17.00,42,80.95,0,0,0,2,1
lost match,2022-2023,3,3,0,17,15,5.66,21,80.95,0,0,1,1,0
won batting first,2022-2022,1,1,1,12,12*,-,9,133.33,0,0,0,2,0
won fielding first,2022-2024,3,3,1,22,11,11.00,33,66.66,0,0,0,0,1
lost fielding first,2022-2023,3,3,0,17,15,5.66,21,80.95,0,0,1,1,0
2 team series,2022-2024,6,6,2,36,12*,9.00,50,72.00,0,0,1,2,1
5+ team tournaments,2022-2022,1,1,0,15,15,15.00,13,115.38,0,0,0,1,0
1st match in series,2022-2022,2,2,0,13,11,6.50,26,50.00,0,0,0,0,0
2nd match in series,2022-2023,3,3,2,21,12*,21.00,19,110.52,0,0,1,2,1
3rd match in series,2024-2024,1,1,0,2,2,2.00,5,40.00,0,0,0,0,0
Men's T20 World Cup,2022-2022,1,1,0,15,15,15.00,13,115.38,0,0,0,1,0
3rd position,2022-2022,1,1,0,2,2,2.00,6,33.33,0,0,0,0,0
4th position,2022-2022,3,3,2,32,12*,32.00,37,86.48,0,0,0,2,1
5th position,2024-2024,1,1,0,2,2,2.00,5,40.00,0,0,0,0,0
6th position,2023-2023,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0
7th position,2022-2022,1,1,0,15,15,15.00,13,115.38,0,0,0,1,0
