,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2023-2024,6,10,0,404,110,40.40,622,64.95,1,2,1,54,8
vs India,2023-2024,2,3,0,79,56,26.33,116,68.10,0,1,0,11,2
vs New Zealand,2024-2024,2,4,0,268,110,67.00,397,67.50,1,1,0,37,5
vs West Indies,2024-2024,2,3,0,57,29,19.00,109,52.29,0,0,1,6,1
in New Zealand,2024-2024,2,4,0,268,110,67.00,397,67.50,1,1,0,37,5
in South Africa,2023-2024,2,3,0,79,56,26.33,116,68.10,0,1,0,11,2
in West Indies,2024-2024,2,3,0,57,29,19.00,109,52.29,0,0,1,6,1
in Africa,2023-2024,2,3,0,79,56,26.33,116,68.10,0,1,0,11,2
in Americas,2024-2024,2,3,0,57,29,19.00,109,52.29,0,0,1,6,1
in Oceania,2024-2024,2,4,0,268,110,67.00,397,67.50,1,1,0,37,5
home,2023-2024,2,3,0,79,56,26.33,116,68.10,0,1,0,11,2
away,2024-2024,4,7,0,325,110,46.42,506,64.22,1,1,1,43,6
year 2023,,1,1,0,56,56,56.00,87,64.36,0,1,0,7,2
year 2024,,5,9,0,348,110,38.66,535,65.04,1,1,1,47,6
season 2023/24,,4,7,0,347,110,49.57,513,67.64,1,2,0,48,7
season 2024,,2,3,0,57,29,19.00,109,52.29,0,0,1,6,1
*T Bavuma,2023-2024,3,4,0,113,56,28.25,196,57.65,0,1,1,13,3
*N Brand,2024-2024,2,4,0,268,110,67.00,397,67.50,1,1,0,37,5
*D Elgar,2024-2024,1,2,0,23,12,11.50,29,79.31,0,0,0,4,0
is not captain,2023-2024,6,10,0,404,110,40.40,622,64.95,1,2,1,54,8
is not keeper,2023-2024,6,10,0,404,110,40.40,622,64.95,1,2,1,54,8
won the toss,2023-2024,6,10,0,404,110,40.40,622,64.95,1,2,1,54,8
won toss & batted,2024-2024,4,7,0,229,110,32.71,381,60.10,1,0,1,29,3
won toss & fielded,2023-2024,2,3,0,175,87,58.33,241,72.61,0,2,0,25,5
matches batting first,2024-2024,4,7,0,229,110,32.71,381,60.10,1,0,1,29,3
matches fielding first,2023-2024,2,3,0,175,87,58.33,241,72.61,0,2,0,25,5
1st team innings,2023-2024,6,6,0,196,56,32.66,363,53.99,0,1,0,27,3
2nd team innings,2024-2024,5,4,0,208,110,52.00,259,80.30,1,1,1,27,5
1st match innings,2024-2024,4,4,0,108,39,27.00,218,49.54,0,0,0,15,1
2nd match innings,2023-2024,2,2,0,88,56,44.00,145,60.68,0,1,0,12,2
3rd match innings,2024-2024,4,3,0,121,110,40.33,163,74.23,1,0,1,14,2
4th match innings,2024-2024,1,1,0,87,87,87.00,96,90.62,0,1,0,13,3
won match,2023-2024,2,3,0,84,56,28.00,151,55.62,0,1,1,10,2
lost match,2024-2024,3,6,0,291,110,48.50,426,68.30,1,1,0,41,5
drawn match,2024-2024,1,1,0,29,29,29.00,45,64.44,0,0,0,3,1
won batting first,2024-2024,1,2,0,28,28,14.00,64,43.75,0,0,1,3,0
won fielding first,2023-2023,1,1,0,56,56,56.00,87,64.36,0,1,0,7,2
lost batting first,2024-2024,2,4,0,172,110,43.00,272,63.23,1,0,0,23,2
lost fielding first,2024-2024,1,2,0,119,87,59.50,154,77.27,0,1,0,18,3
drawn batting first,2024-2024,1,1,0,29,29,29.00,45,64.44,0,0,0,3,1
2 team series,2023-2024,6,10,0,404,110,40.40,622,64.95,1,2,1,54,8
5+ team tournaments,2023-2024,6,10,0,404,110,40.40,622,64.95,1,2,1,54,8
1st match in series,2023-2024,3,4,0,204,87,51.00,286,71.32,0,2,0,28,6
2nd match in series,2024-2024,3,6,0,200,110,33.33,336,59.52,1,0,1,26,2
ICC World Test Champ,2023-2024,6,10,0,404,110,40.40,622,64.95,1,2,1,54,8
5th position,2023-2024,6,10,0,404,110,40.40,622,64.95,1,2,1,54,8
