,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2016-2024,57,101,8,3786,173,40.70,6489,58.34,12,17,9,453,33
vs Afghanistan,2024-2024,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
vs Australia,2016-2022,6,12,1,400,129,36.36,746,53.61,1,1,0,50,1
vs Bangladesh,2017-2024,9,15,0,841,173,56.06,1306,64.39,4,2,1,98,9
vs England,2018-2024,6,11,0,372,74,33.81,629,59.14,0,5,2,41,1
vs India,2017-2022,4,8,1,182,119*,26.00,362,50.27,1,0,1,25,1
vs Ireland,2023-2023,2,2,1,24,12*,24.00,33,72.72,0,0,0,5,0
vs New Zealand,2018-2023,5,10,2,321,109,40.12,534,60.11,1,1,2,44,4
vs Pakistan,2019-2023,6,11,1,581,122,58.10,948,61.28,3,2,1,73,9
vs South Africa,2016-2020,8,14,1,374,79*,28.76,619,60.42,0,2,1,48,4
vs West Indies,2018-2021,6,11,1,361,155*,36.10,679,53.16,1,2,0,34,2
vs Zimbabwe,2016-2020,4,6,0,330,127,55.00,632,52.21,1,2,0,35,2
in Australia,2019-2019,2,4,0,50,25,12.50,139,35.97,0,0,0,3,0
in Bangladesh,2018-2024,6,10,0,598,173,59.80,893,66.96,3,2,0,67,8
in England,2024-2024,3,5,0,204,74,40.80,294,69.38,0,3,1,27,0
in India,2017-2022,3,6,1,165,119*,33.00,344,47.96,1,0,0,21,1
in New Zealand,2018-2023,3,6,1,192,98,38.40,335,57.31,0,1,2,24,2
in Pakistan,2019-2019,2,3,1,134,102*,67.00,230,58.26,1,0,1,17,1
in South Africa,2016-2020,6,10,1,294,79*,32.66,459,64.05,0,1,0,39,3
in Sri Lanka,2016-2024,24,44,4,1677,166,41.92,2850,58.84,6,7,5,202,16
in West Indies,2018-2021,4,7,0,142,50,20.28,313,45.36,0,1,0,18,0
in Zimbabwe,2016-2020,4,6,0,330,127,55.00,632,52.21,1,2,0,35,2
in Africa,2016-2020,10,16,1,624,127,41.60,1091,57.19,1,3,0,74,5
in Americas,2018-2021,4,7,0,142,50,20.28,313,45.36,0,1,0,18,0
in Asia,2016-2024,35,63,6,2574,173,45.15,4317,59.62,11,9,6,307,26
in Europe,2024-2024,3,5,0,204,74,40.80,294,69.38,0,3,1,27,0
in Oceania,2018-2023,5,10,1,242,98,26.88,474,51.05,0,1,2,27,2
home,2016-2024,24,44,4,1677,166,41.92,2850,58.84,6,7,5,202,16
away,2016-2024,33,57,4,2109,173,39.79,3639,57.95,6,10,4,251,17
year 2016,,6,12,1,615,129,55.90,1127,54.56,2,2,0,77,2
year 2017,,5,10,1,231,119*,25.66,423,54.60,1,0,2,30,2
