,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2011-2024,82,147,15,5656,206*,42.84,11235,50.34,15,28,7,589,42
vs Afghanistan,2024-2024,1,1,0,107,107,107.00,181,59.11,1,0,0,10,1
vs Australia,2013-2022,8,15,2,579,206*,44.53,1195,48.45,2,1,2,61,6
vs Bangladesh,2013-2024,12,19,4,1006,138,67.06,1884,53.39,5,4,2,73,13
vs England,2012-2024,11,20,0,602,126,30.10,1086,55.43,1,3,1,71,4
vs India,2015-2017,8,16,1,750,164,50.00,1304,57.51,2,3,0,91,8
vs Ireland,2023-2023,2,2,2,115,102*,-,169,68.04,1,0,0,14,0
vs New Zealand,2015-2023,7,13,0,520,83,40.00,1203,43.22,0,5,0,64,0
vs Pakistan,2012-2023,15,27,2,988,155*,39.52,2079,47.52,1,8,2,103,6
vs South Africa,2011-2020,7,14,0,350,85,25.00,674,51.92,0,3,0,45,0
vs West Indies,2015-2021,8,15,3,538,151,44.83,1227,43.84,2,0,0,48,3
vs Zimbabwe,2017-2020,3,5,1,101,55,25.25,233,43.34,0,1,0,9,1
in Australia,2013-2019,3,6,1,110,62*,22.00,196,56.12,0,1,1,19,0
in Bangladesh,2014-2024,8,13,2,590,124,53.63,1115,52.91,2,3,2,38,10
in England,2014-2024,7,12,0,401,126,33.41,646,62.07,1,2,1,51,1
in India,2017-2017,3,6,0,366,164,61.00,745,49.12,1,2,0,43,2
in New Zealand,2015-2023,7,13,0,520,83,40.00,1203,43.22,0,5,0,64,0
in Pakistan,2019-2019,2,3,0,78,74,26.00,179,43.57,0,1,0,10,0
in South Africa,2011-2020,6,12,0,343,85,28.58,657,52.20,0,3,0,44,0
in Sri Lanka,2012-2024,35,62,8,2577,206*,47.72,4802,53.66,9,9,1,259,26
in U.A.E.,2013-2017,5,9,1,349,155*,43.62,873,39.97,1,2,2,35,1
in West Indies,2018-2021,4,8,2,291,119*,48.50,703,41.39,1,0,0,25,1
in Zimbabwe,2020-2020,2,3,1,31,13*,15.50,116,26.72,0,0,0,1,1
