,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Avg,Econ,SR,5w,10w
overview,2015-2021,12,21,337.0,28,1321,32,5/47,9/115,41.28,3.91,63.1,1,0
vs Australia,2019-2019,1,1,21.0,3,68,1,1/68,1/68,68.00,3.23,126.0,0,0
vs England,2016-2016,1,1,17.0,0,64,3,3/64,3/64,21.33,3.76,34.0,0,0
vs India,2015-2015,1,2,34.0,2,135,2,2/72,2/135,67.50,3.97,102.0,0,0
vs New Zealand,2015-2018,3,6,102.0,12,478,13,5/47,9/115,36.76,4.68,47.0,1,0
vs Pakistan,2015-2015,1,2,28.5,1,86,4,3/53,4/86,21.50,2.98,43.2,0,0
vs South Africa,2016-2021,2,3,43.0,2,206,2,1/53,1/53,103.00,4.79,129.0,0,0
vs West Indies,2021-2021,3,6,91.1,8,284,7,3/69,5/143,40.57,3.11,78.1,0,0
in Australia,2019-2019,1,1,21.0,3,68,1,1/68,1/68,68.00,3.23,126.0,0,0
in England,2016-2016,1,1,17.0,0,64,3,3/64,3/64,21.33,3.76,34.0,0,0
in New Zealand,2015-2018,3,6,102.0,12,478,13,5/47,9/115,36.76,4.68,47.0,1,0
in South Africa,2016-2021,2,3,43.0,2,206,2,1/53,1/53,103.00,4.79,129.0,0,0
in Sri Lanka,2015-2021,3,6,74.5,3,247,6,3/53,4/86,41.16,3.30,74.8,0,0
in West Indies,2021-2021,2,4,79.1,8,258,7,3/69,5/143,36.85,3.25,67.8,0,0
in Africa,2016-2021,2,3,43.0,2,206,2,1/53,1/53,103.00,4.79,129.0,0,0
in Americas,2021-2021,2,4,79.1,8,258,7,3/69,5/143,36.85,3.25,67.8,0,0
in Asia,2015-2021,3,6,74.5,3,247,6,3/53,4/86,41.16,3.30,74.8,0,0
in Europe,2016-2016,1,1,17.0,0,64,3,3/64,3/64,21.33,3.76,34.0,0,0
in Oceania,2015-2019,4,7,123.0,15,546,14,5/47,9/115,39.00,4.43,52.7,1,0
