,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
overview,2018-2022,20,18,111.0,0,627,7,2/40,89.57,5.64,95.1,0,0
vs Afghanistan,2019-2019,1,1,3.0,0,26,0,-,-,8.66,-,0,0
vs Bangladesh,2018-2019,3,3,11.0,0,70,1,1/37,70.00,6.36,66.0,0,0
vs India,2018-2022,9,8,55.0,0,307,4,2/40,76.75,5.58,82.5,0,0
vs Ireland,2019-2019,1,1,3.0,0,19,0,-,-,6.33,-,0,0
vs Sri Lanka,2019-2021,6,5,39.0,0,205,2,1/38,102.50,5.25,117.0,0,0
in Bangladesh,2018-2018,1,1,4.0,0,22,0,-,-,5.50,-,0,0
in England,2019-2019,3,3,21.0,0,122,1,1/44,122.00,5.80,126.0,0,0
in India,2018-2022,6,6,39.0,0,215,2,1/42,107.50,5.51,117.0,0,0
in Ireland,2019-2019,3,3,10.0,0,67,1,1/37,67.00,6.70,60.0,0,0
in Sri Lanka,2020-2020,2,1,6.0,0,37,0,-,-,6.16,-,0,0
in West Indies,2019-2021,5,4,31.0,0,164,3,2/40,54.66,5.29,62.0,0,0
in Americas,2019-2021,5,4,31.0,0,164,3,2/40,54.66,5.29,62.0,0,0
in Asia,2018-2022,9,8,49.0,0,274,2,1/42,137.00,5.59,147.0,0,0
in Europe,2019-2019,6,6,31.0,0,189,2,1/37,94.50,6.09,93.0,0,0
home,2019-2021,5,4,31.0,0,164,3,2/40,54.66,5.29,62.0,0,0
away,2018-2022,10,9,52.0,0,293,2,1/42,146.50,5.63,156.0,0,0
neutral,2019-2019,5,5,28.0,0,170,2,1/37,85.00,6.07,84.0,0,0
year 2018,,4,4,23.0,0,131,0,-,-,5.69,-,0,0
year 2019,,8,7,37.0,0,229,4,2/40,57.25,6.18,55.5,0,0
year 2020,,2,1,6.0,0,37,0,-,-,6.16,-,0,0
year 2021,,3,3,25.0,0,124,1,1/38,124.00,4.96,150.0,0,0
year 2022,,3,3,20.0,0,106,2,1/42,53.00,5.30,60.0,0,0
season 2018/19,,4,4,23.0,0,131,0,-,-,5.69,-,0,0
season 2019,,8,7,37.0,0,229,4,2/40,57.25,6.18,55.5,0,0
season 2019/20,,2,1,6.0,0,37,0,-,-,6.16,-,0,0
season 2020/21,,3,3,25.0,0,124,1,1/38,124.00,4.96,150.0,0,0
season 2021/22,,3,3,20.0,0,106,2,1/42,53.00,5.30,60.0,0,0
