,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
overview,2013-2024,39,34,195.0,8,892,22,3/38,40.54,4.57,53.1,0,0
vs AUS Women,2022-2024,4,4,13.0,0,90,1,1/67,90.00,6.92,78.0,0,0
vs ENG Women,2022-2022,1,1,4.0,0,24,1,1/24,24.00,6.00,24.0,0,0
vs India Women,2013-2023,6,5,31.0,1,161,1,1/48,161.00,5.19,186.0,0,0
vs IRE Women,2016-2016,2,2,7.0,0,21,2,2/13,10.50,3.00,21.0,0,0
vs NZ Women,2022-2022,2,-,-,-,-,-,-,-,-,-,-,-
vs PAK Women,2014-2023,10,10,57.5,2,248,8,3/38,31.00,4.28,43.3,0,0
vs SA Women,2013-2023,8,7,52.1,2,241,6,2/16,40.16,4.61,52.1,0,0
vs SL Women,2023-2023,2,2,14.0,0,65,2,1/25,32.50,4.64,42.0,0,0
vs WI Women,2022-2022,1,1,8.0,1,19,0,-,-,2.37,-,0,0
vs ZIM Women,2021-2021,3,2,8.0,2,23,1,1/16,23.00,2.87,48.0,0,0
in Bangladesh,2014-2024,11,11,66.5,3,296,5,1/15,59.20,4.42,80.2,0,0
in India,2013-2013,2,1,3.0,0,21,0,-,-,7.00,-,0,0
in Ireland,2016-2016,2,2,7.0,0,21,2,2/13,10.50,3.00,21.0,0,0
in New Zealand,2022-2022,7,5,25.0,1,110,4,3/38,27.50,4.40,37.5,0,0
in Pakistan,2015-2019,3,3,16.0,0,102,2,1/42,51.00,6.37,48.0,0,0
in South Africa,2013-2023,8,7,52.1,2,241,6,2/16,40.16,4.61,52.1,0,0
in Sri Lanka,2023-2023,2,2,14.0,0,65,2,1/25,32.50,4.64,42.0,0,0
in Zimbabwe,2021-2021,4,3,11.0,2,36,1,1/16,36.00,3.27,66.0,0,0
in Africa,2013-2023,12,10,63.1,4,277,7,2/16,39.57,4.38,54.1,0,0
in Asia,2013-2024,18,17,99.5,3,484,9,1/15,53.77,4.84,66.5,0,0
in Europe,2016-2016,2,2,7.0,0,21,2,2/13,10.50,3.00,21.0,0,0
in Oceania,2022-2022,7,5,25.0,1,110,4,3/38,27.50,4.40,37.5,0,0
home,2014-2024,11,11,66.5,3,296,5,1/15,59.20,4.42,80.2,0,0
away,2013-2023,22,17,100.1,4,473,13,2/13,36.38,4.72,46.2,0,0
neutral,2021-2022,6,6,28.0,1,123,4,3/38,30.75,4.39,42.0,0,0
year 2013,,4,3,22.0,1,95,1,1/40,95.00,4.31,132.0,0,0
year 2014,,1,1,5.0,1,9,0,-,-,1.80,-,0,0
year 2015,,1,1,7.0,0,42,1,1/42,42.00,6.00,42.0,0,0
year 2016,,2,2,7.0,0,21,2,2/13,10.50,3.00,21.0,0,0
year 2018,,4,3,12.1,1,62,2,2/53,31.00,5.09,36.5,0,0
year 2019,,2,2,9.0,0,60,1,1/48,60.00,6.66,54.0,0,0
year 2021,,4,3,11.0,2,36,1,1/16,36.00,3.27,66.0,0,0
year 2022,,7,5,25.0,1,110,4,3/38,27.50,4.40,37.5,0,0
year 2023,,11,11,85.5,2,374,9,2/16,41.55,4.35,57.2,0,0
year 2024,,3,3,11.0,0,83,1,1/67,83.00,7.54,66.0,0,0
season 2012/13,,2,1,3.0,0,21,0,-,-,7.00,-,0,0
season 2013/14,,3,3,24.0,2,83,1,1/40,83.00,3.45,144.0,0,0
season 2015/16,,1,1,7.0,0,42,1,1/42,42.00,6.00,42.0,0,0
season 2016,,2,2,7.0,0,21,2,2/13,10.50,3.00,21.0,0,0
season 2018,,3,2,11.1,1,60,2,2/53,30.00,5.37,33.5,0,0
season 2018/19,,1,1,1.0,0,2,0,-,-,2.00,-,0,0
season 2019/20,,2,2,9.0,0,60,1,1/48,60.00,6.66,54.0,0,0
season 2021/22,,9,8,36.0,3,146,5,3/38,29.20,4.05,43.2,0,0
season 2022/23,,2,-,-,-,-,-,-,-,-,-,-,-
season 2023,,5,5,39.0,1,183,3,1/25,61.00,4.69,78.0,0,0
season 2023/24,,9,9,57.5,1,274,7,2/16,39.14,4.73,49.5,0,0
*Fahima Khatun,2021-2021,2,2,8.0,2,23,1,1/16,23.00,2.87,48.0,0,0
*Jahanara Alam,2016-2016,2,2,7.0,0,21,2,2/13,10.50,3.00,21.0,0,0
*Nigar Sultana,2021-2024,23,20,124.5,3,580,14,3/38,41.42,4.64,53.5,0,0
*Rumana Ahmed,2018-2019,6,5,21.1,1,122,3,2/53,40.66,5.76,42.3,0,0
*Salma Khatun,2013-2015,6,5,34.0,2,146,2,1/40,73.00,4.29,102.0,0,0
is captain,2021-2021,2,2,8.0,2,23,1,1/16,23.00,2.87,48.0,0,0
is not captain,2013-2024,37,32,187.0,6,869,21,3/38,41.38,4.64,53.4,0,0
is not keeper,2013-2024,39,34,195.0,8,892,22,3/38,40.54,4.57,53.1,0,0
won the toss,2013-2024,16,14,78.0,3,359,7,2/13,51.28,4.60,66.8,0,0
lost the toss,2013-2024,23,20,117.0,5,533,15,3/38,35.53,4.55,46.8,0,0
won toss & batted,2013-2024,8,7,35.0,1,149,5,2/13,29.80,4.25,42.0,0,0
won toss & fielded,2013-2024,8,7,43.0,2,210,2,1/40,105.00,4.88,129.0,0,0
lost toss & sent in,2013-2024,9,8,44.0,2,169,6,3/38,28.16,3.84,44.0,0,0
lost toss & fielded,2013-2023,14,12,73.0,3,364,9,2/53,40.44,4.98,48.6,0,0
matches batting first,2013-2024,17,15,79.0,3,318,11,3/38,28.90,4.02,43.0,0,0
matches fielding first,2013-2024,22,19,116.0,5,574,11,2/53,52.18,4.94,63.2,0,0
1st team innings,2013-2024,39,34,195.0,8,892,22,3/38,40.54,4.57,53.1,0,0
1st match innings,2013-2024,22,19,116.0,5,574,11,2/53,52.18,4.94,63.2,0,0
2nd match innings,2013-2024,17,15,79.0,3,318,11,3/38,28.90,4.02,43.0,0,0
day match,2013-2024,33,30,170.0,8,763,19,3/38,40.15,4.48,53.6,0,0
day/night match,2022-2023,6,4,25.0,0,129,3,2/16,43.00,5.16,50.0,0,0
won match,2014-2023,12,11,52.0,4,173,9,3/38,19.22,3.32,34.6,0,0
lost match,2013-2024,21,19,113.1,3,602,10,2/53,60.20,5.31,67.9,0,0
tied match,2023-2023,2,2,19.5,1,84,2,1/36,42.00,4.23,59.5,0,0
no result,2016-2023,4,2,10.0,0,33,1,1/25,33.00,3.30,60.0,0,0
won batting first,2014-2023,5,5,28.0,2,90,7,3/38,12.85,3.21,24.0,0,0
won fielding first,2018-2023,7,6,24.0,2,83,2,1/16,41.50,3.45,72.0,0,0
