,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,3,6,0,192,94,32.00,359,53.48,0,2,0,20,1
vs Australia,1,2,0,160,94,80.00,281,56.93,0,2,0,15,1
vs South Africa,2,4,0,32,12,8.00,78,41.02,0,0,0,5,0
in South Africa,2,4,0,32,12,8.00,78,41.02,0,0,0,5,0
in U.A.E.,1,2,0,160,94,80.00,281,56.93,0,2,0,15,1
in Africa,2,4,0,32,12,8.00,78,41.02,0,0,0,5,0
in Asia,1,2,0,160,94,80.00,281,56.93,0,2,0,15,1
away,2,4,0,32,12,8.00,78,41.02,0,0,0,5,0
neutral,1,2,0,160,94,80.00,281,56.93,0,2,0,15,1
year 2018,2,4,0,184,94,46.00,336,54.76,0,2,0,19,1
year 2019,1,2,0,8,7,4.00,23,34.78,0,0,0,1,0
season 2018/19,3,6,0,192,94,32.00,359,53.48,0,2,0,20,1
*Sarfaraz Ahmed,3,6,0,192,94,32.00,359,53.48,0,2,0,20,1
is not captain,3,6,0,192,94,32.00,359,53.48,0,2,0,20,1
is not keeper,3,6,0,192,94,32.00,359,53.48,0,2,0,20,1
won the toss,2,4,0,184,94,46.00,336,54.76,0,2,0,19,1
lost the toss,1,2,0,8,7,4.00,23,34.78,0,0,0,1,0
won toss & batted,2,4,0,184,94,46.00,336,54.76,0,2,0,19,1
lost toss & sent in,1,2,0,8,7,4.00,23,34.78,0,0,0,1,0
matches batting first,3,6,0,192,94,32.00,359,53.48,0,2,0,20,1
1st team innings,3,3,0,107,94,35.66,230,46.52,0,1,0,10,1
2nd team innings,3,3,0,85,66,28.33,129,65.89,0,1,0,10,0
1st match innings,3,3,0,107,94,35.66,230,46.52,0,1,0,10,1
3rd match innings,3,3,0,85,66,28.33,129,65.89,0,1,0,10,0
won match,1,2,0,160,94,80.00,281,56.93,0,2,0,15,1
lost match,2,4,0,32,12,8.00,78,41.02,0,0,0,5,0
won batting first,1,2,0,160,94,80.00,281,56.93,0,2,0,15,1
lost batting first,2,4,0,32,12,8.00,78,41.02,0,0,0,5,0
2 team series,3,6,0,192,94,32.00,359,53.48,0,2,0,20,1
1st match in series,1,2,0,24,12,12.00,55,43.63,0,0,0,4,0
2nd match in series,2,4,0,168,94,42.00,304,55.26,0,2,0,16,1
1st position,1,2,0,160,94,80.00,281,56.93,0,2,0,15,1
2nd position,2,3,0,25,12,8.33,70,35.71,0,0,0,4,0
6th position,1,1,0,7,7,7.00,8,87.50,0,0,0,1,0
