,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
overview,2014-2024,17,16,115.0,5,649,23,3/56,28.21,5.64,30.0,0,0
vs Bangladesh,2022-2022,1,1,8.0,0,56,2,2/56,28.00,7.00,24.0,0,0
vs Ireland,2017-2017,1,1,10.0,0,65,3,3/65,21.66,6.50,20.0,0,0
vs Netherlands,2022-2022,2,2,16.0,1,52,3,2/29,17.33,3.25,32.0,0,0
vs Pakistan,2023-2023,1,1,10.0,0,70,2,2/70,35.00,7.00,30.0,0,0
vs Sri Lanka,2023-2024,5,5,31.0,1,236,6,2/43,39.33,7.61,31.0,0,0
vs U.A.E.,2014-2014,1,1,6.0,0,44,0,-,-,7.33,-,0,0
vs West Indies,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-
vs Zimbabwe,2017-2022,5,5,34.0,3,126,7,3/56,18.00,3.70,29.1,0,0
in Bangladesh,2022-2022,1,1,8.0,0,56,2,2/56,28.00,7.00,24.0,0,0
in India,2017-2017,1,1,10.0,0,65,3,3/65,21.66,6.50,20.0,0,0
in Qatar,2022-2022,2,2,16.0,1,52,3,2/29,17.33,3.25,32.0,0,0
in Sri Lanka,2023-2024,6,6,41.0,1,306,8,2/43,38.25,7.46,30.7,0,0
in U.A.E.,2014-2014,1,1,6.0,0,44,0,-,-,7.33,-,0,0
in West Indies,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-
in Zimbabwe,2017-2022,5,5,34.0,3,126,7,3/56,18.00,3.70,29.1,0,0
in Africa,2017-2022,5,5,34.0,3,126,7,3/56,18.00,3.70,29.1,0,0
in Americas,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-
in Asia,2014-2024,11,11,81.0,2,523,16,3/65,32.68,6.45,30.3,0,0
away,2014-2024,13,12,79.0,4,462,15,3/56,30.80,5.84,31.6,0,0
neutral,2017-2023,4,4,36.0,1,187,8,3/65,23.37,5.19,27.0,0,0
year 2014,,1,1,6.0,0,44,0,-,-,7.33,-,0,0
year 2017,,4,3,19.0,0,99,5,3/65,19.80,5.21,22.8,0,0
year 2022,,6,6,49.0,4,200,10,3/56,20.00,4.08,29.4,0,0
year 2023,,4,4,28.0,0,182,6,2/43,30.33,6.50,28.0,0,0
year 2024,,2,2,13.0,1,124,2,2/79,62.00,9.53,39.0,0,0
season 2014/15,,1,1,6.0,0,44,0,-,-,7.33,-,0,0
season 2016/17,,3,3,19.0,0,99,5,3/65,19.80,5.21,22.8,0,0
season 2017,,1,-,-,-,-,-,-,-,-,-,-,-
season 2021/22,,3,3,24.0,1,108,5,2/29,21.60,4.50,28.8,0,0
season 2022,,3,3,25.0,3,92,5,3/56,18.40,3.68,30.0,0,0
season 2023,,4,4,28.0,0,182,6,2/43,30.33,6.50,28.0,0,0
season 2023/24,,2,2,13.0,1,124,2,2/79,62.00,9.53,39.0,0,0
*Asghar Afghan,2017-2017,4,3,19.0,0,99,5,3/65,19.80,5.21,22.8,0,0
*Hashmatullah Shahidi,2022-2024,12,12,90.0,5,506,18,3/56,28.11,5.62,30.0,0,0
*Mohammad Nabi,2014-2014,1,1,6.0,0,44,0,-,-,7.33,-,0,0
is not captain,2014-2024,17,16,115.0,5,649,23,3/56,28.21,5.64,30.0,0,0
is not keeper,2014-2024,17,16,115.0,5,649,23,3/56,28.21,5.64,30.0,0,0
won the toss,2014-2024,11,10,63.0,3,351,11,3/56,31.90,5.57,34.3,0,0
lost the toss,2017-2023,6,6,52.0,2,298,12,3/65,24.83,5.73,26.0,0,0
won toss & batted,2017-2024,5,5,24.0,1,120,3,2/29,40.00,5.00,48.0,0,0
