,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2011-2024,65,62,5,1507,107,26.43,2973,50.68,2,10,8,124,0
vs AUS Women,2022-2024,4,4,0,20,8,5.00,90,22.22,0,0,1,1,0
vs ENG Women,2022-2022,1,1,0,11,11,11.00,32,34.37,0,0,0,0,0
vs India Women,2013-2023,8,8,0,268,107,33.50,476,56.30,1,1,1,26,0
vs IRE Women,2011-2017,6,5,1,53,34*,13.25,100,53.00,0,0,0,4,0
vs NZ Women,2022-2022,4,3,0,73,52,24.33,125,58.40,0,1,0,2,0
vs PAK Women,2012-2023,15,15,0,470,71,31.33,923,50.92,0,3,1,35,0
vs SA Women,2012-2023,20,20,1,496,102,26.10,1015,48.86,1,4,5,43,0
vs SL Women,2017-2023,3,2,0,29,24,14.50,55,52.72,0,0,0,3,0
vs WI Women,2022-2022,1,1,0,23,23,23.00,65,35.38,0,0,0,2,0
vs ZIM Women,2021-2021,3,3,3,64,53*,-,92,69.56,0,1,0,8,0
in Bangladesh,2011-2024,20,20,0,541,107,27.05,1116,48.47,1,3,2,46,0
in India,2013-2013,3,3,0,37,26,12.33,72,51.38,0,0,0,4,0
in Ireland,2012-2016,6,5,0,37,20,7.40,85,43.52,0,0,0,2,0
in New Zealand,2022-2022,10,9,0,194,71,21.55,386,50.25,0,2,1,9,0
in Pakistan,2015-2019,4,4,0,120,67,30.00,225,53.33,0,1,1,9,0
in South Africa,2013-2023,11,11,1,339,102,33.90,647,52.39,1,2,3,31,0
in Sri Lanka,2017-2023,7,6,1,130,50,26.00,260,50.00,0,1,1,13,0
in Zimbabwe,2021-2021,4,4,3,109,53*,109.00,182,59.89,0,1,0,10,0
in Africa,2013-2023,15,15,4,448,102,40.72,829,54.04,1,3,3,41,0
in Asia,2011-2024,34,33,1,828,107,25.87,1673,49.49,1,5,4,72,0
in Europe,2012-2016,6,5,0,37,20,7.40,85,43.52,0,0,0,2,0
in Oceania,2022-2022,10,9,0,194,71,21.55,386,50.25,0,2,1,9,0
home,2011-2024,20,20,0,541,107,27.05,1116,48.47,1,3,2,46,0
away,2012-2023,32,29,4,668,102,26.72,1236,54.04,1,5,4,57,0
neutral,2012-2022,13,13,1,298,71,24.83,621,47.98,0,2,2,21,0
year 2011,,1,1,0,13,13,13.00,23,56.52,0,0,0,1,0
year 2012,,7,7,0,96,55,13.71,202,47.52,0,1,0,8,0
year 2013,,6,6,0,140,63,23.33,255,54.90,0,1,0,14,0
year 2014,,2,2,0,28,18,14.00,77,36.36,0,0,0,4,0
year 2015,,2,2,0,26,26,13.00,71,36.61,0,0,1,0,0
year 2016,,2,1,0,3,3,3.00,9,33.33,0,0,0,0,0
year 2017,,9,9,1,193,67,24.12,431,44.77,0,2,2,17,0
year 2018,,6,6,1,139,69*,27.80,288,48.26,0,1,3,9,0
year 2019,,2,2,0,94,67,47.00,154,61.03,0,1,0,9,0
year 2021,,4,4,3,109,53*,109.00,182,59.89,0,1,0,10,0
year 2022,,10,9,0,194,71,21.55,386,50.25,0,2,1,9,0
