,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2022-2023,22,21,0,582,96,27.71,624,93.26,0,5,3,78,14
vs Australia,2022-2022,1,1,0,35,35,35.00,38,92.10,0,0,0,5,1
vs Bangladesh,2023-2023,3,3,0,49,28,16.33,61,80.32,0,0,0,9,0
vs England,2023-2023,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0
vs India,2022-2023,6,5,0,119,57,23.80,125,95.20,0,1,2,17,3
vs Ireland,2022-2022,3,3,0,99,60,33.00,95,104.21,0,1,0,14,3
vs Pakistan,2023-2023,3,3,0,55,29,18.33,56,98.21,0,0,0,10,0
vs Scotland,2022-2022,1,1,0,50,50,50.00,48,104.16,0,1,0,9,0
vs Sri Lanka,2023-2023,1,1,0,51,51,51.00,49,104.08,0,1,0,5,2
vs West Indies,2022-2022,3,3,0,124,96,41.33,150,82.66,0,1,0,9,5
in Australia,2022-2022,1,1,0,35,35,35.00,38,92.10,0,0,0,5,1
in Bangladesh,2023-2023,3,3,0,49,28,16.33,61,80.32,0,0,0,9,0
in England,2023-2023,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0
in India,2023-2023,3,3,0,40,40,13.33,46,86.95,0,0,2,7,1
in Ireland,2022-2022,3,3,0,99,60,33.00,95,104.21,0,1,0,14,3
in New Zealand,2022-2023,4,3,0,130,57,43.33,128,101.56,0,2,0,15,4
in Pakistan,2023-2023,3,3,0,55,29,18.33,56,98.21,0,0,0,10,0
in Scotland,2022-2022,1,1,0,50,50,50.00,48,104.16,0,1,0,9,0
in West Indies,2022-2022,3,3,0,124,96,41.33,150,82.66,0,1,0,9,5
in Americas,2022-2022,3,3,0,124,96,41.33,150,82.66,0,1,0,9,5
in Asia,2023-2023,9,9,0,144,40,16.00,163,88.34,0,0,2,26,1
in Europe,2022-2023,5,5,0,149,60,29.80,145,102.75,0,2,1,23,3
in Oceania,2022-2023,5,4,0,165,57,41.25,166,99.39,0,2,0,20,5
home,2022-2023,4,3,0,130,57,43.33,128,101.56,0,2,0,15,4
away,2022-2023,18,18,0,452,96,25.11,496,91.12,0,3,3,63,10
year 2022,,11,10,0,387,96,38.70,410,94.39,0,4,0,47,11
year 2023,,11,11,0,195,51,17.72,214,91.12,0,1,3,31,3
season 2022,,8,8,0,308,96,38.50,331,93.05,0,3,0,37,9
season 2022/23,,10,9,0,225,57,25.00,230,97.82,0,2,2,32,5
season 2023,,4,4,0,49,28,12.25,63,77.77,0,0,1,9,0
*LH Ferguson,2023-2023,3,3,0,49,28,16.33,61,80.32,0,0,0,9,0
*TWM Latham,2022-2023,10,10,0,289,96,28.90,318,90.88,0,3,3,33,9
*MJ Santner,2022-2022,1,1,0,50,50,50.00,48,104.16,0,1,0,9,0
*KS Williamson,2022-2023,8,7,0,194,57,27.71,197,98.47,0,1,0,27,5
is not captain,2022-2023,22,21,0,582,96,27.71,624,93.26,0,5,3,78,14
is not keeper,2022-2023,22,21,0,582,96,27.71,624,93.26,0,5,3,78,14
won the toss,2022-2023,12,11,0,229,60,20.81,244,93.85,0,2,2,31,6
lost the toss,2022-2023,10,10,0,353,96,35.30,380,92.89,0,3,1,47,8
won toss & batted,2022-2023,3,3,0,46,33,15.33,47,97.87,0,0,0,9,0
won toss & fielded,2022-2023,9,8,0,183,60,22.87,197,92.89,0,2,2,22,6
lost toss & sent in,2022-2023,6,6,0,210,96,35.00,242,86.77,0,2,1,21,7
lost toss & fielded,2022-2023,4,4,0,143,50,35.75,138,103.62,0,1,0,26,1
matches batting first,2022-2023,9,9,0,256,96,28.44,289,88.58,0,2,1,30,7
matches fielding first,2022-2023,13,12,0,326,60,27.16,335,97.31,0,3,2,48,7
1st team innings,2022-2023,21,21,0,582,96,27.71,624,93.26,0,5,3,78,14
1st match innings,2022-2023,9,9,0,256,96,28.44,289,88.58,0,2,1,30,7
2nd match innings,2022-2023,12,12,0,326,60,27.16,335,97.31,0,3,2,48,7
day match,2022-2023,5,5,0,149,60,29.80,145,102.75,0,2,1,23,3
day/night match,2022-2023,17,16,0,433,96,27.06,479,90.39,0,3,2,55,11
won match,2022-2023,12,12,0,387,96,32.25,413,93.70,0,4,0,49,9
lost match,2022-2023,7,7,0,129,40,18.42,137,94.16,0,0,3,20,4
no result,2022-2023,3,2,0,66,57,33.00,74,89.18,0,1,0,9,1
won batting first,2022-2023,5,5,0,193,96,38.60,213,90.61,0,2,0,21,5
won fielding first,2022-2023,7,7,0,194,60,27.71,200,97.00,0,2,0,28,4
lost batting first,2022-2023,3,3,0,54,29,18.00,56,96.42,0,0,1,8,2
lost fielding first,2022-2023,4,4,0,75,40,18.75,81,92.59,0,0,2,12,2
no result batting first,2023-2023,1,1,0,9,9,9.00,20,45.00,0,0,0,1,0
no result fielding first,2022-2022,2,1,0,57,57,57.00,54,105.55,0,1,0,8,1
2 team series,2022-2023,22,21,0,582,96,27.71,624,93.26,0,5,3,78,14
5+ team tournaments,2022-2023,14,13,0,443,96,34.07,467,94.86,0,4,0,53,13
only match in series,2022-2022,1,1,0,50,50,50.00,48,104.16,0,1,0,9,0
1st match in series,2022-2023,7,7,0,182,51,26.00,193,94.30,0,1,0,24,6
2nd match in series,2022-2023,7,6,0,169,96,28.16,201,84.07,0,2,2,15,6
3rd match in series,2022-2023,7,7,0,181,57,25.85,182,99.45,0,1,1,30,2
Chappell-Hadlee,2022-2022,1,1,0,35,35,35.00,38,92.10,0,0,0,5,1
1st position,2022-2023,13,13,0,258,57,19.84,282,91.48,0,1,3,41,4
2nd position,2022-2023,8,8,0,324,96,40.50,342,94.73,0,4,0,37,10
