,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2021-2024,7,7,2,24,13,4.80,53,45.28,0,0,2,4,0
vs BAN Women,2021-2021,3,3,1,4,4,2.00,14,28.57,0,0,1,1,0
vs IRE Women,2024-2024,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
vs PAK Women,2021-2021,1,1,1,3,3*,-,9,33.33,0,0,0,0,0
vs PNG Women,2024-2024,1,1,0,4,4,4.00,10,40.00,0,0,0,1,0
vs THA Women,2023-2023,1,1,0,13,13,13.00,19,68.42,0,0,0,2,0
in Thailand,2023-2023,1,1,0,13,13,13.00,19,68.42,0,0,0,2,0
in Zimbabwe,2021-2024,6,6,2,11,4,2.75,34,32.35,0,0,2,2,0
in Africa,2021-2024,6,6,2,11,4,2.75,34,32.35,0,0,2,2,0
in Asia,2023-2023,1,1,0,13,13,13.00,19,68.42,0,0,0,2,0
home,2021-2024,6,6,2,11,4,2.75,34,32.35,0,0,2,2,0
away,2023-2023,1,1,0,13,13,13.00,19,68.42,0,0,0,2,0
year 2021,,4,4,2,7,4,3.50,23,30.43,0,0,1,1,0
year 2023,,1,1,0,13,13,13.00,19,68.42,0,0,0,2,0
year 2024,,2,2,0,4,4,2.00,11,36.36,0,0,1,1,0
season 2021/22,,4,4,2,7,4,3.50,23,30.43,0,0,1,1,0
season 2023,,1,1,0,13,13,13.00,19,68.42,0,0,0,2,0
season 2023/24,,2,2,0,4,4,2.00,11,36.36,0,0,1,1,0
*M Musonda,2021-2024,7,7,2,24,13,4.80,53,45.28,0,0,2,4,0
is not captain,2021-2024,7,7,2,24,13,4.80,53,45.28,0,0,2,4,0
is not keeper,2021-2024,7,7,2,24,13,4.80,53,45.28,0,0,2,4,0
won the toss,2021-2024,5,5,1,24,13,6.00,47,51.06,0,0,1,4,0
lost the toss,2021-2024,2,2,1,0,0*,0.00,6,0.00,0,0,1,0,0
won toss & batted,2021-2023,3,3,0,17,13,5.66,28,60.71,0,0,1,3,0
won toss & fielded,2021-2024,2,2,1,7,4,7.00,19,36.84,0,0,0,1,0
lost toss & sent in,2021-2024,2,2,1,0,0*,0.00,6,0.00,0,0,1,0,0
matches batting first,2021-2024,5,5,1,17,13,4.25,34,50.00,0,0,2,3,0
matches fielding first,2021-2024,2,2,1,7,4,7.00,19,36.84,0,0,0,1,0
1st team innings,2021-2024,7,7,2,24,13,4.80,53,45.28,0,0,2,4,0
1st match innings,2021-2024,5,5,1,17,13,4.25,34,50.00,0,0,2,3,0
2nd match innings,2021-2024,2,2,1,7,4,7.00,19,36.84,0,0,0,1,0
won match,2024-2024,1,1,0,4,4,4.00,10,40.00,0,0,0,1,0
lost match,2021-2023,5,5,2,20,13,6.66,42,47.61,0,0,1,3,0
tied match,2024-2024,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
won fielding first,2024-2024,1,1,0,4,4,4.00,10,40.00,0,0,0,1,0
lost batting first,2021-2023,4,4,1,17,13,5.66,33,51.51,0,0,1,3,0
lost fielding first,2021-2021,1,1,1,3,3*,-,9,33.33,0,0,0,0,0
tied batting first,2024-2024,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
2 team series,2021-2024,6,6,1,21,13,4.20,44,47.72,0,0,2,4,0
5+ team tournaments,2021-2021,1,1,1,3,3*,-,9,33.33,0,0,0,0,0
1st match in series,2021-2021,1,1,1,0,0*,-,5,0.00,0,0,0,0,0
2nd match in series,2021-2024,3,3,0,8,4,2.66,19,42.10,0,0,1,2,0
3rd match in series,2021-2023,2,2,0,13,13,6.50,20,65.00,0,0,1,2,0
9th position,2024-2024,1,1,0,4,4,4.00,10,40.00,0,0,0,1,0
10th position,2021-2024,2,2,1,3,3*,3.00,10,30.00,0,0,1,0,0
11th position,2021-2023,4,4,1,17,13,5.66,33,51.51,0,0,1,3,0
