,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2020-2023,21,18,5,234,22,18.00,246,95.12,0,0,1,20,6
vs Afghanistan,2021-2021,2,2,1,17,12*,17.00,24,70.83,0,0,0,0,0
vs Bangladesh,2023-2023,1,1,0,1,1,1.00,7,14.28,0,0,0,0,0
vs England,2020-2020,3,3,0,34,22,11.33,49,69.38,0,0,1,6,0
vs Nepal,2023-2023,1,1,1,16,16*,-,25,64.00,0,0,0,0,0
vs New Zealand,2022-2022,1,1,0,22,22,22.00,16,137.50,0,0,0,2,1
vs Oman,2023-2023,1,1,0,20,20,20.00,14,142.85,0,0,0,1,1
vs Scotland,2023-2023,1,1,0,19,19,19.00,14,135.71,0,0,0,0,1
vs Sri Lanka,2023-2023,1,1,0,19,19,19.00,8,237.50,0,0,0,2,1
vs U.A.E.,2021-2023,3,2,2,36,21*,-,23,156.52,0,0,0,4,0
vs U.S.A.,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
vs West Indies,2020-2022,5,5,1,50,19,12.50,66,75.75,0,0,0,5,2
vs Zimbabwe,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
in Bangladesh,2023-2023,1,1,0,1,1,1.00,7,14.28,0,0,0,0,0
in England,2020-2020,3,3,0,34,22,11.33,49,69.38,0,0,1,6,0
in Ireland,2022-2022,1,1,0,22,22,22.00,16,137.50,0,0,0,2,1
in U.A.E.,2021-2021,4,4,3,53,21*,53.00,47,112.76,0,0,0,4,0
in West Indies,2020-2022,5,5,1,50,19,12.50,66,75.75,0,0,0,5,2
in Zimbabwe,2023-2023,7,4,1,74,20,24.66,61,121.31,0,0,0,3,3
in Africa,2023-2023,7,4,1,74,20,24.66,61,121.31,0,0,0,3,3
in Americas,2020-2022,5,5,1,50,19,12.50,66,75.75,0,0,0,5,2
in Asia,2021-2023,5,5,3,54,21*,27.00,54,100.00,0,0,0,4,0
in Europe,2020-2022,4,4,0,56,22,14.00,65,86.15,0,0,1,8,1
home,2022-2022,1,1,0,22,22,22.00,16,137.50,0,0,0,2,1
away,2020-2023,12,11,3,121,22,15.12,145,83.44,0,0,1,15,2
