,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2021-2024,15,11,5,110,45*,18.33,173,63.58,0,0,1,7,0
vs AUS Women,2023-2023,2,2,0,5,3,2.50,15,33.33,0,0,0,0,0
vs NL Women,2022-2022,3,1,1,1,1*,-,1,100.00,0,0,0,0,0
vs SCO Women,2023-2023,3,2,0,18,10,9.00,23,78.26,0,0,0,1,0
vs SA Women,2022-2022,3,3,3,69,45*,-,85,81.17,0,0,0,6,0
vs WI Women,2021-2021,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0
vs ZIM Women,2021-2024,3,2,1,17,16,17.00,47,36.17,0,0,0,0,0
in Ireland,2022-2023,5,5,3,74,45*,37.00,100,74.00,0,0,0,6,0
in Netherlands,2022-2022,3,1,1,1,1*,-,1,100.00,0,0,0,0,0
in Spain,2023-2023,3,2,0,18,10,9.00,23,78.26,0,0,0,1,0
in Zimbabwe,2021-2024,4,3,1,17,16,8.50,49,34.69,0,0,1,0,0
in Africa,2021-2024,4,3,1,17,16,8.50,49,34.69,0,0,1,0,0
in Europe,2022-2023,11,8,4,93,45*,23.25,124,75.00,0,0,0,7,0
home,2022-2023,5,5,3,74,45*,37.00,100,74.00,0,0,0,6,0
away,2021-2024,6,3,2,18,16,18.00,48,37.50,0,0,0,0,0
neutral,2021-2023,4,3,0,18,10,6.00,25,72.00,0,0,1,1,0
year 2021,,3,2,1,1,1*,1.00,3,33.33,0,0,1,0,0
year 2022,,6,4,4,70,45*,-,86,81.39,0,0,0,6,0
year 2023,,5,4,0,23,10,5.75,38,60.52,0,0,0,1,0
year 2024,,1,1,0,16,16,16.00,46,34.78,0,0,0,0,0
season 2021/22,,3,2,1,1,1*,1.00,3,33.33,0,0,1,0,0
season 2022,,6,4,4,70,45*,-,86,81.39,0,0,0,6,0
season 2023,,2,2,0,5,3,2.50,15,33.33,0,0,0,0,0
season 2023/24,,4,3,0,34,16,11.33,69,49.27,0,0,0,1,0
*L Delany,2021-2024,12,8,2,41,16,6.83,88,46.59,0,0,1,1,0
*GH Lewis,2022-2022,3,3,3,69,45*,-,85,81.17,0,0,0,6,0
is not captain,2021-2024,15,11,5,110,45*,18.33,173,63.58,0,0,1,7,0
is not keeper,2021-2024,15,11,5,110,45*,18.33,173,63.58,0,0,1,7,0
won the toss,2022-2023,6,4,1,40,19*,13.33,50,80.00,0,0,0,4,0
lost the toss,2021-2024,9,7,4,70,45*,23.33,123,56.91,0,0,1,3,0
won toss & batted,2022-2023,3,2,1,29,19*,29.00,27,107.40,0,0,0,4,0
won toss & fielded,2022-2023,3,2,0,11,8,5.50,23,47.82,0,0,0,0,0
lost toss & sent in,2021-2024,6,6,3,65,45*,21.66,112,58.03,0,0,1,2,0
lost toss & fielded,2021-2022,3,1,1,5,5*,-,11,45.45,0,0,0,1,0
matches batting first,2021-2024,9,8,4,94,45*,23.50,139,67.62,0,0,1,6,0
matches fielding first,2021-2023,6,3,1,16,8,8.00,34,47.05,0,0,0,1,0
1st team innings,2021-2024,15,11,5,110,45*,18.33,173,63.58,0,0,1,7,0
1st match innings,2021-2024,9,8,4,94,45*,23.50,139,67.62,0,0,1,6,0
2nd match innings,2021-2023,6,3,1,16,8,8.00,34,47.05,0,0,0,1,0
won match,2021-2024,7,3,1,27,16,13.50,54,50.00,0,0,0,1,0
lost match,2021-2023,8,8,4,83,45*,20.75,119,69.74,0,0,1,6,0
won batting first,2022-2024,4,3,1,27,16,13.50,54,50.00,0,0,0,1,0
won fielding first,2021-2022,3,-,-,-,-,-,-,-,-,-,-,-,-
lost batting first,2021-2023,5,5,3,67,45*,33.50,85,78.82,0,0,1,5,0
lost fielding first,2022-2023,3,3,1,16,8,8.00,34,47.05,0,0,0,1,0
2 team series,2021-2024,14,10,5,110,45*,22.00,171,64.32,0,0,0,7,0
5+ team tournaments,2021-2023,6,6,3,74,45*,24.66,102,72.54,0,0,1,6,0
1st match in series,2021-2023,4,3,2,28,19*,28.00,37,75.67,0,0,0,3,0
2nd match in series,2022-2023,4,3,2,49,45*,49.00,62,79.03,0,0,0,2,0
3rd match in series,2021-2024,6,4,1,33,16,11.00,72,45.83,0,0,0,2,0
ICC Women's Champ,2022-2023,5,5,3,74,45*,37.00,100,74.00,0,0,0,6,0
8th position,2022-2024,3,3,1,63,45*,31.50,108,58.33,0,0,0,2,0
9th position,2021-2023,7,7,4,47,19*,15.66,63,74.60,0,0,0,5,0
10th position,2021-2021,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0
