,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Avg,Econ,SR,5w,10w
overview,2023-2023,3,6,61.0,7,245,10,3/37,6/78,24.50,4.01,36.6,0,0
vs India,2023-2023,1,2,21.0,1,102,1,1/74,1/102,102.00,4.85,126.0,0,0
vs West Indies,2023-2023,2,4,40.0,6,143,9,3/37,6/78,15.88,3.57,26.6,0,0
in South Africa,2023-2023,3,6,61.0,7,245,10,3/37,6/78,24.50,4.01,36.6,0,0
in Africa,2023-2023,3,6,61.0,7,245,10,3/37,6/78,24.50,4.01,36.6,0,0
home,2023-2023,3,6,61.0,7,245,10,3/37,6/78,24.50,4.01,36.6,0,0
year 2023,,3,6,61.0,7,245,10,3/37,6/78,24.50,4.01,36.6,0,0
season 2022/23,,2,4,40.0,6,143,9,3/37,6/78,15.88,3.57,26.6,0,0
season 2023/24,,1,2,21.0,1,102,1,1/74,1/102,102.00,4.85,126.0,0,0
*T Bavuma,2023-2023,3,6,61.0,7,245,10,3/37,6/78,24.50,4.01,36.6,0,0
is not captain,2023-2023,3,6,61.0,7,245,10,3/37,6/78,24.50,4.01,36.6,0,0
is not keeper,2023-2023,3,6,61.0,7,245,10,3/37,6/78,24.50,4.01,36.6,0,0
won the toss,2023-2023,3,6,61.0,7,245,10,3/37,6/78,24.50,4.01,36.6,0,0
won toss & batted,2023-2023,2,4,40.0,6,143,9,3/37,6/78,15.88,3.57,26.6,0,0
won toss & fielded,2023-2023,1,2,21.0,1,102,1,1/74,1/102,102.00,4.85,126.0,0,0
matches batting first,2023-2023,2,4,40.0,6,143,9,3/37,6/78,15.88,3.57,26.6,0,0
matches fielding first,2023-2023,1,2,21.0,1,102,1,1/74,1/102,102.00,4.85,126.0,0,0
1st team innings,2023-2023,3,3,42.0,5,160,6,3/41,6/78,26.66,3.80,42.0,0,0
2nd team innings,2023-2023,3,3,19.0,2,85,4,3/37,6/78,21.25,4.47,28.5,0,0
1st match innings,2023-2023,1,1,16.0,1,74,1,1/74,1/102,74.00,4.62,96.0,0,0
2nd match innings,2023-2023,2,2,26.0,4,86,5,3/41,6/78,17.20,3.30,31.2,0,0
3rd match innings,2023-2023,1,1,5.0,0,28,0,-,1/102,-,5.60,-,0,0
4th match innings,2023-2023,2,2,14.0,2,57,4,3/37,6/78,14.25,4.07,21.0,0,0
won match,2023-2023,3,6,61.0,7,245,10,3/37,6/78,24.50,4.01,36.6,0,0
won batting first,2023-2023,2,4,40.0,6,143,9,3/37,6/78,15.88,3.57,26.6,0,0
won fielding first,2023-2023,1,2,21.0,1,102,1,1/74,1/102,102.00,4.85,126.0,0,0
2 team series,2023-2023,3,6,61.0,7,245,10,3/37,6/78,24.50,4.01,36.6,0,0
5+ team tournaments,2023-2023,3,6,61.0,7,245,10,3/37,6/78,24.50,4.01,36.6,0,0
1st match in series,2023-2023,2,4,39.0,2,167,4,2/45,3/65,41.75,4.28,58.5,0,0
2nd match in series,2023-2023,1,2,22.0,5,78,6,3/37,6/78,13.00,3.54,22.0,0,0
ICC World Test Champ,2023-2023,3,6,61.0,7,245,10,3/37,6/78,24.50,4.01,36.6,0,0
3rd position,2023-2023,1,1,14.0,4,41,3,3/41,6/78,13.66,2.92,28.0,0,0
4th position,2023-2023,2,4,39.0,2,167,4,2/45,3/65,41.75,4.28,58.5,0,0
5th position,2023-2023,1,1,8.0,1,37,3,3/37,6/78,12.33,4.62,16.0,0,0
