,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2011-2024,82,71,9,1231,82*,19.85,1644,74.87,0,5,7,103,30
vs Australia,2012-2019,2,2,0,53,31,26.50,50,106.00,0,0,0,5,4
vs Bangladesh,2018-2023,6,5,2,121,47,40.33,149,81.20,0,0,0,9,2
vs Canada,2011-2011,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0
vs England,2019-2019,1,1,0,37,37,37.00,28,132.14,0,0,0,4,1
vs India,2018-2019,2,2,0,42,27,21.00,88,47.72,0,0,0,3,0
vs Ireland,2012-2024,23,20,1,351,64,18.47,575,61.04,0,2,1,26,8
vs Netherlands,2012-2022,4,3,0,19,16,6.33,26,73.07,0,0,0,1,0
vs New Zealand,2019-2019,1,1,0,4,4,4.00,4,100.00,0,0,0,1,0
vs Pakistan,2012-2023,4,4,1,32,15,10.66,45,71.11,0,0,1,5,0
vs Scotland,2013-2019,7,4,1,32,21*,10.66,37,86.48,0,0,2,4,0
vs South Africa,2019-2019,1,1,0,5,5,5.00,11,45.45,0,0,0,0,0
vs Sri Lanka,2018-2024,9,9,0,121,23,13.44,138,87.68,0,0,1,16,1
vs U.A.E.,2014-2018,3,3,1,102,74*,51.00,117,87.17,0,1,0,5,4
vs West Indies,2017-2019,7,6,1,138,51,27.60,165,83.63,0,1,0,13,4
vs Zimbabwe,2014-2018,11,9,2,174,82*,24.85,209,83.25,0,1,1,11,6
in Bangladesh,2022-2022,2,1,0,17,17,17.00,21,80.95,0,0,0,0,1
in Canada,2011-2011,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0
in England,2019-2019,9,9,0,194,47,21.55,243,79.83,0,0,0,20,2
in India,2017-2019,9,8,0,127,51,15.87,186,68.27,0,1,1,13,3
in Ireland,2012-2019,7,6,0,115,64,19.16,174,66.09,0,1,0,9,2
in New Zealand,2015-2015,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
in Pakistan,2023-2023,2,2,0,37,22,18.50,29,127.58,0,0,0,5,1
in Qatar,2022-2022,2,2,0,18,16,9.00,21,85.71,0,0,0,1,0
in Scotland,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
in Sri Lanka,2022-2024,7,7,0,72,22,10.28,88,81.81,0,0,2,10,1
in U.A.E.,2012-2024,26,20,6,313,82*,22.35,390,80.25,0,1,2,21,14
in West Indies,2017-2017,3,2,1,92,51,92.00,101,91.08,0,1,0,5,4
in Zimbabwe,2014-2018,12,12,2,246,74*,24.60,388,63.40,0,1,0,19,2
in Africa,2014-2018,12,12,2,246,74*,24.60,388,63.40,0,1,0,19,2
in Americas,2011-2017,4,3,1,92,51,46.00,103,89.32,0,1,1,5,4
in Asia,2012-2024,48,40,6,584,82*,17.17,735,79.45,0,2,5,50,20
in Europe,2012-2019,17,15,0,309,64,20.60,417,74.10,0,1,0,29,4
in Oceania,2015-2015,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
away,2011-2024,30,26,2,453,64,18.87,571,79.33,0,2,2,37,11
neutral,2012-2024,52,45,7,778,82*,20.47,1073,72.50,0,3,5,66,19
year 2011,,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0
year 2012,,5,4,0,49,22,12.25,68,72.05,0,0,0,2,5
year 2013,,2,1,1,21,21*,-,15,140.00,0,0,0,4,0
year 2014,,4,4,1,82,31,27.33,79,103.79,0,0,0,6,2
year 2015,,3,2,0,0,0,0.00,4,0.00,0,0,2,0,0
year 2016,,2,2,1,84,82*,84.00,78,107.69,0,1,0,3,6
