,Mat,Inns,Overs,Mdns,Runs,Wkts,Econ,4w,5w
overview,1,1,2.0,0,20,0,10.00,0,0
vs India Women,1,1,2.0,0,20,0,10.00,0,0
in Bangladesh,1,1,2.0,0,20,0,10.00,0,0
in Asia,1,1,2.0,0,20,0,10.00,0,0
home,1,1,2.0,0,20,0,10.00,0,0
year 2024,1,1,2.0,0,20,0,10.00,0,0
season 2024,1,1,2.0,0,20,0,10.00,0,0
*Nigar Sultana,1,1,2.0,0,20,0,10.00,0,0
is not captain,1,1,2.0,0,20,0,10.00,0,0
is not keeper,1,1,2.0,0,20,0,10.00,0,0
won the toss,1,1,2.0,0,20,0,10.00,0,0
won toss & fielded,1,1,2.0,0,20,0,10.00,0,0
matches fielding first,1,1,2.0,0,20,0,10.00,0,0
1st team innings,1,1,2.0,0,20,0,10.00,0,0
1st match innings,1,1,2.0,0,20,0,10.00,0,0
lost match,1,1,2.0,0,20,0,10.00,0,0
lost fielding first,1,1,2.0,0,20,0,10.00,0,0
2 team series,1,1,2.0,0,20,0,10.00,0,0
4th match in series,1,1,2.0,0,20,0,10.00,0,0
3rd position,1,1,2.0,0,20,0,10.00,0,0
