,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
overview,1,1,10.0,0,53,1,1/53,53.00,5.30,60.0,0,0
vs IRE Women,1,1,10.0,0,53,1,1/53,53.00,5.30,60.0,0,0
in Ireland,1,1,10.0,0,53,1,1/53,53.00,5.30,60.0,0,0
in Europe,1,1,10.0,0,53,1,1/53,53.00,5.30,60.0,0,0
away,1,1,10.0,0,53,1,1/53,53.00,5.30,60.0,0,0
year 2024,1,1,10.0,0,53,1,1/53,53.00,5.30,60.0,0,0
season 2024,1,1,10.0,0,53,1,1/53,53.00,5.30,60.0,0,0
*KL Cross,1,1,10.0,0,53,1,1/53,53.00,5.30,60.0,0,0
is not captain,1,1,10.0,0,53,1,1/53,53.00,5.30,60.0,0,0
is not keeper,1,1,10.0,0,53,1,1/53,53.00,5.30,60.0,0,0
lost the toss,1,1,10.0,0,53,1,1/53,53.00,5.30,60.0,0,0
lost toss & fielded,1,1,10.0,0,53,1,1/53,53.00,5.30,60.0,0,0
matches fielding first,1,1,10.0,0,53,1,1/53,53.00,5.30,60.0,0,0
1st team innings,1,1,10.0,0,53,1,1/53,53.00,5.30,60.0,0,0
1st match innings,1,1,10.0,0,53,1,1/53,53.00,5.30,60.0,0,0
won match,1,1,10.0,0,53,1,1/53,53.00,5.30,60.0,0,0
won fielding first,1,1,10.0,0,53,1,1/53,53.00,5.30,60.0,0,0
2 team series,1,1,10.0,0,53,1,1/53,53.00,5.30,60.0,0,0
5+ team tournaments,1,1,10.0,0,53,1,1/53,53.00,5.30,60.0,0,0
1st match in series,1,1,10.0,0,53,1,1/53,53.00,5.30,60.0,0,0
ICC Women's Champ,1,1,10.0,0,53,1,1/53,53.00,5.30,60.0,0,0
3rd position,1,1,10.0,0,53,1,1/53,53.00,5.30,60.0,0,0
