,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Avg,Econ,SR,5w,10w
overview,2024-2024,3,6,96.4,16,350,14,5/43,6/157,25.00,3.62,41.4,1,0
vs Pakistan,2024-2024,2,4,57.4,9,193,8,5/43,5/103,24.12,3.34,43.2,1,0
vs Sri Lanka,2024-2024,1,2,39.0,7,157,6,4/65,6/157,26.16,4.02,39.0,0,0
in Bangladesh,2024-2024,1,2,39.0,7,157,6,4/65,6/157,26.16,4.02,39.0,0,0
in Pakistan,2024-2024,2,4,57.4,9,193,8,5/43,5/103,24.12,3.34,43.2,1,0
in Asia,2024-2024,3,6,96.4,16,350,14,5/43,6/157,25.00,3.62,41.4,1,0
home,2024-2024,1,2,39.0,7,157,6,4/65,6/157,26.16,4.02,39.0,0,0
away,2024-2024,2,4,57.4,9,193,8,5/43,5/103,24.12,3.34,43.2,1,0
year 2024,,3,6,96.4,16,350,14,5/43,6/157,25.00,3.62,41.4,1,0
season 2023/24,,1,2,39.0,7,157,6,4/65,6/157,26.16,4.02,39.0,0,0
season 2024,,2,4,57.4,9,193,8,5/43,5/103,24.12,3.34,43.2,1,0
*Najmul Hossain Shanto,2024-2024,3,6,96.4,16,350,14,5/43,6/157,25.00,3.62,41.4,1,0
is not captain,2024-2024,3,6,96.4,16,350,14,5/43,6/157,25.00,3.62,41.4,1,0
is not keeper,2024-2024,3,6,96.4,16,350,14,5/43,6/157,25.00,3.62,41.4,1,0
won the toss,2024-2024,2,4,57.4,9,193,8,5/43,5/103,24.12,3.34,43.2,1,0
lost the toss,2024-2024,1,2,39.0,7,157,6,4/65,6/157,26.16,4.02,39.0,0,0
won toss & fielded,2024-2024,2,4,57.4,9,193,8,5/43,5/103,24.12,3.34,43.2,1,0
lost toss & fielded,2024-2024,1,2,39.0,7,157,6,4/65,6/157,26.16,4.02,39.0,0,0
matches fielding first,2024-2024,3,6,96.4,16,350,14,5/43,6/157,25.00,3.62,41.4,1,0
1st team innings,2024-2024,3,3,61.0,10,222,4,2/70,6/157,55.50,3.63,91.5,0,0
2nd team innings,2024-2024,3,3,35.4,6,128,10,5/43,6/157,12.80,3.58,21.4,1,0
1st match innings,2024-2024,3,3,61.0,10,222,4,2/70,6/157,55.50,3.63,91.5,0,0
3rd match innings,2024-2024,3,3,35.4,6,128,10,5/43,6/157,12.80,3.58,21.4,1,0
won match,2024-2024,2,4,57.4,9,193,8,5/43,5/103,24.12,3.34,43.2,1,0
lost match,2024-2024,1,2,39.0,7,157,6,4/65,6/157,26.16,4.02,39.0,0,0
won fielding first,2024-2024,2,4,57.4,9,193,8,5/43,5/103,24.12,3.34,43.2,1,0
lost fielding first,2024-2024,1,2,39.0,7,157,6,4/65,6/157,26.16,4.02,39.0,0,0
2 team series,2024-2024,3,6,96.4,16,350,14,5/43,6/157,25.00,3.62,41.4,1,0
5+ team tournaments,2024-2024,3,6,96.4,16,350,14,5/43,6/157,25.00,3.62,41.4,1,0
1st match in series,2024-2024,1,2,33.0,7,90,3,2/70,3/90,30.00,2.72,66.0,0,0
2nd match in series,2024-2024,2,4,63.4,9,260,11,5/43,6/157,23.63,4.08,34.7,1,0
ICC World Test Champ,2024-2024,3,6,96.4,16,350,14,5/43,6/157,25.00,3.62,41.4,1,0
2nd position,2024-2024,3,6,96.4,16,350,14,5/43,6/157,25.00,3.62,41.4,1,0
