,Mat,Inns,Overs,Mdns,Runs,Wkts,Econ,4w,5w
overview,2,1,2.0,0,16,0,8.00,0,0
vs India,1,1,2.0,0,16,0,8.00,0,0
vs Pakistan,1,-,-,-,-,-,-,-,-
in China,2,1,2.0,0,16,0,8.00,0,0
in Asia,2,1,2.0,0,16,0,8.00,0,0
neutral,2,1,2.0,0,16,0,8.00,0,0
year 2023,2,1,2.0,0,16,0,8.00,0,0
season 2023,2,1,2.0,0,16,0,8.00,0,0
*Saif Hassan,2,1,2.0,0,16,0,8.00,0,0
is not captain,2,1,2.0,0,16,0,8.00,0,0
is not keeper,2,1,2.0,0,16,0,8.00,0,0
won the toss,1,-,-,-,-,-,-,-,-
lost the toss,1,1,2.0,0,16,0,8.00,0,0
won toss & fielded,1,-,-,-,-,-,-,-,-
lost toss & sent in,1,1,2.0,0,16,0,8.00,0,0
matches batting first,1,1,2.0,0,16,0,8.00,0,0
matches fielding first,1,-,-,-,-,-,-,-,-
1st team innings,2,1,2.0,0,16,0,8.00,0,0
1st match innings,1,-,-,-,-,-,-,-,-
2nd match innings,1,1,2.0,0,16,0,8.00,0,0
won match,1,-,-,-,-,-,-,-,-
lost match,1,1,2.0,0,16,0,8.00,0,0
won fielding first,1,-,-,-,-,-,-,-,-
lost batting first,1,1,2.0,0,16,0,8.00,0,0
5+ team tournaments,2,1,2.0,0,16,0,8.00,0,0
tournament semi-finals,1,1,2.0,0,16,0,8.00,0,0
preliminary matches,1,-,-,-,-,-,-,-,-
6th position,1,1,2.0,0,16,0,8.00,0,0
