,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2018-2024,8,16,5,485,200*,44.09,1066,45.49,1,2,0,59,1
vs Bangladesh,2019-2023,2,4,1,48,14,16.00,99,48.48,0,0,0,7,0
vs India,2018-2018,1,2,1,47,36*,47.00,112,41.96,0,0,0,8,0
vs Ireland,2019-2024,2,4,1,140,61,46.66,306,45.75,0,2,0,16,0
vs Sri Lanka,2024-2024,1,2,0,35,18,17.50,82,42.68,0,0,0,4,0
vs Zimbabwe,2021-2021,2,4,2,215,200*,107.50,467,46.03,1,0,0,24,1
in Bangladesh,2019-2023,2,4,1,48,14,16.00,99,48.48,0,0,0,7,0
in India,2018-2019,2,4,2,112,61,56.00,267,41.94,0,1,0,15,0
in Sri Lanka,2024-2024,1,2,0,35,18,17.50,82,42.68,0,0,0,4,0
in U.A.E.,2021-2024,3,6,2,290,200*,72.50,618,46.92,1,1,0,33,1
in Asia,2018-2024,8,16,5,485,200*,44.09,1066,45.49,1,2,0,59,1
away,2018-2024,4,8,2,130,36*,21.66,293,44.36,0,0,0,19,0
neutral,2019-2024,4,8,3,355,200*,71.00,773,45.92,1,2,0,40,1
year 2018,,1,2,1,47,36*,47.00,112,41.96,0,0,0,8,0
year 2019,,2,4,1,91,61,30.33,224,40.62,0,1,0,11,0
year 2021,,2,4,2,215,200*,107.50,467,46.03,1,0,0,24,1
year 2023,,1,2,1,22,13*,22.00,30,73.33,0,0,0,3,0
year 2024,,2,4,0,110,55,27.50,233,47.21,0,1,0,13,0
season 2018,,1,2,1,47,36*,47.00,112,41.96,0,0,0,8,0
season 2018/19,,1,2,1,65,61,65.00,155,41.93,0,1,0,7,0
season 2019,,1,2,0,26,14,13.00,69,37.68,0,0,0,4,0
season 2020/21,,2,4,2,215,200*,107.50,467,46.03,1,0,0,24,1
season 2023,,1,2,1,22,13*,22.00,30,73.33,0,0,0,3,0
season 2023/24,,2,4,0,110,55,27.50,233,47.21,0,1,0,13,0
*Asghar Afghan,2018-2021,4,8,4,327,200*,81.75,734,44.55,1,1,0,39,1
*Hashmatullah Shahidi,2023-2024,3,6,1,132,55,26.40,263,50.19,0,1,0,16,0
*Rashid Khan,2019-2019,1,2,0,26,14,13.00,69,37.68,0,0,0,4,0
is captain,2023-2024,3,6,1,132,55,26.40,263,50.19,0,1,0,16,0
is not captain,2018-2021,5,10,4,353,200*,58.83,803,43.96,1,1,0,43,1
is not keeper,2018-2024,8,16,5,485,200*,44.09,1066,45.49,1,2,0,59,1
won the toss,2019-2024,5,10,3,338,200*,48.28,717,47.14,1,1,0,40,1
lost the toss,2018-2024,3,6,2,147,61,36.75,349,42.12,0,1,0,19,0
won toss & batted,2019-2024,4,8,2,316,200*,52.66,687,45.99,1,1,0,37,1
won toss & fielded,2023-2023,1,2,1,22,13*,22.00,30,73.33,0,0,0,3,0
lost toss & sent in,2024-2024,1,2,0,35,18,17.50,82,42.68,0,0,0,4,0
lost toss & fielded,2018-2019,2,4,2,112,61,56.00,267,41.94,0,1,0,15,0
matches batting first,2019-2024,5,10,2,351,200*,43.87,769,45.64,1,1,0,41,1
matches fielding first,2018-2023,3,6,3,134,61,44.66,297,45.11,0,1,0,18,0
1st team innings,2018-2024,8,8,1,337,200*,48.14,772,43.65,1,1,0,38,1
2nd team innings,2018-2024,8,8,4,148,55,37.00,294,50.34,0,1,0,21,0
1st match innings,2019-2024,5,5,1,256,200*,64.00,578,44.29,1,0,0,29,1
2nd match innings,2018-2023,3,3,0,81,61,27.00,194,41.75,0,1,0,9,0
3rd match innings,2018-2024,5,5,1,125,55,31.25,276,45.28,0,1,0,17,0
4th match innings,2019-2023,3,3,3,23,13*,-,18,127.77,0,0,0,4,0
won match,2019-2021,3,6,3,297,200*,99.00,670,44.32,1,1,0,33,1
lost match,2018-2024,5,10,2,188,55,23.50,396,47.47,0,1,0,26,0
won batting first,2019-2021,2,4,2,232,200*,116.00,515,45.04,1,0,0,26,1
won fielding first,2019-2019,1,2,1,65,61,65.00,155,41.93,0,1,0,7,0
lost batting first,2021-2024,3,6,0,119,55,19.83,254,46.85,0,1,0,15,0
lost fielding first,2018-2023,2,4,2,69,36*,34.50,142,48.59,0,0,0,11,0
2 team series,2018-2024,8,16,5,485,200*,44.09,1066,45.49,1,2,0,59,1
only match in series,2018-2024,6,12,3,270,61,30.00,599,45.07,0,2,0,35,0
1st match in series,2021-2021,1,2,0,9,5,4.50,21,42.85,0,0,0,2,0
2nd match in series,2021-2021,1,2,2,206,200*,-,446,46.18,1,0,0,22,1
4th position,2019-2024,6,10,2,419,200*,52.37,929,45.10,1,2,0,47,1
5th position,2018-2021,3,5,2,60,36*,20.00,134,44.77,0,0,0,11,0
6th position,2021-2021,1,1,1,6,6*,-,3,200.00,0,0,0,1,0
