,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2018-2019,16,16,0,361,67,22.56,409,88.26,0,2,1,38,17
vs Australia,2019-2019,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0
vs India,2019-2019,1,1,0,10,10,10.00,24,41.66,0,0,0,1,0
vs Ireland,2018-2019,7,7,0,169,67,24.14,185,91.35,0,1,0,15,10
vs New Zealand,2019-2019,1,1,0,34,34,34.00,28,121.42,0,0,0,5,1
vs Scotland,2019-2019,1,1,0,14,14,14.00,12,116.66,0,0,0,2,1
vs South Africa,2019-2019,1,1,0,22,22,22.00,23,95.65,0,0,0,3,0
vs Sri Lanka,2019-2019,1,1,0,30,30,30.00,25,120.00,0,0,0,3,1
vs West Indies,2019-2019,3,3,0,82,50,27.33,110,74.54,0,1,0,9,4
in England,2019-2019,5,5,0,96,34,19.20,102,94.11,0,0,1,12,2
in India,2019-2019,7,7,0,222,67,31.71,244,90.98,0,2,0,21,13
in Ireland,2018-2019,3,3,0,29,14,9.66,51,56.86,0,0,0,3,1
in Scotland,2019-2019,1,1,0,14,14,14.00,12,116.66,0,0,0,2,1
in Asia,2019-2019,7,7,0,222,67,31.71,244,90.98,0,2,0,21,13
in Europe,2018-2019,9,9,0,139,34,15.44,165,84.24,0,0,1,17,4
away,2018-2019,4,4,0,43,14,10.75,63,68.25,0,0,0,5,2
neutral,2019-2019,12,12,0,318,67,26.50,346,91.90,0,2,1,33,15
year 2018,,2,2,0,15,14,7.50,11,136.36,0,0,0,1,1
year 2019,,14,14,0,346,67,24.71,398,86.93,0,2,1,37,16
season 2018,,2,2,0,15,14,7.50,11,136.36,0,0,0,1,1
season 2018/19,,4,4,0,140,67,35.00,134,104.47,0,1,0,12,9
season 2019,,7,7,0,124,34,17.71,154,80.51,0,0,1,16,3
season 2019/20,,3,3,0,82,50,27.33,110,74.54,0,1,0,9,4
*Asghar Afghan,2018-2019,6,6,0,155,67,25.83,145,106.89,0,1,0,13,10
*Gulbadin Naib,2019-2019,7,7,0,124,34,17.71,154,80.51,0,0,1,16,3
*Rashid Khan,2019-2019,3,3,0,82,50,27.33,110,74.54,0,1,0,9,4
is not captain,2018-2019,16,16,0,361,67,22.56,409,88.26,0,2,1,38,17
is not keeper,2018-2019,16,16,0,361,67,22.56,409,88.26,0,2,1,38,17
won the toss,2018-2019,7,7,0,169,67,24.14,175,96.57,0,1,1,14,10
lost the toss,2018-2019,9,9,0,192,50,21.33,234,82.05,0,1,0,24,7
won toss & batted,2018-2019,4,4,0,102,67,25.50,80,127.50,0,1,1,8,7
won toss & fielded,2019-2019,3,3,0,67,30,22.33,95,70.52,0,0,0,6,3
lost toss & sent in,2018-2019,6,6,0,143,50,23.83,156,91.66,0,1,0,18,5
lost toss & fielded,2019-2019,3,3,0,49,25,16.33,78,62.82,0,0,0,6,2
matches batting first,2018-2019,10,10,0,245,67,24.50,236,103.81,0,2,1,26,12
matches fielding first,2019-2019,6,6,0,116,30,19.33,173,67.05,0,0,0,12,5
1st team innings,2018-2019,16,16,0,361,67,22.56,409,88.26,0,2,1,38,17
1st match innings,2018-2019,10,10,0,245,67,24.50,236,103.81,0,2,1,26,12
2nd match innings,2019-2019,6,6,0,116,30,19.33,173,67.05,0,0,0,12,5
day match,2018-2019,6,6,0,83,30,13.83,112,74.10,0,0,0,9,3
day/night match,2019-2019,10,10,0,278,67,27.80,297,93.60,0,2,1,29,14
won match,2018-2019,4,4,0,67,25,16.75,79,84.81,0,0,0,7,4
lost match,2018-2019,11,11,0,227,50,20.63,287,79.09,0,1,1,26,8
no result,2019-2019,1,1,0,67,67,67.00,43,155.81,0,1,0,5,5
won batting first,2018-2019,2,2,0,28,14,14.00,25,112.00,0,0,0,2,2
won fielding first,2019-2019,2,2,0,39,25,19.50,54,72.22,0,0,0,5,2
lost batting first,2018-2019,7,7,0,150,50,21.42,168,89.28,0,1,1,19,5
lost fielding first,2019-2019,4,4,0,77,30,19.25,119,64.70,0,0,0,7,3
no result batting first,2019-2019,1,1,0,67,67,67.00,43,155.81,0,1,0,5,5
2 team series,2018-2019,11,11,0,265,67,24.09,307,86.31,0,2,0,26,15
5+ team tournaments,2019-2019,5,5,0,96,34,19.20,102,94.11,0,0,1,12,2
1st match in series,2018-2019,4,4,0,62,25,15.50,112,55.35,0,0,0,7,2
2nd match in series,2018-2019,4,4,0,105,67,26.25,87,120.68,0,1,0,8,8
3rd match in series,2019-2019,2,2,0,84,50,42.00,92,91.30,0,1,0,10,4
4th match in series,2019-2019,1,1,0,14,14,14.00,16,87.50,0,0,0,1,1
World Cup,2019-2019,5,5,0,96,34,19.20,102,94.11,0,0,1,12,2
1st position,2018-2019,9,9,0,243,67,27.00,253,96.04,0,2,0,25,12
2nd position,2018-2019,7,7,0,118,34,16.85,156,75.64,0,0,1,13,5
