,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2,2,0,63,44,31.50,79,79.74,0,0,0,9,0
vs IRE Women,2,2,0,63,44,31.50,79,79.74,0,0,0,9,0
in Ireland,2,2,0,63,44,31.50,79,79.74,0,0,0,9,0
in Europe,2,2,0,63,44,31.50,79,79.74,0,0,0,9,0
away,2,2,0,63,44,31.50,79,79.74,0,0,0,9,0
year 2024,2,2,0,63,44,31.50,79,79.74,0,0,0,9,0
season 2024,2,2,0,63,44,31.50,79,79.74,0,0,0,9,0
*KL Cross,2,2,0,63,44,31.50,79,79.74,0,0,0,9,0
is not captain,2,2,0,63,44,31.50,79,79.74,0,0,0,9,0
is not keeper,2,2,0,63,44,31.50,79,79.74,0,0,0,9,0
won the toss,1,1,0,19,19,19.00,35,54.28,0,0,0,3,0
lost the toss,1,1,0,44,44,44.00,44,100.00,0,0,0,6,0
won toss & batted,1,1,0,19,19,19.00,35,54.28,0,0,0,3,0
lost toss & fielded,1,1,0,44,44,44.00,44,100.00,0,0,0,6,0
matches batting first,1,1,0,19,19,19.00,35,54.28,0,0,0,3,0
matches fielding first,1,1,0,44,44,44.00,44,100.00,0,0,0,6,0
1st team innings,2,2,0,63,44,31.50,79,79.74,0,0,0,9,0
1st match innings,1,1,0,19,19,19.00,35,54.28,0,0,0,3,0
2nd match innings,1,1,0,44,44,44.00,44,100.00,0,0,0,6,0
won match,2,2,0,63,44,31.50,79,79.74,0,0,0,9,0
won batting first,1,1,0,19,19,19.00,35,54.28,0,0,0,3,0
won fielding first,1,1,0,44,44,44.00,44,100.00,0,0,0,6,0
2 team series,2,2,0,63,44,31.50,79,79.74,0,0,0,9,0
5+ team tournaments,2,2,0,63,44,31.50,79,79.74,0,0,0,9,0
1st match in series,1,1,0,44,44,44.00,44,100.00,0,0,0,6,0
2nd match in series,1,1,0,19,19,19.00,35,54.28,0,0,0,3,0
ICC Women's Champ,2,2,0,63,44,31.50,79,79.74,0,0,0,9,0
3rd position,2,2,0,63,44,31.50,79,79.74,0,0,0,9,0
