,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2019-2024,7,14,0,541,114,38.64,1152,46.96,1,4,2,64,4
vs Bangladesh,2019-2023,2,4,0,114,87,28.50,295,38.64,0,1,1,10,4
vs Ireland,2024-2024,1,2,0,65,53,32.50,104,62.50,0,1,0,10,0
vs Sri Lanka,2024-2024,1,2,0,114,114,57.00,261,43.67,1,0,1,12,0
vs West Indies,2019-2019,1,2,0,40,23,20.00,111,36.03,0,0,0,6,0
vs Zimbabwe,2021-2021,2,4,0,208,76,52.00,381,54.59,0,2,0,26,0
in Bangladesh,2019-2023,2,4,0,114,87,28.50,295,38.64,0,1,1,10,4
in India,2019-2019,1,2,0,40,23,20.00,111,36.03,0,0,0,6,0
in Sri Lanka,2024-2024,1,2,0,114,114,57.00,261,43.67,1,0,1,12,0
in U.A.E.,2021-2024,3,6,0,273,76,45.50,485,56.28,0,3,0,36,0
in Asia,2019-2024,7,14,0,541,114,38.64,1152,46.96,1,4,2,64,4
away,2019-2024,3,6,0,228,114,38.00,556,41.00,1,1,2,22,4
neutral,2019-2024,4,8,0,313,76,39.12,596,52.51,0,3,0,42,0
year 2019,,2,4,0,148,87,37.00,388,38.14,0,1,0,15,4
year 2021,,2,4,0,208,76,52.00,381,54.59,0,2,0,26,0
year 2023,,1,2,0,6,6,3.00,18,33.33,0,0,1,1,0
year 2024,,2,4,0,179,114,44.75,365,49.04,1,1,1,22,0
season 2019,,1,2,0,108,87,54.00,277,38.98,0,1,0,9,4
season 2019/20,,1,2,0,40,23,20.00,111,36.03,0,0,0,6,0
season 2020/21,,2,4,0,208,76,52.00,381,54.59,0,2,0,26,0
season 2023,,1,2,0,6,6,3.00,18,33.33,0,0,1,1,0
season 2023/24,,2,4,0,179,114,44.75,365,49.04,1,1,1,22,0
*Asghar Afghan,2021-2021,2,4,0,208,76,52.00,381,54.59,0,2,0,26,0
*Hashmatullah Shahidi,2023-2024,3,6,0,185,114,30.83,383,48.30,1,1,2,23,0
*Rashid Khan,2019-2019,2,4,0,148,87,37.00,388,38.14,0,1,0,15,4
is not captain,2019-2024,7,14,0,541,114,38.64,1152,46.96,1,4,2,64,4
is not keeper,2019-2024,7,14,0,541,114,38.64,1152,46.96,1,4,2,64,4
won the toss,2019-2024,5,10,0,387,87,38.70,780,49.61,0,4,1,46,4
lost the toss,2019-2024,2,4,0,154,114,38.50,372,41.39,1,0,1,18,0
won toss & batted,2019-2024,4,8,0,381,87,47.62,762,50.00,0,4,0,45,4
won toss & fielded,2023-2023,1,2,0,6,6,3.00,18,33.33,0,0,1,1,0
lost toss & sent in,2019-2024,2,4,0,154,114,38.50,372,41.39,1,0,1,18,0
matches batting first,2019-2024,6,12,0,535,114,44.58,1134,47.17,1,4,1,63,4
matches fielding first,2023-2023,1,2,0,6,6,3.00,18,33.33,0,0,1,1,0
1st team innings,2019-2024,7,7,0,200,72,28.57,390,51.28,0,2,1,28,0
2nd team innings,2019-2024,7,7,0,341,114,48.71,762,44.75,1,2,1,36,4
1st match innings,2019-2024,6,6,0,194,72,32.33,373,52.01,0,2,1,27,0
2nd match innings,2023-2023,1,1,0,6,6,6.00,17,35.29,0,0,0,1,0
3rd match innings,2019-2024,5,5,0,312,114,62.40,696,44.82,1,2,0,33,4
4th match innings,2021-2023,2,2,0,29,29,14.50,66,43.93,0,0,1,3,0
won match,2019-2021,2,4,0,209,87,52.25,472,44.27,0,2,0,20,4
lost match,2019-2024,5,10,0,332,114,33.20,680,48.82,1,2,2,44,0
won batting first,2019-2021,2,4,0,209,87,52.25,472,44.27,0,2,0,20,4
lost batting first,2019-2024,4,8,0,326,114,40.75,662,49.24,1,2,1,43,0
lost fielding first,2023-2023,1,2,0,6,6,3.00,18,33.33,0,0,1,1,0
2 team series,2019-2024,7,14,0,541,114,38.64,1152,46.96,1,4,2,64,4
only match in series,2019-2024,5,10,0,333,114,33.30,771,43.19,1,2,2,38,4
1st match in series,2021-2021,1,2,0,107,76,53.50,186,57.52,0,1,0,15,0
2nd match in series,2021-2021,1,2,0,101,72,50.50,195,51.79,0,1,0,11,0
1st position,2019-2024,7,11,0,394,114,35.81,838,47.01,1,3,2,50,0
2nd position,2019-2021,3,3,0,147,87,49.00,314,46.81,0,1,0,14,4
