,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,4,3,0,24,16,8.00,35,68.57,0,0,1,2,0
vs India Women,1,1,0,8,8,8.00,10,80.00,0,0,0,2,0
vs Mas Women,1,-,-,-,-,-,-,-,-,-,-,-,-
vs SL Women,1,1,0,0,0,0.00,3,0.00,0,0,1,0,0
vs THA Women,1,1,0,16,16,16.00,22,72.72,0,0,0,0,0
in Sri Lanka,4,3,0,24,16,8.00,35,68.57,0,0,1,2,0
in Asia,4,3,0,24,16,8.00,35,68.57,0,0,1,2,0
away,1,1,0,0,0,0.00,3,0.00,0,0,1,0,0
neutral,3,2,0,24,16,12.00,32,75.00,0,0,0,2,0
year 2024,4,3,0,24,16,8.00,35,68.57,0,0,1,2,0
season 2024,4,3,0,24,16,8.00,35,68.57,0,0,1,2,0
*Nigar Sultana,4,3,0,24,16,8.00,35,68.57,0,0,1,2,0
is not captain,4,3,0,24,16,8.00,35,68.57,0,0,1,2,0
is not keeper,4,3,0,24,16,8.00,35,68.57,0,0,1,2,0
won the toss,3,2,0,8,8,4.00,13,61.53,0,0,1,2,0
lost the toss,1,1,0,16,16,16.00,22,72.72,0,0,0,0,0
won toss & batted,3,2,0,8,8,4.00,13,61.53,0,0,1,2,0
lost toss & fielded,1,1,0,16,16,16.00,22,72.72,0,0,0,0,0
matches batting first,3,2,0,8,8,4.00,13,61.53,0,0,1,2,0
matches fielding first,1,1,0,16,16,16.00,22,72.72,0,0,0,0,0
1st team innings,4,3,0,24,16,8.00,35,68.57,0,0,1,2,0
1st match innings,3,2,0,8,8,4.00,13,61.53,0,0,1,2,0
2nd match innings,1,1,0,16,16,16.00,22,72.72,0,0,0,0,0
day match,2,1,0,8,8,8.00,10,80.00,0,0,0,2,0
night match,2,2,0,16,16,8.00,25,64.00,0,0,1,0,0
won match,2,1,0,16,16,16.00,22,72.72,0,0,0,0,0
lost match,2,2,0,8,8,4.00,13,61.53,0,0,1,2,0
won batting first,1,-,-,-,-,-,-,-,-,-,-,-,-
won fielding first,1,1,0,16,16,16.00,22,72.72,0,0,0,0,0
lost batting first,2,2,0,8,8,4.00,13,61.53,0,0,1,2,0
5+ team tournaments,4,3,0,24,16,8.00,35,68.57,0,0,1,2,0
tournament semi-finals,1,1,0,8,8,8.00,10,80.00,0,0,0,2,0
preliminary matches,3,2,0,16,16,8.00,25,64.00,0,0,1,0,0
2nd position,1,1,0,0,0,0.00,3,0.00,0,0,1,0,0
3rd position,2,2,0,24,16,12.00,32,75.00,0,0,0,2,0
