,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Avg,Econ,SR,5w,10w
overview,2003-2024,188,350,6672.5,1730,18627,704,7/42,11/71,26.45,2.79,56.8,32,3
vs Australia,2006-2023,39,72,1433.1,358,4209,117,6/47,10/158,35.97,2.93,73.4,5,1
vs Bangladesh,2010-2010,2,4,84.0,21,223,9,4/78,5/162,24.77,2.65,56.0,0,0
vs India,2006-2024,39,73,1386.2,375,3796,149,5/20,9/43,25.47,2.73,55.8,6,0
vs New Zealand,2008-2023,20,38,706.4,180,2189,84,7/43,9/98,26.05,3.09,50.4,3,0
vs Pakistan,2010-2022,20,38,674.4,195,1577,82,6/17,11/71,19.23,2.33,49.3,3,1
vs South Africa,2003-2022,29,52,1064.4,231,3098,103,5/40,8/161,30.07,2.90,62.0,4,0
vs Sri Lanka,2003-2021,14,26,480.1,130,1287,58,6/40,10/45,22.18,2.68,49.6,5,1
vs West Indies,2004-2024,23,43,779.1,222,2025,91,7/42,9/73,22.25,2.59,51.3,5,0
vs Zimbabwe,2003-2003,2,4,64.0,18,223,11,5/73,6/85,20.27,3.48,34.9,1,0
in Australia,2006-2022,21,39,824.3,217,2313,68,5/43,7/127,34.01,2.80,72.7,1,0
in England,2003-2024,106,202,3821.0,1018,10692,438,7/42,11/71,24.41,2.79,52.3,24,3
in India,2006-2024,17,29,485.4,122,1332,44,4/40,6/79,30.27,2.74,66.2,0,0
in New Zealand,2008-2023,9,16,319.2,74,1021,36,5/73,7/54,28.36,3.19,53.2,1,0
in Pakistan,2022-2022,2,4,67.0,17,148,8,4/36,5/88,18.50,2.20,50.2,0,0
in South Africa,2005-2020,10,18,385.1,75,1177,34,5/40,8/161,34.61,3.05,67.9,2,0
in Sri Lanka,2003-2021,7,13,207.4,49,599,18,6/40,6/46,33.27,2.88,69.2,2,0
in U.A.E.,2012-2015,6,12,216.0,63,452,22,4/17,6/69,20.54,2.09,58.9,0,0
in West Indies,2009-2019,10,17,346.3,95,893,36,6/42,7/77,24.80,2.57,57.7,2,0
in Africa,2005-2020,10,18,385.1,75,1177,34,5/40,8/161,34.61,3.05,67.9,2,0
in Americas,2009-2019,10,17,346.3,95,893,36,6/42,7/77,24.80,2.57,57.7,2,0
