,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
overview,2019-2022,12,12,107.3,7,568,16,5/44,35.50,5.28,40.3,0,1
vs England,2019-2019,2,2,18.1,2,82,5,5/44,16.40,4.51,21.8,0,1
vs India,2019-2019,4,4,38.2,4,198,3,2/39,66.00,5.16,76.6,0,0
vs New Zealand,2019-2019,1,1,9.0,0,31,2,2/31,15.50,3.44,27.0,0,0
vs Pakistan,2019-2022,3,3,25.0,1,143,4,3/63,35.75,5.72,37.5,0,0
vs South Africa,2019-2019,1,1,8.0,0,55,1,1/55,55.00,6.87,48.0,0,0
vs Sri Lanka,2019-2019,1,1,9.0,0,59,1,1/59,59.00,6.55,54.0,0,0
in Australia,2019-2019,2,2,18.2,3,91,3,2/39,30.33,4.96,36.6,0,0
in England,2019-2019,5,5,44.1,2,227,9,5/44,25.22,5.13,29.4,0,1
in India,2019-2019,2,2,20.0,1,107,0,-,-,5.35,-,0,0
in Pakistan,2022-2022,1,1,9.0,0,51,0,-,-,5.66,-,0,0
in U.A.E.,2019-2019,2,2,16.0,1,92,4,3/63,23.00,5.75,24.0,0,0
in Asia,2019-2022,5,5,45.0,2,250,4,3/63,62.50,5.55,67.5,0,0
in Europe,2019-2019,5,5,44.1,2,227,9,5/44,25.22,5.13,29.4,0,1
in Oceania,2019-2019,2,2,18.2,3,91,3,2/39,30.33,4.96,36.6,0,0
home,2019-2019,2,2,18.2,3,91,3,2/39,30.33,4.96,36.6,0,0
away,2019-2022,5,5,47.1,3,240,5,5/44,48.00,5.08,56.6,0,1
neutral,2019-2019,5,5,42.0,1,237,8,3/63,29.62,5.64,31.5,0,0
year 2019,,11,11,98.3,7,517,16,5/44,32.31,5.24,36.9,0,1
year 2022,,1,1,9.0,0,51,0,-,-,5.66,-,0,0
season 2018/19,,6,6,54.2,5,290,7,3/63,41.42,5.33,46.5,0,0
season 2019,,5,5,44.1,2,227,9,5/44,25.22,5.13,29.4,0,1
season 2021/22,,1,1,9.0,0,51,0,-,-,5.66,-,0,0
*AJ Finch,2019-2022,12,12,107.3,7,568,16,5/44,35.50,5.28,40.3,0,1
is not captain,2019-2022,12,12,107.3,7,568,16,5/44,35.50,5.28,40.3,0,1
is not keeper,2019-2022,12,12,107.3,7,568,16,5/44,35.50,5.28,40.3,0,1
won the toss,2019-2019,6,6,53.3,6,235,6,2/31,39.16,4.39,53.5,0,0
lost the toss,2019-2022,6,6,54.0,1,333,10,5/44,33.30,6.16,32.4,0,1
won toss & batted,2019-2019,6,6,53.3,6,235,6,2/31,39.16,4.39,53.5,0,0
lost toss & sent in,2019-2022,4,4,36.0,0,217,9,5/44,24.11,6.02,24.0,0,1
lost toss & fielded,2019-2019,2,2,18.0,1,116,1,1/55,116.00,6.44,108.0,0,0
matches batting first,2019-2022,10,10,89.3,6,452,15,5/44,30.13,5.05,35.8,0,1
matches fielding first,2019-2019,2,2,18.0,1,116,1,1/55,116.00,6.44,108.0,0,0
1st team innings,2019-2022,12,12,107.3,7,568,16,5/44,35.50,5.28,40.3,0,1
1st match innings,2019-2019,2,2,18.0,1,116,1,1/55,116.00,6.44,108.0,0,0
2nd match innings,2019-2022,10,10,89.3,6,452,15,5/44,30.13,5.05,35.8,0,1
day match,2019-2019,3,3,27.1,2,141,6,5/44,23.50,5.19,27.1,0,1
day/night match,2019-2022,9,9,80.2,5,427,10,3/63,42.70,5.31,48.2,0,0
won match,2019-2019,7,7,64.0,4,326,14,5/44,23.28,5.09,27.4,0,1
lost match,2019-2022,5,5,43.3,3,242,2,1/52,121.00,5.56,130.5,0,0
won batting first,2019-2019,6,6,54.0,3,265,14,5/44,18.92,4.90,23.1,0,1
won fielding first,2019-2019,1,1,10.0,1,61,0,-,-,6.10,-,0,0
lost batting first,2019-2022,4,4,35.3,3,187,1,1/52,187.00,5.26,213.0,0,0
lost fielding first,2019-2019,1,1,8.0,0,55,1,1/55,55.00,6.87,48.0,0,0
2 team series,2019-2022,7,7,63.2,5,341,7,3/63,48.71,5.38,54.2,0,0
5+ team tournaments,2019-2022,6,6,53.1,2,278,9,5/44,30.88,5.22,35.4,0,1
1st match in series,2019-2019,2,2,20.0,2,85,2,2/39,42.50,4.25,60.0,0,0
2nd match in series,2019-2019,1,1,8.2,1,52,1,1/52,52.00,6.24,50.0,0,0
3rd match in series,2019-2022,2,2,17.0,1,80,1,1/29,80.00,4.70,102.0,0,0
4th match in series,2019-2019,1,1,10.0,1,61,0,-,-,6.10,-,0,0
5th match in series,2019-2019,1,1,8.0,0,63,3,3/63,21.00,7.87,16.0,0,0
World Cup,2019-2019,5,5,44.1,2,227,9,5/44,25.22,5.13,29.4,0,1
tournament semi-finals,2019-2019,1,1,8.1,2,38,0,-,-,4.65,-,0,0
preliminary matches,2019-2022,5,5,45.0,0,240,9,5/44,26.66,5.33,30.0,0,1
1st position,2019-2022,8,8,72.3,5,364,13,5/44,28.00,5.02,33.4,0,1
2nd position,2019-2019,3,3,26.0,2,145,2,1/29,72.50,5.57,78.0,0,0
3rd position,2019-2019,1,1,9.0,0,59,1,1/59,59.00,6.55,54.0,0,0
