,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Avg,Econ,SR,5w,10w
overview,2019-2021,13,24,434.5,95,1304,42,6/45,8/85,31.04,2.99,62.1,3,0
vs Australia,2019-2019,4,8,156.0,34,446,22,6/45,8/85,20.27,2.85,42.5,2,0
vs India,2021-2021,2,3,35.1,9,122,4,2/75,3/98,30.50,3.46,52.7,0,0
vs New Zealand,2019-2019,2,3,82.0,24,209,2,1/75,1/102,104.50,2.54,246.0,0,0
vs Pakistan,2020-2020,2,4,59.4,15,158,4,3/59,4/86,39.50,2.64,89.5,0,0
vs South Africa,2019-2019,1,2,36.0,5,167,6,5/102,6/167,27.83,4.63,36.0,1,0
vs West Indies,2020-2020,2,4,66.0,8,202,4,3/45,3/106,50.50,3.06,99.0,0,0
in England,2019-2020,8,16,281.4,57,806,30,6/45,8/85,26.86,2.86,56.3,2,0
in India,2021-2021,2,3,35.1,9,122,4,2/75,3/98,30.50,3.46,52.7,0,0
in New Zealand,2019-2019,2,3,82.0,24,209,2,1/75,1/102,104.50,2.54,246.0,0,0
in South Africa,2019-2019,1,2,36.0,5,167,6,5/102,6/167,27.83,4.63,36.0,1,0
in Africa,2019-2019,1,2,36.0,5,167,6,5/102,6/167,27.83,4.63,36.0,1,0
in Asia,2021-2021,2,3,35.1,9,122,4,2/75,3/98,30.50,3.46,52.7,0,0
in Europe,2019-2020,8,16,281.4,57,806,30,6/45,8/85,26.86,2.86,56.3,2,0
in Oceania,2019-2019,2,3,82.0,24,209,2,1/75,1/102,104.50,2.54,246.0,0,0
home,2019-2020,8,16,281.4,57,806,30,6/45,8/85,26.86,2.86,56.3,2,0
away,2019-2021,5,8,153.1,38,498,12,5/102,6/167,41.50,3.25,76.5,1,0
year 2019,,7,13,274.0,63,822,30,6/45,8/85,27.40,3.00,54.8,3,0
year 2020,,4,8,125.4,23,360,8,3/45,4/86,45.00,2.86,94.2,0,0
year 2021,,2,3,35.1,9,122,4,2/75,3/98,30.50,3.46,52.7,0,0
season 2019,,4,8,156.0,34,446,22,6/45,8/85,20.27,2.85,42.5,2,0
season 2019/20,,3,5,118.0,29,376,8,5/102,6/167,47.00,3.18,88.5,1,0
season 2020,,4,8,125.4,23,360,8,3/45,4/86,45.00,2.86,94.2,0,0
