,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,9,9,1,123,45,15.37,101,121.78,0,0,1,8,7
vs Bangladesh,4,4,1,105,45,35.00,70,150.00,0,0,0,8,7
vs India,5,5,0,18,10,3.60,31,58.06,0,0,1,0,0
in Bangladesh,4,4,1,105,45,35.00,70,150.00,0,0,0,8,7
in Zimbabwe,5,5,0,18,10,3.60,31,58.06,0,0,1,0,0
in Africa,5,5,0,18,10,3.60,31,58.06,0,0,1,0,0
in Asia,4,4,1,105,45,35.00,70,150.00,0,0,0,8,7
home,5,5,0,18,10,3.60,31,58.06,0,0,1,0,0
away,4,4,1,105,45,35.00,70,150.00,0,0,0,8,7
year 2024,9,9,1,123,45,15.37,101,121.78,0,0,1,8,7
season 2024,9,9,1,123,45,15.37,101,121.78,0,0,1,8,7
*Sikandar Raza,9,9,1,123,45,15.37,101,121.78,0,0,1,8,7
is not captain,9,9,1,123,45,15.37,101,121.78,0,0,1,8,7
is not keeper,9,9,1,123,45,15.37,101,121.78,0,0,1,8,7
won the toss,4,4,1,64,31,21.33,53,120.75,0,0,0,4,4
lost the toss,5,5,0,59,45,11.80,48,122.91,0,0,1,4,3
won toss & fielded,4,4,1,64,31,21.33,53,120.75,0,0,0,4,4
lost toss & sent in,3,3,0,48,45,16.00,28,171.42,0,0,1,4,3
lost toss & fielded,2,2,0,11,10,5.50,20,55.00,0,0,0,0,0
matches batting first,3,3,0,48,45,16.00,28,171.42,0,0,1,4,3
matches fielding first,6,6,1,75,31,15.00,73,102.73,0,0,0,4,4
1st team innings,9,9,1,123,45,15.37,101,121.78,0,0,1,8,7
1st match innings,3,3,0,48,45,16.00,28,171.42,0,0,1,4,3
2nd match innings,6,6,1,75,31,15.00,73,102.73,0,0,0,4,4
day match,7,7,1,47,21,7.83,50,94.00,0,0,1,3,2
night match,2,2,0,76,45,38.00,51,149.01,0,0,0,5,5
won match,2,2,1,8,8*,8.00,10,80.00,0,0,1,1,0
lost match,7,7,0,115,45,16.42,91,126.37,0,0,0,7,7
won batting first,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
won fielding first,1,1,1,8,8*,-,9,88.88,0,0,0,1,0
lost batting first,2,2,0,48,45,24.00,27,177.77,0,0,0,4,3
lost fielding first,5,5,0,67,31,13.40,64,104.68,0,0,0,3,4
2 team series,9,9,1,123,45,15.37,101,121.78,0,0,1,8,7
1st match in series,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
2nd match in series,2,2,0,55,45,27.50,42,130.95,0,0,0,4,3
3rd match in series,2,2,0,22,21,11.00,12,183.33,0,0,0,2,2
4th match in series,2,2,0,34,31,17.00,30,113.33,0,0,0,1,2
5th match in series,2,2,1,12,8*,12.00,16,75.00,0,0,0,1,0
4th position,2,2,1,39,31,39.00,36,108.33,0,0,0,2,2
5th position,1,1,0,3,3,3.00,3,100.00,0,0,0,0,0
6th position,4,4,0,15,10,3.75,28,53.57,0,0,1,0,0
7th position,2,2,0,66,45,33.00,34,194.11,0,0,0,6,5
