,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,2012-2023,58,58,0,1537,130,26.50,1803,85.24,2,7,9,172,44
vs Australia,2012-2016,11,11,0,336,100,30.54,438,76.71,1,0,3,33,7
vs India,2013-2013,6,6,0,267,97,44.50,257,103.89,0,2,0,32,9
vs Nepal,2023-2023,1,1,0,0,0,0.00,6,0.00,0,0,1,0,0
vs Netherlands,2023-2023,1,1,0,54,54,54.00,55,98.18,0,1,0,9,1
vs New Zealand,2012-2015,8,8,0,74,31,9.25,135,54.81,0,0,2,8,2
vs Oman,2023-2023,1,1,0,4,4,4.00,6,66.66,0,0,0,1,0
vs Pakistan,2013-2016,8,8,0,143,43,17.87,220,65.00,0,0,1,16,2
vs Scotland,2023-2023,1,1,0,0,0,0.00,6,0.00,0,0,1,0,0
vs South Africa,2013-2016,4,4,0,100,49,25.00,129,77.51,0,0,0,14,1
vs Sri Lanka,2013-2023,8,8,0,198,83,24.75,217,91.24,0,1,0,18,9
vs U.A.E.,2015-2023,4,4,0,145,63,36.25,116,125.00,0,2,0,21,6
vs U.S.A.,2023-2023,1,1,0,66,66,66.00,80,82.50,0,1,0,7,2
vs Zimbabwe,2013-2023,4,4,0,150,130,37.50,138,108.69,1,0,1,13,5
in Australia,2013-2013,2,2,0,100,100,50.00,124,80.64,1,0,1,8,1
in England,2013-2013,3,3,0,85,60,28.33,95,89.47,0,1,0,11,2
in India,2013-2013,3,3,0,65,42,21.66,63,103.17,0,0,0,11,1
in New Zealand,2013-2015,6,6,0,98,55,16.33,125,78.40,0,1,2,13,3
in Sri Lanka,2015-2015,3,3,0,88,83,29.33,76,115.78,0,1,0,8,4
in U.A.E.,2016-2023,5,5,0,112,63,22.40,105,106.66,0,1,0,13,5
in West Indies,2012-2016,25,25,0,778,130,31.12,965,80.62,1,1,3,83,21
in Zimbabwe,2016-2023,11,11,0,211,66,19.18,250,84.40,0,2,3,25,7
in Africa,2016-2023,11,11,0,211,66,19.18,250,84.40,0,2,3,25,7
in Americas,2012-2016,25,25,0,778,130,31.12,965,80.62,1,1,3,83,21
in Asia,2013-2023,11,11,0,265,83,24.09,244,108.60,0,2,0,32,10
