,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
overview,3,2,1,16,15,16.00,14,114.28,0,0,0,1,0
vs BAN Women,1,1,1,1,1*,-,2,50.00,0,0,0,0,0
vs ENG Women,1,1,0,15,15,15.00,12,125.00,0,0,0,1,0
vs Mas Women,1,-,-,-,-,-,-,-,-,-,-,-,-
in China,2,1,1,1,1*,-,2,50.00,0,0,0,0,0
in India,1,1,0,15,15,15.00,12,125.00,0,0,0,1,0
in Asia,3,2,1,16,15,16.00,14,114.28,0,0,0,1,0
home,1,1,0,15,15,15.00,12,125.00,0,0,0,1,0
neutral,2,1,1,1,1*,-,2,50.00,0,0,0,0,0
year 2023,3,2,1,16,15,16.00,14,114.28,0,0,0,1,0
season 2023,2,1,1,1,1*,-,2,50.00,0,0,0,0,0
season 2023/24,1,1,0,15,15,15.00,12,125.00,0,0,0,1,0
*H Kaur,1,1,0,15,15,15.00,12,125.00,0,0,0,1,0
*S Mandhana,2,1,1,1,1*,-,2,50.00,0,0,0,0,0
is not captain,3,2,1,16,15,16.00,14,114.28,0,0,0,1,0
is not keeper,3,2,1,16,15,16.00,14,114.28,0,0,0,1,0
won the toss,1,1,0,15,15,15.00,12,125.00,0,0,0,1,0
lost the toss,2,1,1,1,1*,-,2,50.00,0,0,0,0,0
won toss & fielded,1,1,0,15,15,15.00,12,125.00,0,0,0,1,0
lost toss & sent in,1,-,-,-,-,-,-,-,-,-,-,-,-
lost toss & fielded,1,1,1,1,1*,-,2,50.00,0,0,0,0,0
matches batting first,1,-,-,-,-,-,-,-,-,-,-,-,-
matches fielding first,2,2,1,16,15,16.00,14,114.28,0,0,0,1,0
1st team innings,3,2,1,16,15,16.00,14,114.28,0,0,0,1,0
1st match innings,1,-,-,-,-,-,-,-,-,-,-,-,-
2nd match innings,2,2,1,16,15,16.00,14,114.28,0,0,0,1,0
day match,2,1,1,1,1*,-,2,50.00,0,0,0,0,0
night match,1,1,0,15,15,15.00,12,125.00,0,0,0,1,0
won match,1,1,1,1,1*,-,2,50.00,0,0,0,0,0
lost match,1,1,0,15,15,15.00,12,125.00,0,0,0,1,0
no result,1,-,-,-,-,-,-,-,-,-,-,-,-
won fielding first,1,1,1,1,1*,-,2,50.00,0,0,0,0,0
lost fielding first,1,1,0,15,15,15.00,12,125.00,0,0,0,1,0
no result batting first,1,-,-,-,-,-,-,-,-,-,-,-,-
2 team series,1,1,0,15,15,15.00,12,125.00,0,0,0,1,0
5+ team tournaments,2,1,1,1,1*,-,2,50.00,0,0,0,0,0
1st match in series,1,1,0,15,15,15.00,12,125.00,0,0,0,1,0
tournament semi-finals,1,1,1,1,1*,,2,50.00,0,0,0,0,0
tournament quarter-finals,1,-,-,-,-,,-,-,-,-,-,-,-
4th position,1,1,1,1,1*,-,2,50.00,0,0,0,0,0
6th position,1,1,0,15,15,15.00,12,125.00,0,0,0,1,0
